證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還長期借款,　　 存入保證金增加,　　 應付款項減少,　　 其他應付款－關係人減少,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付帳款－關係人增加（減少）,　　 退還（支付）之所得稅,　　 其他金融資產減少,　　 應付租賃款減少,　　 存出保證金增加,　　 應付款項增加,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　　 其他應付款－關係人增加（減少）,　　 應付租賃款增加,　　 非控制權益變動,　　 現金增資
3557,2015年01月01日至2015年09月30日,,                -45167,                -45167,,,                 39761,                  2937,                 -1502,                     45,                  4280,                 -1575,                    202,                      1,                              0,                 -1166,                   -975,                 42008,,,                   -150,                121352,                  2512,                 42307,                    122,                 -3972,                162171,,                -10323,                -71689,                -19974,                   -292,                 -3207,               -105485,                 56686,                 98694,                 53527,                  1575,                 -1731,                 53371,,                              0,                 -4693,                    100,                  2658,                              0,                -23725,                -25660,,                204582,               -229671,                              0,                 -7394,                    235,                              0,                              0,                              0,                -32248,                   -342,                 -4879,                156005,                151126,                151126,                              0,,,,,,,,,,,,,,,,
3557,2015年01月01日至2015年06月30日,,                -33731,                -33731,,,                 27566,                  1885,                 -1107,                     45,                  2879,                 -1307,                     32,                      1,                              0,                    -56,                   -650,                 29288,,,                   -364,                105153,                    863,                  1390,                  1708,                 -3470,                105280,,                 -4004,                -36010,                -20600,                   -292,                    519,                -60387,                 44893,                 74181,                 40450,                  1307,                 -1175,                 40582,,                              0,                 -4148,                    100,                  2617,                              0,                -17564,                -18995,,,                 -9219,                              0,                 -4930,                    233,                              0,,                              0,                -13916,                   -890,                  6781,                156005,                162786,                162786,                              0,                              0,,,,,,,,,,,,,,,
3557,2015年01月01日至2015年03月31日,,                -12697,                -12697,,,                 14764,                    909,                   -124,                    -15,                  1477,                   -204,                     32,,                              0,                   -472,                   -325,                 16042,,,                   -122,                 10292,                    359,                 20904,                 -5874,                 -3052,                 22507,,                 -2880,                -39308,                -12036,                   -151,                    -91,                -54466,                -31959,                -15917,                -28614,                    204,                   -615,                -29025,,                              0,                   -547,                    100,                  2661,                              0,                -16855,                -14641,,,                   -243,                              0,                 -2465,,                              0,,,                 -2708,                   -138,                -46512,                156005,                109493,                109493,                              0,                              0,,,,,,,,,,,,,,,
3557,2014年度,,               -313483,               -313483,,,                136267,                  3672,                  2419,                    180,                  6845,                 -1798,                     76,                     49,                   -949,                    166,                 -1300,,,,                    -42,               -130372,                  8158,                 -4105,                 -2299,                   -447,               -129107,,                 14056,                 20122,                   -309,                -13201,                    199,                 20867,               -108240,                219911,                -93572,                  1798,                 -4164,                -95938,,                 22569,                -11057,                  2839,                  1560,                    -54,,                 -6059,,               -186432,,                148972,                -27925,                    251,                 -5866,                -14100,                -22001,               -107101,                  2157,               -206941,                362946,                156005,                156005,                              0,,,                              0,                182524,                328151,                              0,                              0,                -21916,                              0,,,,,,,
3557,2014年01月01日至2014年09月30日,,               -104912,               -104912,,,                103466,                  2674,                  2060,                    165,                  5350,                 -1340,                     71,                     49,                   -949,                     48,                   -975,                110619,,,                 -1415,               -142042,                  6242,                -30039,                 -6087,                 -3988,               -177329,,                 23121,                 55542,                 -3815,                -10202,                  2107,                 66753,               -110576,                     43,               -104869,                  1340,                 -5525,               -109054,,                 22569,                 -5743,                  2229,                     10,                    -54,                -18633,                    378,,                282379,               -437581,                148972,                -25460,                              0,                 -5866,                   -600,                -22001,                -60157,                    406,               -168427,                362946,                194519,                194519,                              0,,,,,,,,,,,,,,,,
3557,2014年01月01日至2014年06月30日,,                -98114,                -98114,,,                 69681,                  2130,                    398,                    150,                  3743,                 -1141,                    288,                     49,                 -1038,                   -620,                   -650,                 72990,,,                 -5208,                -33406,                  5721,                 29697,                 -2866,                   -393,                 -6455,,                  4526,                -28055,                -17481,                 -4560,                  2779,                -42791,                -49246,                 23744,                -74370,                  1141,                 -3835,                -77064,,                 21649,                 -2864,                  1871,                   -227,                    -54,                -12604,                  7771,,,               -169658,                148972,                -22995,                              0,                 -5280,,                -22001,                -68062,                   -232,               -137587,                362946,                225359,                225359,                              0,                  2900,,,,,,,,,,,,,,,
3557,2014年01月01日至2014年03月31日,,                -59485,                -59485,,,                 35038,                  1134,                    853,                     30,                  2022,                   -207,                    274,,                 -1038,                 -1226,                   -325,                 36555,,,                   -297,                -24011,                  6426,                 11939,                 -3180,                   -568,                 -9691,,                   -449,                -38703,                     52,                  5518,                -15697,                -49279,                -58970,                -22415,                -81900,                    207,                 -2091,                -83784,,                 21649,                 -3197,                  1840,                     35,                    -54,                -18194,                  2079,,,               -148556,                148972,                -20530,,                 -2640,,,                -13154,                    332,                -94527,                362946,                268419,                268419,                              0,                  9600,,,,,,,,,,,,,,,
3557,2013年度,,               -274040,               -274040,,,                160435,                  4083,                 -2001,                              0,                 11417,                 -1943,                  2290,                              0,                              0,                 -2425,                 -1300,,,,                    720,                127156,                 -4081,                103471,                 15139,                  2453,                244858,,                 -9331,                -88024,                -24470,                  2326,                -35542,               -160778,                 84080,                318858,                 44818,                  1943,                -11600,                 35159,,                              0,                -21150,                  3263,                   -591,                 -1750,,                 20727,,                149954,,                              0,               -159714,                              0,                              0,                 14100,                              0,                 -3160,                  1659,                 54385,                308561,                362946,                362946,                              0,,,                 34222,                 30000,                234778,                 -5737,                     -2,                 40955,                 -7500,,,,,,,
3557,2013年01月01日至2013年12月31日,,               -274040,               -274040,,,                160435,                  4083,                 -2001,,                 11417,                 -1944,                  2290,,                              0,                 -2425,                 -1300,,,,                    720,                127156,                 -4081,                103471,                 15139,                  2453,                244858,,                 -9331,                -88024,,                  2326,                -35542,               -160778,                 84080,                318857,                 44817,                  1944,                -11600,                 35159,,                              0,                -21150,                  3263,,                 -1750,,                 20727,,                149954,,,               -159714,,,,,                 -3160,                  1659,                 54385,                308561,                362946,                362946,,                 14100,,                 34222,                 30000,                234777,                 -5737,                     -2,                 40955,,                   -591,,                              0,                -24470,                 -7500,                              0,
3557,2013年01月01日至2013年09月30日,,               -126673,               -126673,,,                121647,                  2992,                   -477,                              0,                  8857,                 -2509,                  3063,                              0,                              0,                 -4980,                   -975,,,,                    476,                -18944,                  3219,                  8556,                 12151,                 -7802,                 -2344,,                  1882,                 -9974,                              0,                 24250,                -20754,                -10333,                -12677,                140639,                 13966,                  2481,                 -8981,                  7466,,                              0,                 -5350,                    729,                  1146,                   -922,                 32762,                 28365,,                163793,,                              0,               -137045,,                -11700,                              0,                              0,                  7548,                  1413,                 44792,                308561,                353353,                353353,                              0,,,                 25698,,                153316,                 -5737,,,                 -7500,,,,,,,
