證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 投資性不動產公允價值調整損失(利益),　　　　　 預付款項（增加）減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 舉借長期借款,　　　　　 其他金融資產（增加）減少
3025,2015年01月01日至2015年09月30日,,                -22118,                -22118,,,                 12068,                  2535,                    595,                 -1946,                              0,                   -440,                 -7988,                  4824,,,                    971,                 45695,                 -1548,                -29678,                 -2765,                 12675,,                -38619,                -20861,                 -1956,                -61436,                -48761,                -43937,                -66055,                   -601,                    -33,                -66689,,                   -116,                    198,                -23000,                 20357,                -36389,                 -6128,                    138,                              0,                  1937,                 -2566,                              0,                    861,                -44708,,                  1152,                 -6174,                    547,                -10638,                              0,                -15113,                  1240,               -125270,                237594,                112324,                112324,,,,,,,,,,
3025,2015年01月01日至2015年06月30日,,                -16261,                -16261,,,                  8011,                  1483,                    403,                 -1359,                              0,                   -418,                  1257,                  9377,,,                    243,                 10258,                   -142,                -16785,                  2504,                 -3922,,                -14774,                 -6301,                 -1307,                -22382,                -26304,                -16927,                -33188,                   -409,                    -32,                -33629,,                   -116,                    198,                              0,                 10357,                -35603,                 -5530,                              0,                   -552,,                 -1666,                              0,                  1590,                -31322,,,                 -4111,                    191,,                              0,                 -3920,                 -3664,                -72535,                237594,                165059,                165059,                              0,                              0,,,,,,,,
3025,2015年01月01日至2015年03月31日,,                -10942,                -10942,,,                  3970,                    617,                    207,                   -729,                              0,                   -357,                  3292,                  7000,,,                    -39,                  6536,                    -18,                -13607,,                -11212,,                 -1355,                -13195,                   -650,                -15200,                -26412,                -19412,                -30354,                   -222,                              0,                -30576,,                              0,                              0,                              0,                  5356,                -23046,                 -3527,                              0,                    447,,                    -14,                              0,                    889,                -19895,,,                 -2053,                    386,,                              0,                 -1667,                 -6663,                -58801,                237594,                178793,                178793,                              0,                 -4084,                              0,,,,,,,
3025,2014年度,,                 16498,                 16498,,,                 16227,                  3656,                    931,                 -3216,                 -3016,                    -48,                 -1271,,,,                   -176,                  8093,                     16,                -43003,                 -2565,                -37635,,                 32590,                 16332,,                 46468,                  8833,                 22096,                 38594,                   -908,                 -3815,                 33871,,                 -1587,                  1598,                -31100,                 29457,,                 -4045,                 11359,                              0,                    551,                 -4824,                  6172,                  3082,                -38858,,,                 -8155,                    943,                -17021,                              0,                -24233,                 -5442,                -34662,                272256,                237594,                237594,,,                              0,,                 13263,                 -2454,                -49521,                              0,                              0,
3025,2014年01月01日至2014年09月30日,,                 -2363,                 -2363,,,                 12392,                  3186,                    712,                 -2430,                 -3016,                              0,                  3326,                 14170,,,                   -104,                 20645,                     15,                -30134,                 -3953,                -13531,,                 32587,                 -8504,                 -1844,                 22239,                  8708,                 22878,                 20515,                   -689,                 -6931,                 12895,,                 -1347,                  1598,                 -5000,                              0,               -170462,                 -1308,                 11359,                   -533,                              0,                 -2982,                  8750,                  2073,               -157852,,                              0,                 -6108,                    549,                -17021,                              0,                -22580,                 -9295,               -176832,                272256,                 95424,                 95424,,,,,,,,,,
3025,2014年01月01日至2014年06月30日,,                 -2787,                 -2787,,,                  8608,                  2953,                    483,                 -1569,                 -3016,                              0,                  4384,                 11843,,,                   -745,                 22169,                   -289,                -13239,                 -2562,                  5334,,                 33483,                   -844,                 -1235,                 31404,                 36738,                 48581,                 45794,                   -455,                 -3816,                 41523,,                   -668,                  1189,                              0,                              0,               -198563,                 -3529,                 11359,                 -5213,,                 -2782,                     -8,                  1730,               -196485,,,                 -4067,                    541,,                              0,                 -3526,                 -9977,               -168465,                272256,                103791,                103791,                              0,                              0,,,,,,,,
3025,2014年01月01日至2014年03月31日,,                  7205,                  7205,,,                  4476,                  1555,                    248,                   -746,                 -3016,                              0,                  2762,                  5279,,,                   -193,                 36819,                    -18,                -16680,,                 16608,,                  1841,                 -7337,                   -625,                 -6121,                 10487,                 15766,                 22971,                   -220,                              0,                 22751,,                   -668,                              0,                              0,                              0,                -84241,                   -508,                 11359,                 -4802,,                 -1413,                   -454,                    907,                -79820,,,                 -2032,                    363,,                              0,                 -1669,                 -9159,                -67897,                272256,                204359,                204359,                              0,                 -3320,                              0,,,,,,,
3025,2013年度,,                 43647,                 43647,,,                 17877,                  6187,                    725,                 -3140,                              0,                   -312,                  4539,,,,                    553,                -25711,                    -12,                -22639,                  9217,                -38592,,                -10016,                  8993,,                 -3747,                -42339,                -16463,                 27184,                   -699,                 -4378,                 22107,,                 -4190,                  2096,                -13994,                 18727,,                -47079,                              0,                 -6056,                              0,                 -4775,                -13567,                  2809,                -62284,,,                 -6480,                              0,                -42552,                              0,                -27717,                 -1268,                -69162,                341418,                272256,                272256,,,                    -85,,                 25876,                 -2724,                              0,                  3745,                 21400,
3025,2013年01月01日至2013年12月31日,,                 43647,                 43647,,,                 17877,                  6187,                    725,                 -3140,                              0,                   -312,                  4539,,,,                    553,                -25711,                    -12,                -22639,                  9217,                -38592,,                -10016,                  8993,,                 -3747,                -42339,                -16463,                 27184,                   -699,                 -4378,                 22107,,                 -4190,                  2096,                -13994,                 18727,,                -47079,                              0,                 -6056,,                 -4775,                -13567,                  2809,                -62284,,,                 -6480,                    -85,                -42552,                              0,                -27717,                 -1268,                -69162,                341418,                272256,                272256,,,,,                 25876,                 -2724,,                  3745,                 21400,
3025,2013年01月01日至2013年09月30日,,                 31369,                 31369,,,                 13138,                  4743,                    474,                 -2375,                              0,                    -12,                  1270,,,,                    224,                -11206,                     -3,                -60505,                 -6839,                -78329,,                 21191,                 13643,,                 32472,                -45857,                -28619,                  2750,                   -479,                 -4335,                 -2064,,                 -4190,                  2096,                 -5994,                  9006,,                 -4701,                              0,                 -6147,,                 -3607,                -13112,                  1811,                -54797,,,                 -4615,                    204,                -42552,                              0,                -46963,                  3495,               -100329,                341418,                241089,                241089,,,,,                 17238,                 -2362,                -29959,,,
