證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人增加,　　 取得無形資產,　　 處分無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 長期應收租賃款增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 已實現銷貨損失（利益）,　　　　　 應付票據－關係人增加（減少）,　　 其他應收款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 其他投資活動,　　 存入保證金減少,　　　　 處分投資損失（利益）,　　　　　 預付費用（增加）減少
1402,2015年01月01日至2015年09月30日,,             16581363,             16581363,,,             10497014,              2956438,                208875,              1832484,               -390743,               -228904,             -2275289,                605641,               -983629,                    522,               -633800,                122127,                   -278,                 94500,             -3563971,                  5315,              8246302,,,               -268906,              4696798,              1456657,              1588125,             -1327139,                263539,               -102193,              6306881,,                 20362,              1345298,                319030,               -141353,                 30246,                136519,                332978,               -180214,                -32019,              1830847,              8137728,             16384030,             32965393,                412345,              4156666,             -1774562,             -4415139,             31344703,,               -198559,                816810,              1720486,                              0,                -66802,                              0,               -568455,                 13425,               -159449,                              0,            -16317546,                 67930,               -160766,               -100000,               -662070,                    478,               -244552,                 66347,               -176512,               -135044,                     38,             -1973437,                118212,            -17959466,,                950197,             14088000,             13600000,            -12350000,            152334616,           -149340951,                 56337,                -22434,            -14178767,                566337,              5703335,                 83486,             19172058,             25985419,             45157477,             45157477,,,,,,,,,,,,,,,,,,,,
1402,2015年01月01日至2015年06月30日,,             13355615,             13355615,,,              6854654,              1918716,                160047,              1213084,               -259798,               -204400,             -1567886,                432451,               -983629,                    409,                -79647,                120704,,               -123872,             -3796810,                   -180,              3683565,,,               -459903,                254493,              1004626,              1962196,             -3080451,                 59287,               -147024,               -406776,,                 18515,              2331456,                -27448,                 20270,                 26190,                 60107,                495970,               -134018,                    227,              2613025,              2206249,              5889814,             19245429,                210366,                406293,             -1155354,             -3034368,             15672366,,                -32209,                212850,                434444,,,,               -548960,                 13425,,                              0,            -11921644,                 64042,               -135863,,               -485665,                    477,               -244552,                 66347,                 -2998,               -105750,                647875,,                123178,            -11915003,,              1157927,              1879000,             10600000,             -4650000,            124687145,           -117577155,                -17880,                -28145,,                490917,             16541809,                -69542,             20229630,             25985419,             46215049,             46215049,                   -278,               -178244,                              0,,,,,,,,,,,,,,,,,
1402,2015年01月01日至2015年03月31日,,              6978106,              6978106,,,              3343717,                868222,                 79104,                646867,               -153014,                              0,               -382636,                109406,               -983629,                    511,                 -6700,                119160,,                -27585,             -2478500,                -32681,              1102242,,,                822248,              1769072,              1316085,              1645328,             -1691704,                -99013,               -116657,              3645359,,                  7606,              1833928,                 22655,               -644894,                 22825,                 94311,               -410101,                -88291,                 48420,                701629,              4346988,              5449230,             12427336,                163357,                              0,               -525127,             -1419425,             10646141,,                 -4228,                 56700,                187804,,,,               -342738,                              0,,                              0,             -6040926,                 15201,                -72402,                              0,               -227059,,               -239938,                 66347,                   -176,                -60528,                -65396,,                138304,             -6589035,,             -1245074,              1844000,              2600000,,             64518769,            -61100051,                -22806,                 -5713,,,              6589125,                -35888,             10610343,             25985419,             36595762,             36595762,,               -184830,,,,,,,,,,,,,,,,,,
1402,2014年01月01日至2014年09月30日,,             17769498,             17769498,,,             10372447,              2211855,                226338,              1405442,               -334836,               -170531,             -3151662,                681187,                              0,                  1329,                -73713,                 34692,                   -278,                 40190,             -4804637,                -22228,              6415595,,,                447422,             -1980796,               -550245,                 12888,              1083427,             -1835142,             -1338085,             -4160531,,                 43992,                332341,               -207943,              1344556,                 84015,               -180101,                -33247,                -76314,                324846,              1632145,             -2528386,              3887209,             21656707,                266175,              4076068,             -1383853,             -2200661,             22414436,,                -72588,                330734,               -512921,                100000,                              0,                  8348,             -2529090,                 53366,                              0,               -857294,            -21665282,                171618,                -85684,               -213303,               -642182,                              0,                 -6776,                              0,               -144591,             -1056345,                              0,                908089,                  8870,            -26205031,,              1097867,                849000,              6200000,             -7250000,            138999063,           -121079684,                 73456,                -98334,            -14133643,                433931,              5091656,                682094,              1983155,             26645574,             28628729,             28628729,,,,,,,,,,,,,,,,,,,,
1402,2014年01月01日至2014年06月30日,,             12762221,             12762221,,,              6933761,              1404147,                169826,                907016,               -205705,               -142662,             -2586387,                464529,                              0,                  1329,                -61924,                 19792,,                  2404,             -3186449,                 -9503,              3709896,,,               -134406,             -1536100,               -962730,                 43327,              1736494,               -922688,             -1091354,             -2867457,,                  5869,                422679,                371908,                 77659,                 61194,               -199659,              1157136,                -48157,                158817,              2288126,               -579331,              3130565,             15892786,                153608,                134424,               -915800,             -1039260,             14225758,,                -22588,                166200,               -158569,,,,             -2126294,                 56111,,               -857294,            -14924264,                 76190,                -43079,,               -436057,                              0,                 -5994,                              0,               -144945,             -1031936,                106906,,                -64541,            -19429154,,             -1317778,             -1387000,              3000000,             -2750000,            104393285,            -86756095,                 34206,                -78849,,                434850,             15572619,                 62735,             10431958,             26645574,             37077532,             37077532,                   -278,                280680,                -19000,,,,,,,,,,,,,,,,,
1402,2014年01月01日至2014年03月31日,,              4260926,              4260926,,,              3461664,                711328,                 94017,                448025,               -109025,                 -1758,             -1245030,                241810,                              0,                  1326,                -37343,                  9740,,                 -5261,                              0,                -11857,              3557636,,,               -503991,               -665452,               -386168,               -387002,              2163008,             -1148891,             -1368890,             -2297386,,                  2074,             -2258149,                465390,                231398,                  4903,               -108632,               -328939,                -55340,                112469,             -1883627,             -4181013,               -623377,              3637549,                 46848,                  2504,               -199616,                -10417,              3476868,,                -22588,                 85031,                 89170,,,,               -891001,                 78361,,               -857294,             -7455005,                 17363,                -82751,                 81000,               -251877,,                 -5709,                              0,               -147074,             -1305155,                454891,,                 23663,            -10188975,,                847598,                580000,                              0,,             49103941,            -40656091,                 64279,                -56555,,,              9883172,                466681,              3637746,             26645574,             30283320,             30283320,,                 51199,,,,,,,,,,,,,,,,,,
1402,2013年01月01日至2013年12月31日,,             16508020,             16508020,,,             14241311,              2440269,                182216,              1432622,               -448607,               -219921,             -4197698,              1356800,                    518,                  1912,               -538642,                214451,                   -555,                -87999,,                 18802,,,,               -133169,                820686,                 77900,                624521,             -2567852,               -974120,               -664976,             -2973968,,                    -29,             -1801179,,              1274408,                 83975,                 92030,                510106,,                 24697,                -60874,             -3034842,             11360637,             27868657,                461392,              2368646,             -1398487,             -2525131,             26775077,,               -893414,              2501734,,                100000,               -100012,                 33693,               -568919,                854693,                -42758,,            -24988218,                106151,                  2389,                 56640,             -1532655,                              0,                 -1550,                              0,             -4993200,            -33756959,              2399103,,                 60240,            -59840433,,              2246456,             -1169000,             32776500,             -2980000,            151627266,           -141160125,               -161769,                -32840,            -14264363,              2188047,             29070172,                 -4408,             -3999592,             30645166,             26645574,             26645574,,                -30712,,,             14395479,               -125328,                -31630,                251719,                 32858,               -498747,                805353,                117256,,,,,,,,
1402,2013年01月01日至2013年09月30日,,             13217194,             13217194,,,             10770907,              1803851,                165283,              1101350,               -386386,               -177313,             -3014517,                951419,                    518,                    865,               -410837,                 27216,                   -278,                 -2704,,                -24520,,,,               -143509,,                125706,               -999209,             -2576924,             -1544669,               -508770,             -7667288,,                 21772,,,              1543175,                 49030,                708070,                162668,,                308031,                941876,             -6725412,              4079442,             17296636,                306245,              2326038,             -1125323,             -2544322,             16259274,,               -673861,              1302755,,                100000,               -100000,                 33693,               -403481,                758092,,,            -17084024,                141605,                -24889,               -363959,             -1124950,                              0,                   -715,,             -4837267,,                147568,,                110950,            -21478036,,              7101589,                543000,             11976500,             -1480000,            115134436,           -110044853,                -40566,                -17274,            -14258381,              1108769,             10023220,                688413,              5492871,             30645166,             36138037,             36138037,,,,,             10804854,,                 -4571,                824912,                  5406,               -378577,              2041599,                 72032,             -2099363,                 84021,             -2166544,               -136067,             -1573184,,,
1402,2013年01月01日至2013年06月30日,,              8930116,              8930116,,,              7402966,              1187877,                 94151,                705984,               -245547,               -162456,             -2385485,                423738,                    518,                    265,               -206785,                 10046,                   -277,                 -4836,,                -16436,,,,                369343,,                     81,               -501326,             -1960385,             -1904180,               -424495,             -6323416,,                 15066,,,                 34827,                 38829,               -163851,                464385,,                453620,              1437293,             -4886123,              1917600,             10847716,                 40328,                264963,               -670914,             -1508137,              8973956,,               -673861,                821481,,,               -100000,,               -128484,                521448,,,            -10635056,                 53284,             -1078263,               -382208,               -754475,                      2,                   -142,,             -4805150,                870802,,,                 27946,            -15396421,,                265740,              1967000,              8976500,               -400000,             72034992,            -71270647,,                -24790,                              0,              1055054,             12581607,                384232,              6543374,             30645166,             37188540,             37188540,,,,,              6803723,,                 11624,                271524,                 30493,               -236429,              1865068,                              0,             -1919152,                  5074,                656474,               -127645,               -998813,                -22242,,
1402,2013年01月01日至2013年03月31日,,              4120880,              4120880,,,              3716925,                587972,                 65254,                321123,               -103417,                 -1442,             -1296502,                212425,                    518,                    225,,                  6634,,                  1040,,                 13921,,,,                385265,,                363927,               -559551,             -3168007,,               -615850,             -5599203,,                 18498,,,               -682880,                  1676,               -166254,                118493,,                664699,                278895,             -5320308,             -1969097,              2151783,                 93265,                 32109,               -223253,                -60896,              1993008,,               -554533,                526370,,,,,               -113891,                362174,,,             -5547695,                 28932,               -261217,                -72807,               -368992,                              0,                 -1009,,               -118081,               -267580,,,                116847,             -5139995,,              3895676,               -900000,                              0,,             33836481,            -29976781,                   -388,                  6081,,                200711,              7061780,                274841,              4189634,             30645166,             34834800,             34834800,,,,,              3351211,,               -307298,                492305,                -32291,                -78643,              1606862,                              0,                355749,                 56893,                133338,               -190046,               -475375,,               -173465,             -2110331
