證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得備供出售金融資產,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 持有至到期日金融資產到期還本,　　 現金減資,　　　　　 應計退休金負債增加（減少）,　　 短期借款增加,　　　　　 持有供交易之金融資產（增加）減少,　　 取得持有至到期日金融資產,　　 短期借款減少,　　 其他非流動負債增加,　　 其他非流動資產減少
1410,2015年01月01日至2015年09月30日,,                119763,                119763,,,                 44201,                              0,                    105,                 -4476,                 -1514,                     67,                   -375,                    267,                 38275,,,                 -2814,                  7167,                    443,                 -1544,                   -860,                  2392,,                     21,                  7866,                   -436,                  1095,                  1556,                 10102,                 12494,                 50769,                170532,                  4476,                  1514,                   -105,                -26575,                149842,,                  2182,                 16031,                  4392,                -33779,                    150,                              0,                -11024,,                -86400,                 -7093,                -93493,                 45325,                327989,                373314,                373314,,,,,,,,,,,,,,
1410,2015年01月01日至2015年06月30日,,                 77287,                 77287,,,                 30353,                              0,                     70,                 -3316,                   -350,                     56,                   -375,,                 26705,,,                -11938,                 -9834,                    292,                 -3453,                 -2279,                -27212,,                  2363,                 17812,                  1105,                     22,                  1095,                 22397,                 -4815,                 21890,                 99177,                  3316,                    350,                    -70,                -15615,                 87158,,,                    156,                  4392,                -27297,                    150,,                -20417,,,,,                 66741,                327989,                394730,                394730,                    267,                  2182,,,,,,,,,,,,
1410,2015年01月01日至2015年03月31日,,                 29115,                 29115,,,                 15048,                              0,                     35,                 -1819,,                              0,,                     49,                 13313,,,                  9524,                 -2274,                    441,                  1515,                    494,                  9700,,                    713,                  5655,                 -8713,                    716,                    463,                 -1166,                  8534,                 21847,                 50962,                  1819,,                    -35,                   -175,                 52571,,,                 52203,,                -13940,,,                 38263,,,,,                 90834,                327989,                418823,                418823,,,,,,,,,,,,,,
1410,2014年度,,                135361,                135361,,,                 76576,                     94,                    140,                 -6745,                 -1683,                  1284,                     78,                   -260,,,,                 -5616,                    564,                   -418,                 -4156,                   -188,                 -9814,,                 -1581,                 -8052,                  5549,                 -2454,                 -4239,                -10777,                -20591,                 48893,                184254,                  6745,                  1683,                   -140,                -11966,                180576,,                  1433,,,                -51042,                    518,                     -3,                -16407,,                -81000,                 -4256,               -265256,               -101087,                429076,                327989,                327989,,                              0,,                 69484,                 32687,                              0,               -180000,,,,,,,
1410,2014年01月01日至2014年09月30日,,                100219,                100219,,,                 58747,                    127,                    105,                 -5634,                 -1506,                    790,                     78,                    -87,                 52620,,,                -16508,                -11214,                    -59,                -11559,                   -398,                -39738,,                  1494,                 -2041,                  2713,                 -1023,                 -2249,                 -1106,                -40844,                 11776,                111995,                  5634,                  1506,                   -105,                -11856,                107174,,                  1433,                 20807,                              0,                -44196,                    518,                     -3,                -21441,,                -81000,                 -4256,                -85256,                    477,                429076,                429553,                429553,,,,,,,,,,,,,,
1410,2014年01月01日至2014年06月30日,,                 51890,                 51890,,,                 39690,                     16,                     70,                 -2526,                   -341,                    384,                     78,,                 37362,,,                -10612,                -10520,                   -273,                -13470,                     50,                -34825,,                  3829,                 12392,                  5687,                 -2118,                 -2780,                 17010,                -17815,                 19547,                 71437,                  2526,                    341,                    -70,                 -5793,                 68441,,,                -29420,                              0,                -40345,                    117,,                -68215,,,,,                    226,                429076,                429302,                429302,                     -9,                  1433,,,,,,,,,,,,
1410,2014年01月01日至2014年03月31日,,                 19412,                 19412,,,                 19880,                     16,                     35,                 -1281,,                     47,,                    -94,                 18603,,,                 -4518,                  8840,                   -162,                 -3951,                   -414,                   -205,,                    372,                    295,                   -317,                   -669,                   -259,                   -578,                   -783,                 17820,                 37232,                  1281,,                    -35,                     97,                 38575,,,                -25810,,                -17904,,,                -43714,,,,,                 -5139,                429076,                423937,                423937,,,,,,,,,,,,,,
1410,2013年度,,                113204,                113204,,,                 81024,                   -178,                    189,                 -5176,                 -1859,                  2209,                     92,                              0,,,,                  5615,                 -9789,                  1900,                    604,                   -400,                 -2070,,                 -1635,                  6642,                 -4408,                    385,                   -151,                    833,                 -1237,                 75064,                188268,                  5176,                  1859,                   -189,                 -9568,                185546,,                              0,,,                -30840,                              0,                              0,               -151175,,               -108000,                 -7092,               -115092,                -80721,                509797,                429076,                429076,,                -10845,,                 76301,               -105290,                 -4200,                              0,,,,,,,
1410,2013年01月01日至2013年12月31日,,                113204,                113204,,,                 81024,                   -178,                    189,                 -5176,                 -1859,                  2209,                     92,,,,,                  5615,                 -9789,                  1900,                    604,                   -400,                 -2070,,                 -1635,                  6642,                 -4408,                    385,,                    833,                 -1237,                 75064,                188268,                  5176,                  1859,                   -189,                 -9568,                185546,,                              0,,,                -30840,                              0,                              0,               -151175,,               -108000,                 -7092,               -115092,                -80721,                509797,                429076,                429076,                              0,                -10845,,                 76301,               -105290,,,                   -151,,                              0,                 -4200,                              0,                              0,
1410,2013年01月01日至2013年09月30日,,                 85517,                 85517,,,                 60582,                   -373,                    105,                 -3966,                 -1692,                  1782,                     92,                    -42,,,,                    777,                 -2017,                    158,                   -628,                   -726,                 -2436,,                 -1652,                  3172,                 -3113,                   -937,,                 -2389,                 -4825,                 51663,                137180,                  3966,                  1692,                   -105,                 -8039,                134694,,                              0,,,                -12979,                              0,                              0,               -142093,,               -108000,                 -7092,               -115092,               -122491,                509797,                387306,                387306,,                -10844,,                 56488,               -114070,                 -4200,,                    141,,,,,,
