證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 概括承受他公司之淨現金收取數,　　 其他金融資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 其他非流動負債增加,　　 發放現金股利,　　 員工執行認股權,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 短期借款增加,　　 發行公司債
3545,2015年01月01日至2015年09月30日,,                191464,                191464,,,                 50530,                 30973,                              0,               -221157,                 12951,                -69830,                 53222,                              0,                              0,                    -33,                 78194,                              0,                    279,                -64871,,,                494370,                388010,                -22930,                  8130,                867580,,               -494500,                  8018,                 30616,                  2597,               -453269,                414311,                349440,                540904,                 -2111,                -46463,                492330,,               -188000,                188033,                -31585,                              0,                -27946,                -21557,                717370,                230168,                   -609,                 72514,                938388,,                -96392,                    106,                  1400,               -130005,                 34868,                 -1591,               -191614,                 58204,              1297308,              1725308,              3022616,              3022616,,,,,,,,
3545,2015年01月01日至2015年06月30日,,                  5609,                  5609,,,                 31889,                 22268,,               -108985,                  8813,                -45309,                 34924,                              0,                              0,                    -33,                 58920,                              0,                    497,                  2984,,,                 78041,                150227,                -20440,                 13705,                221533,,                 17499,                 56379,                 18021,                  2704,                 94603,                316136,                319120,                324729,                 -2005,                -40094,                282630,,               -188000,                188033,,                              0,                -20123,                   -190,                717370,                -26492,                   -673,                 62534,                732459,,               -254780,                 -2450,                  1400,,                 32325,                   -775,               -224280,                -27992,                762817,              1725308,              2488125,              2488125,,,,,,,,
3545,2015年01月01日至2015年03月31日,,                -50382,                -50382,,,                 15684,                 12011,,                -96333,                  4516,                -19900,                 20752,                              0,                              0,                    -28,                 30695,                              0,                    305,                -32298,,,                364798,               -219949,                 -1021,                -10714,                133114,,               -191084,               -112016,                 31254,                  2833,               -269013,               -135899,               -168197,               -218579,                 -1386,                 -5235,               -225200,,               -148000,                148028,,                              0,                -13354,,                717370,                376736,                   -712,                 19403,              1099471,,                -97400,                 -5457,                  1400,,                 22854,                   -528,                -79131,                -18163,                776977,              1725308,              2502285,              2502285,                              0,,,,,,,
3545,2014年度,,                179217,                179217,,,                 22059,                 15168,                103428,                  1037,                 27211,                 -5177,                 31388,,,                   -599,,,                -48632,,,,                131808,                278119,,                 85084,                495011,,               -148242,,                -58875,,               -207657,                287354,                448447,                627664,                -10953,                -83965,                538555,,             -1496000,              1496599,,,                -33433,                 -8775,,                591481,,                  5809,                573897,,               -458208,                 -2244,,               -280417,                              0,,               -740869,,                371583,                383389,                754972,                754972,,,                 15210,                161093,                   -540,                 24025,                              0,                              0
3545,2014年01月01日至2014年09月30日,,                806254,                806254,,,                 32505,                 15520,                    191,                              0,                              0,                -70101,                 55981,                 36013,                  4404,                              0,                              0,                -95203,                   -283,                -20973,,,                -19311,                120673,                 -1995,                -10104,                 89263,,                 93830,                -24730,                -30092,                              0,                 39008,                128271,                107298,                913552,                              0,                 -2421,                911131,,                              0,                              0,                              0,                -75000,                -79177,                              0,                              0,               -331751,                 -3338,                 68127,               -421139,,                              0,                              0,                              0,               -554000,                 59391,                              0,               -494609,                  6309,                  1692,                826449,                828141,                828141,,,,,,,,
3545,2014年01月01日至2014年06月30日,,                642725,                642725,,,                 20927,                 10378,,                              0,                              0,                -41542,                 29831,                 13973,                    612,                              0,                              0,                -88331,                    851,                -53301,,,                -14504,                244999,                 -2228,                    573,                228840,,                129371,                 56104,                -65524,                              0,                119951,                348791,                295490,                938215,                              0,                    -34,                938181,,                              0,                              0,,                -75000,                -33982,                              0,                              0,               -257465,                 -3992,                 42492,               -327947,,                              0,                              0,                              0,,                 46749,                              0,                 46749,                -15674,                641309,                826449,              1467758,              1467758,,,,,,,,
3545,2014年01月01日至2014年03月31日,,                315204,                315204,,,                 10033,                  5206,,                              0,                              0,                -21073,                 22068,                  2560,                    600,                              0,                              0,                 -7143,                    800,                 13051,,,                 -5637,                176617,                    583,                 10012,                181575,,                 87927,                -79360,                -37504,                              0,                -28937,                152638,                165689,                480893,                              0,                    -17,                480876,,                              0,                              0,,                -75000,                -20066,,                              0,                -80016,                    -31,                 18062,               -157051,,                              0,                              0,                              0,,                 21803,                              0,                 21803,                 18274,                363902,                826449,              1190351,              1190351,                              0,,,,,,,
3545,2013年度,,                441834,                441834,,,                 30698,                 27554,                              0,                  6985,                 15966,                 -6520,                 12660,,,                   -923,,,                 39848,,,,               -328513,             -1425829,,                -94646,             -1848988,,                184551,,                108421,,                292242,             -1556746,             -1430478,               -988644,                 -6428,                -17766,             -1006213,,             -1613000,              1613923,,,                -14634,                -10554,,               -180396,,                  6625,               -211190,,                              0,                 21136,,                -97104,                 13656,,              1368241,,                150838,                232551,                383389,                383389,,,                              0,                126268,                   -730,                 -6529,                430553,              1000000
3545,2013年01月01日至2013年09月30日,,                487834,                487834,,,                 23394,                 21021,                              0,                  3352,                 10211,                 -4706,                  4660,,,                   -785,,,                -33656,,,,               -661657,             -1134041,,               -606004,             -2401702,,                819939,,                 80877,,                900270,             -1501432,             -1477941,               -990107,                 -5162,                -17275,             -1010833,,             -1099000,              1070785,,,                -12146,                 -9947,,,,                  1711,                -47957,,,                  5201,,                -97104,                 13656,,              1115338,,                 56548,                232551,                289099,                289099,,,                              0,                 23491,                   -546,                  2351,                193585,              1000000
3545,2013年01月01日至2013年06月30日,,                363072,                363072,,,                 15680,                 14336,,                   -512,                  4169,                 -2465,                              0,,,                    -94,,,                 47332,,,,             -1140606,               -350719,,               -513894,             -2005219,,                777046,,                105152,,                881834,             -1123385,             -1044939,               -681867,                 -3051,                -16907,               -701154,,               -471000,                249035,,,                 -5914,                 -8790,,,,                    671,               -233285,,,                 -6146,,,                 13656,,              1370855,,                436416,                232551,                668967,                668967,,,,                 78446,                   -364,                  3384,                363345,              1000000
