證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　 處分待出售非流動資產,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他借款增加,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 應付租賃款增加,　　　　 處分投資性不動產損失（利益）,　　　　　 其他營業資產（增加）減少,　　 處分投資性不動產,　　 其他投資活動,　　 其他借款減少,　　 應付租賃款減少,　 匯率變動對現金及約當現金之影響,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 應付票據－關係人增加（減少）,　　　　 金融資產減損迴轉利益,　　 處分備供出售金融資產,　　 處分採用權益法之投資,　　 存入保證金減少
1456,2015年01月01日至2015年09月30日,,                -58115,                -58115,,,                 24955,                    115,                 -1804,                 46100,                    -44,                  1552,                   -166,                   -120,                              0,                 70588,,,                     40,                              0,                     33,                 37122,                 -2580,               -188917,                    712,                 -5969,               -159559,,                -10267,                 31604,                  4307,                 -5329,                 30472,                 44191,                 -7090,                 87888,                -71671,                 -1083,                -59198,                     44,                -94293,               -153447,,                    120,                              0,                    305,                 -1400,                 -2374,                 16018,                  1120,                 13789,,                613389,               -479837,                213151,               -220827,                 28700,                -12688,                              0,                141888,                  2230,                  5708,                  7938,                  7938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2015年01月01日至2015年06月30日,,                -43298,                -43298,,,                 15636,                     45,                   -118,                 32156,                    -38,                  1433,                              0,                   -120,,                 48994,,,                    -40,                 -4091,                     31,                 46267,                    165,               -146147,                  1649,                -11029,               -113195,,                -11733,                 -9214,                   -258,                 -6983,                 18275,                 -1136,                 -4466,                -15515,               -128710,                -79716,               -123014,                     38,                -65532,               -188508,,                    120,                              0,                              0,                 -1400,                              0,                 10043,                  1120,                 57127,,                537857,               -390305,                 59279,                -57299,                 -2500,                              0,                              0,                136405,                  5024,                  5708,                 10732,                 10732,                              0,                 47244,                -10627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2015年01月01日至2015年03月31日,,                -22163,                -22163,,,                  7151,,,                 14444,                     -7,                  1284,                              0,,,                 22872,,,                     40,                 -6707,                     33,                 42531,                    211,                -92727,                 -2430,                -14698,                -73747,,                 -8682,                 -7509,                 -6254,                 -3730,                  9386,                   -175,                 -2281,                -19245,                -92992,                -70120,                -92283,                      7,                -28541,               -120817,,,                              0,                              0,,                  3431,,                   -282,                 50393,,                526780,               -373923,                 54640,                 -5685,               -108000,                -12037,                              0,                 81775,                 11351,                  5708,                 17059,                 17059,                              0,                 47244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年度,,             -1121535,             -1121535,,,                 28332,,                  3396,                 64022,                   -170,                 -1720,                  2781,,                983218,,,,                    324,                 65194,                 -1647,                -94297,                119454,               -810060,                 21931,                  9761,               -689340,,                -15084,                -39409,                -35991,                 -3644,                 46305,                 48595,,                -29963,               -719303,                361156,               -760379,                    170,                -94678,               -855008,,,                -13195,                     33,,,                 -6239,,                -20491,,                979895,             -1189016,              1566395,               -793893,                -43500,,                348000,                869385,                 -6114,                 11822,                  5708,                  5708,                   -121,,                              0,,                              0,                    600,              1080459,                              0,                              0,                              0,                              0,                -30735,                              0,                 -1090,                  1504,                              0,                              0,                              0,,,,,,,,,,,,,
1456,2014年01月01日至2014年09月30日,,             -1103174,             -1103174,,,                 20089,                              0,                  3104,                 45864,                   -118,                 -2251,                    -33,                              0,                983218,              1049873,,,                    312,                 65194,                 -1322,               -105407,                116336,               -804627,                 28990,                     -8,               -700532,,                  8590,                -47142,                 -7346,                 -1724,                 65572,                -27042,                -29662,                -38754,               -739286,                310587,               -792587,                    118,                -63853,               -856322,,                              0,                -13195,                     34,                              0,                 19695,                -16000,                 -1090,                -10556,,                948518,             -1156172,              1543646,               -772230,                -24000,                  1559,                348000,                889321,                 22443,                 11822,                 34265,                 34265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年01月01日至2014年06月30日,,               -125389,               -125389,,,                 13977,                              0,                  1058,                 28508,                   -114,                   -920,                    -33,                              0,,                 42476,,,                    121,                 53382,                    171,                -21775,                115052,               -279698,                 23055,                -27597,               -137289,,                -27054,                -46474,                -19599,                  4488,                 27250,                  2269,                -12467,                -71587,               -208876,               -166400,               -291789,                    114,                -28645,               -320327,,                              0,                 -1145,                     33,                              0,                -17954,                              0,                 -5650,                -24716,,                346851,             -1137629,              1623799,               -681735,                -26500,                  1580,                348000,                474366,                129323,                 11822,                141145,                141145,                     -7,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年01月01日至2014年03月31日,,                -36075,                -36075,,,                  7490,,,                 13821,                    -20,                    704,                    -33,,,                 21962,,,                    267,                 65194,                     19,                -23054,                 87905,               -116350,                  7423,                -14033,                  7371,,                 -8907,                 10992,                -20510,                  1285,                 13763,                  5831,                 -4538,                 -2084,                  5287,                 27249,                 -8826,                     20,                -13739,                -22542,,,                   -860,                     33,,                              0,,                 -5680,                 -6507,,                 88540,                -78851,                  3800,                 -5862,               -176500,                    -16,                348000,                179111,                150062,                 11822,                161884,                161884,                      3,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2013年度,,                  7886,                  7886,,,                 36150,,                    710,                 56923,                    -95,                    622,                   -103,,                              0,,,,                 20961,                -44896,                 74216,                -41705,                  9829,               -778038,                -26982,                              0,               -865136,,                -65933,                 27984,                 -4672,                 16875,                              0,                 23513,,                -70530,               -935666,               -952518,               -944632,                     95,                -56774,             -1001315,,,                 -1721,                  1698,,,                              0,,                     36,,                918978,               -906498,                399050,                 -1619,                              0,,                              0,                731472,               -269807,                281629,                 11822,                 11822,                     -4,,                 -1129,,                  2241,               -113300,                -16852,                -52656,                -25865,                -30646,                  2768,                -40419,                     59,                              0,                140438,                 10557,                171500,                    195,,,,,,,,,,,,,
1456,2013年01月01日至2013年12月31日,,               -119735,               -119735,,,                 50471,,,                 56923,                    -95,                    622,                      6,                              0,,,,,                 20961,                -44896,                 74926,                -41705,                  9829,               -778038,                -26982,,               -864426,,                -65933,                 27984,                 -4672,                188375,,                 23513,,                100970,               -763456,               -653395,               -773130,                     95,                -56774,               -829908,,                              0,                 -1721,                              0,,,,,                    129,,                918978,               -885010,                399050,                 -1619,,                              0,                              0,                581460,               -248319,                229976,                -18343,                 11822,                     -4,,                 -1129,,                  2241,,                110061,                -52656,                -25865,                -30646,                  2768,                -40419,                     59,,                140438,                 10557,,                    195,                   -107,,                  1696,                              0,,                              0,,                -30165,                              0,                              0,                              0,                              0,                              0
1456,2013年01月01日至2013年09月30日,,                -73965,                -73965,,,                 27824,,                    710,                 41578,                    -65,                    579,                    -55,,                              0,,,,                 21254,                -48997,                 72495,                 49183,                -62996,               -753240,                -23477,                              0,               -745778,,                -91358,                   -759,                  9219,                 -4359,                              0,                 -1916,,               -157353,               -903131,               -830346,               -904311,                     65,                -41149,               -945396,,,                 -1293,                    980,,                              0,                              0,                     58,                   -255,,                605696,               -417255,                395050,                   -722,                              0,                  8821,                              0,                702590,               -243061,                281629,                 38568,                 38568,                     -1,,,,                  2214,,                 72785,,,                -30646,,                -37534,,,,,                111000,,,,,,,,,,,,,,
