證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 應付租賃款減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分採用權益法之投資損失（利益）,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 其他應收款－關係人增加,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　　 非金融資產減損迴轉利益,　　 預收款項增加－處分資產,　　　　 金融資產減損損失,　　 應付短期票券減少
2608,2015年01月01日至2015年09月30日,,              1305606,              1305606,,,                279596,                 48310,                  1373,                  7036,                   -702,                -12422,                    781,               -247157,                    101,                              0,                              0,                  8995,                 85911,,,                -82044,                -63067,                 11217,                -11506,                -45827,                -12164,                     67,               -203324,,                  3752,                -25197,                -93764,                -22666,                -65330,                              0,               -203205,               -406529,               -320618,                984988,                  1187,                 -6634,               -305913,                673628,,                 -5000,               -110124,                              0,               -152262,                413316,                 -5634,                    500,                -12217,               -341855,                              0,                 12422,               -200854,,              1473000,             -1091000,                              0,              1263895,             -1094655,                 -6070,                              0,                -26200,               -325471,               -725374,               -117876,               -649751,                 -4425,               -181402,                767452,                586050,                586050,                              0,,,,,,,,,,,,,,,
2608,2015年01月01日至2015年06月30日,,                920029,                920029,,,                181542,                 31386,                  1303,                  5026,                   -682,                 -1350,                     80,               -246300,                     55,,                              0,                  5996,                -22944,,,                 13635,                 12487,                 12894,                 -9747,                -51337,                -10599,                    567,                -32100,,                  4988,               -154580,               -149143,                 46658,                -40220,                              0,               -292297,               -324397,               -347341,                572688,                    993,                 -4881,               -206859,                361941,,                 -5000,               -110124,                              0,                -64235,                412320,                 -5635,,                 -6215,               -123702,                              0,                              0,                 97409,,                430000,               -306000,                              0,                793895,               -753060,                 -6070,                              0,                -26200,               -325471,,               -117876,               -310782,                  2396,                150964,                767452,                918416,                918416,                              0,                              0,                              0,,,,,,,,,,,,,
2608,2015年01月01日至2015年03月31日,,                321853,                321853,,,                 86745,                 14847,                    254,                  2619,                    -63,,                    141,                      2,                     27,,,                  2998,                107570,,,                 44618,                 50292,                 12587,                 -1374,                -63889,                 -3020,                              0,                 39214,,                  4179,               -161307,               -243755,                 59467,                -17110,                              0,               -358526,               -319312,               -211742,                110111,                    238,                 -2575,                    -21,                107753,,                 -5000,,                              0,                -32532,                              0,                 -4180,,                   -832,                -78612,                              0,,               -121156,,                210000,               -121000,,                403895,               -191465,                 -6270,,,               -325471,,,                -30311,                 -1171,                -44885,                749353,                704468,                704468,,                              0,,,,,,,,,,,,,,
2608,2014年度,,              1220176,              1220176,,,                329463,                 58196,                  2668,                  9690,                 -1499,                -13659,                 -1537,                -13595,                     77,                    -59,                  5086,                 11782,,,,                    173,                -66729,                   -873,                  1356,                 -1156,                  5440,                              0,                -61789,,                    879,                 75093,                136285,                -45082,,                     -1,                 97944,                 36155,                422768,              1642944,                  1784,                 -9773,               -223844,              1411111,,                              0,                -91800,                -13201,               -357073,                 69435,                  8639,,                -43592,               -458992,                -34250,                 13659,               -907175,,              4192000,             -4220000,,              1098004,             -1101872,                  6184,,,                -15140,               -677015,                 -4410,               -722249,                  1781,               -216532,                965885,                749353,                749353,                              0,                              0,,,                              0,                386613,                -69230,                              0,                              0,,,,,,,
2608,2014年01月01日至2014年09月30日,,                892739,                892739,,,                248067,                 40349,                  1741,                  7711,                   -785,                -13659,                 -1015,                   -490,                              0,                    -59,                  1707,                  8784,                292351,,,                 -2448,                -46336,                 12587,                 -7407,                -22918,                  4537,                   -210,                -62195,,                  3969,                 57955,                -50336,                 27951,                -52419,                              0,                -12880,                -75075,                217276,              1110015,                    883,                 -7711,               -211260,                891927,,                              0,                -91801,                -13201,               -292465,                  1325,                   -978,                              0,                -30528,               -254219,                -34250,                  6573,               -709544,,              2377000,             -2196000,                -10000,                814365,               -820593,                    -66,                 30000,                              0,                -11333,               -677015,                 -4410,               -498052,                    896,               -314773,                992004,                677231,                677231,                              0,,,,,,,,,,,,,,,
2608,2014年01月01日至2014年06月30日,,                542734,                542734,,,                162964,                 26261,                    412,                  4935,                   -731,                 -6573,                   -354,                   -289,                              0,,                    -13,                  5786,                192339,,,                 19213,                  7042,                 12829,                 -2451,                -34291,                  1493,                   -165,                  3670,,                  2704,                -31118,                -31297,                 -5569,                -35596,                  5583,                -95293,                -91623,                100716,                643450,                    747,                 -4466,               -127468,                512263,,                              0,                              0,                -13201,               -205505,                    919,                              0,,                -17440,               -110865,                -34250,                  4413,               -375556,,                602000,               -725000,                -10000,                500000,               -670000,                   -316,                 30000,                              0,                 -7540,,                              0,               -280856,                              0,               -144149,                992004,                847855,                847855,                              0,                    -59,                    373,,,,,,,,,,,,,
2608,2014年01月01日至2014年03月31日,,                256044,                256044,,,                 79113,                 12692,                     25,                  2493,                    -72,,                    158,                     -2,                              0,,,                  2787,                 95912,,,                 53843,                 69044,                  8309,                 -3810,                -34825,                  1186,                   -173,                 93574,,                  2542,                 67096,               -157137,                -17306,                -16772,                     -2,               -121579,                -28005,                 67907,                323951,                     95,                 -2493,                     -6,                321547,,                              0,,                -13965,               -144350,                      4,                    636,,                   -371,                -57272,                -34249,,               -249567,,                330000,               -353000,,                340000,               -420000,                   -266,,,                 -3762,,,               -107028,                  1226,                -33822,                965885,                932063,                932063,,                 -1282,,,,,,,,,,,,,,
2608,2013年度,,              1122480,              1122480,,,                322264,                 42797,                  1298,                 10779,                 -1712,                -13291,                    328,                -56533,                              0,                 -3463,                              0,                  7007,,,,                 48752,                -35532,                138283,                -11934,                 25089,                 -6210,                 -4597,                153851,,                 -4706,                -66659,                139295,                 49998,,                     -1,                 11792,                165643,                517637,              1640117,                  1725,                -10866,               -167064,              1463912,,                 -5000,                              0,                    400,               -238296,                105873,                -11474,,                -41681,               -281810,               -104249,                 13291,               -560371,,              1213000,             -1248000,,              2580000,             -2610000,                 -1989,,,                -13862,               -531941,                 -2940,               -615732,                -13753,                274056,                691829,                965885,                965885,                              0,                 42179,,,                    341,                351994,               -106135,                 11348,                 -8773,,,,,,,
2608,2013年01月01日至2013年12月31日,,              1122480,              1122480,,,                322264,                 42797,                  1298,                 10779,                 -1712,,                    328,                -56533,,                 -3463,,                  7007,,,,                 48752,                -35532,                138283,                -11934,                 25089,                 -6210,                 -4597,                153851,,                 -4706,                -66659,                139295,                 49998,,                     -1,                 11792,                165643,                530928,              1653408,                  1725,                -10866,               -167064,              1477203,,                 -5000,,                    400,               -238296,                105873,,,                -41681,               -281810,               -104249,,               -573662,,              1213000,             -1248000,,              2580000,             -2610000,                 -1989,,                              0,                -13862,               -531941,,               -612792,                -16693,                274056,                691829,                965885,                965885,,                 42179,                -11474,,                    341,                365285,               -106135,                 11348,                 -8773,,,,                              0,,                              0,                              0
2608,2013年01月01日至2013年09月30日,,                845200,                845200,,,                241124,                 30520,                    295,                  7959,                 -1163,                -13291,                   -151,                -54371,,                 -1075,                              0,                  5005,,,,                 49144,                -23497,                129981,                -11148,                 11391,                 -3017,                 -3959,                148895,,                    734,               -137631,                 78395,                 27613,,                      5,               -111016,                 37879,                252731,              1097931,                  1223,                 -8017,               -164942,                926195,,                 -5000,                              0,                    400,               -235224,                 99595,                -13418,,                -25605,               -141377,               -103899,                 13291,               -411237,,                716000,               -723000,,              1810000,             -1630000,                 -1859,,                -10557,                -10112,               -531941,                 -2940,               -384409,                  2707,                133256,                691829,                825085,                825085,                              0,,,,,                214852,                -80132,,,,,                926195,,,,
