證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得避險之衍生金融資產,　　 處分避險之衍生金融資產,　　 除列避險之衍生金融負債,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 預付投資款減少,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得待出售非流動資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 預收款項減少－處分資產,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付款項減少,　　 其他非流動負債增加,　　 現金增資,　　 庫藏股票處分,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　 其他金融資產增加,　　　　　 其他金融資產（增加）減少,　　 其他非流動資產減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 投資性不動產公允價值調整損失(利益),　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 其他投資活動,　　 應付款項增加,　　 發放現金股利,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　　 應付建造合約款（增加）減少,　　　　　 其他營業負債增加（減少）,　　 其他應付款－關係人增加,　　　　 處分其他資產損失（利益）,　　　　 其他項目
1449,2015年01月01日至2015年09月30日,,               -258696,               -258696,,,                 11682,                 10758,                    567,                 61053,                   -761,                -12340,                 -2634,                -11777,                 -1433,                 55115,,,                    205,                 22085,                    751,                -11242,                -28948,                 10030,                    218,                 25156,                  4802,                -34202,                -11145,,                -48775,                 82385,                -61864,                -91657,                  5769,                 -5403,                 42332,                              0,                 42395,                -32644,                -67462,                -78607,                -23492,               -282188,                    761,                 12340,                -61677,                    -61,               -330825,,                              0,                              0,                              0,                              0,                    636,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -20937,                  5787,                              0,                              0,                              0,                  1750,                -41585,                -12455,                -66804,,                380449,                              0,                              0,                -21091,              1481848,             -1490454,                  1151,                              0,                 -2421,                282186,                              0,                  7589,                              0,                              0,                639257,                      1,                241629,                143612,                385241,                385241,,,,,,,,,,,,,,,,,,,,,,
1449,2015年01月01日至2015年06月30日,,               -193295,               -193295,,,                  7974,                  7033,                    530,                 38064,                   -690,                -12337,                 -2213,                 -8818,                 -2032,                 27511,,,                    100,                 15168,,                -23903,                 -7260,                  8112,                    946,                 54135,                  5453,                 -8428,                 45472,,                -38296,                 49240,                -81532,                -91221,                  7341,                  4787,                 33223,,                 43346,                -25404,                -98516,                -53044,                -25533,               -218828,                    690,,                -39090,                    -57,               -257285,,                              0,,,                    636,,,,,                              0,,,,,,,,,                   -933,                  5433,,,                              0,                 11650,                  6520,                 -4136,                 19170,,                194398,,                              0,                   -599,              1469347,             -1465689,,                              0,                 -1202,                    624,                              0,,                              0,                              0,                196879,                    241,                -40995,                143612,                102617,                102617,                  1149,                              0,,,,,,,,,,,,,,,,,,,,
1449,2015年01月01日至2015年03月31日,,                -68506,                -68506,,,                  4150,                  4071,                    129,                 14876,                   -162,,                    104,                 -2606,                 -1841,                 18721,,,                              0,                 29372,,                 45153,                 17843,                  1423,                    638,                -51920,                 14269,                 -1010,                 55997,,                -42172,                 35053,                -62417,                -33246,                  1778,                 -3655,                -16378,,                  8840,                 -6784,               -118981,                -62984,                -44263,               -112769,                    162,,                -14682,,               -127289,,                              0,,,                              0,,,,,,,,,,,,,,                   -312,,,,                              0,                 10609,                  8372,                   -246,                 18423,,                 70068,,                              0,                -20599,              1454083,             -1443237,,,                 -3156,                              0,                              0,,,,                 56974,,                -51892,                143612,                 91720,                 91720,                  1747,,                 -1518,                              0,                   -185,,,,,,,,,,,,,,,,,
1449,2014年度,,                 25525,                 25525,,,                 24659,                 22904,                    541,                 56847,                   -808,                 -8748,                 -7839,                -51605,                 -6609,,,,                  5155,                  9631,,                    428,                 -4806,                 -1206,                 -3882,                 29534,                 76664,                 -1957,                108054,,                 75964,                 52656,                 99683,                 -7303,                -26922,                  3302,                 24628,,                 43985,,                185569,                293623,                -11840,                 13685,                    808,                  8748,                -56908,                   -615,                -34282,,                    675,,,                  4355,,,,,                -75000,                              0,,,,,,,,                -20042,                101713,,,                -13217,,,                 -3692,                 -5686,,                              0,                -38078,                 17903,,                100000,                -37489,                  1276,                              0,                              0,                  2786,                 80034,                              0,                    -68,,                130820,,                 90852,                 52760,                143612,                143612,                 -1507,                 -6000,,,,,                    815,                -50592,               -285028,               -305463,                -80424,                              0,                  5522,                  4456,                              0,,,,,,,
1449,2014年01月01日至2014年09月30日,,               -186784,               -186784,,,                 19745,                 10189,                    548,                 42189,                   -374,                 -8746,                 -3086,                -46190,                 -2295,                 11980,,,                  4900,                 14506,                 -2544,                  8103,                -49443,                 10556,                 -3830,                 49424,                 79807,                -20125,                 91354,,                 92635,                 45817,                 30227,                 -5180,                -28504,                 15017,                 43893,                              0,                 -7498,                -61434,                124973,                216327,                228307,                 41523,                    374,                  8746,                -42430,                   -497,                  7716,,                    712,                              0,                              0,                  3867,                    488,                              0,                              0,                              0,                -75000,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -16903,                 95806,                              0,                              0,                -23665,                              0,                -13423,                 -3193,                -31311,,                              0,                -32972,                 18402,                              0,                100000,                -19108,                              0,                 -1432,                              0,                              0,                 80034,                              0,                    -68,                 -6206,                138650,                     -2,                115053,                 52760,                167813,                167813,,,,,,,,,,,,,,,,,,,,,,
1449,2014年01月01日至2014年06月30日,,               -128660,               -128660,,,                 13953,                  4777,                    374,                 27777,                   -365,                 -8746,                  2573,                -36434,                  1140,                  5049,,,                  5349,                 24841,,                 44029,                    508,                 10393,                 -3659,                102868,                 47398,                -13078,                209723,,                -38230,                 20996,                 -7687,                -12785,                  4588,                  5481,                -43128,,                 17261,                -50935,               -104439,                105284,                110333,                -18327,                    365,,                -27912,                    -28,                -45902,,                    712,,,                  4355,,,,,                -75000,,,,,,,,,                -23107,                 75206,,,                 -1257,                              0,                              0,                 -1299,                -35044,,                 48778,,                 19001,                              0,                              0,                 -9000,,                   -409,                              0,                              0,                 80034,,                    -68,                 -4024,                134312,                     -3,                 53363,                 52760,                106123,                106123,                 -8926,                -14654,,,,,,,,,,,,,,,,,,,,
1449,2014年01月01日至2014年03月31日,,                -99654,                -99654,,,                  7012,                              0,                     76,                 13705,                    -62,,                    988,                              0,                   -377,                 21342,,,                  4573,                -19359,,                 63289,                 52278,                 13819,                              0,                 54581,                  8064,                -16281,                111503,,                -12250,                 -8116,                -21981,                -38387,                  2218,                  3459,                -18293,,                 29639,                 -8101,                -71812,                 39691,                 61033,                -38621,                     62,,                -13729,,                -52288,,                    712,,,                  3365,,,,,,,,,,,,,,                 -2166,,,,                 -2593,                              0,                 28340,                              0,                 27975,,                 10836,,                 19500,                              0,                              0,                 -4500,,,                              0,                     63,                 41100,,,,                 66999,,                 42686,                 52760,                 95446,                 95446,                 -8033,,                -41428,                    317,                              0,,,,,,,,,,,,,,,,,
1449,2013年度,,               -130275,               -130275,,,                 41928,                 18963,                   -511,                 52481,                   -707,                -10065,                 -1615,                -19235,                    132,,,,                 -1299,                -12221,,                 -5532,                -88689,                 -9943,                    996,                -63290,                -20933,                 13548,               -180565,,               -107839,                 44360,                -66673,                  8091,               -132769,                 28623,                101227,,                 40959,,               -122103,               -302668,               -238126,               -368401,                    707,                 10065,                -52369,                 -5324,               -415322,,                 29402,,,                  4484,,,,,                              0,                  8268,,,,,,,,                -12030,                 25980,,,                -25317,,,                   -164,                 72490,,                111321,                              0,                 17902,,                              0,                -18000,                              0,                 -2293,                 -8281,                              0,                127413,                    677,                              0,,                218533,,               -124299,                177059,                 52760,                 52760,                  6798,                              0,,,,,                  1769,                              0,                -18598,                 64542,                -38082,                 -8645,                 50512,                              0,                -10206,,,,,,,
1449,2013年01月01日至2013年12月31日,,               -158539,               -158539,,,                 51594,                 18963,                   -511,                 52481,                   -707,                -10065,                 -1615,                -19235,                    132,,,,                 -1299,                -12221,                              0,                 -5532,                -88689,                 -9943,                    996,                -63290,                -20933,                 13548,               -180565,,               -107839,                 44360,                -66673,                  8091,,                 28623,                101227,,                 40959,,               -122103,               -302668,               -209862,               -368401,                    707,                 10065,                -52369,                 -5324,               -415322,,                 29402,,,                  4484,,,,,,                  8268,,,,,,,,                -12030,                 25980,,,                -25317,,,                   -164,                 72490,,,                111321,,                 17902,,                -18000,,                 -2293,                 -8281,,                127413,                    677,                              0,                              0,                218533,                              0,               -124299,                177059,                 52760,                 52760,                  6798,,,,,,                  1769,,,                 92806,                -38082,                 -8645,                 50512,,                -10206,                              0,                              0,               -132769,                              0,                              0,,
1449,2013年01月01日至2013年09月30日,,               -129203,               -129203,,,                 31309,                 14072,                    205,                 38978,                   -503,                 -8768,                   -565,                -19053,                  1421,,,,                 -2943,                 10666,,                 58966,                  2692,                 -4021,                    781,               -114394,                -38152,                  3784,                -82728,,                -88466,                 70284,                -32954,               -103180,               -121242,                179685,                              0,,                 25033,,                -91698,               -174426,               -115561,               -244764,                    503,                  8768,                -39093,                 -5680,               -280266,,                 29402,,,,                              0,,,,                              0,                  8268,,,,                 10476,,,,                 -8386,                 25782,,,                -22409,,,                   -295,                100749,,                  8313,                              0,                              0,                 -1599,                              0,                -13500,,                 -2072,,,                127413,                    677,                   -928,                   -892,                107206,                              0,                -72311,                177059,                104748,                104748,                  3156,,                 -3263,,,,                  1769,,,                 58865,                -20858,,                 57911,,                -10206,,,,,,,
