證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人減少,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款－關係人增加,　　 其他借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 對子公司之收購（扣除所取得之現金）,　　 存入保證金增加,　　 其他籌資活動,　　　　 處分採用權益法之投資損失（利益）,　　 處分子公司,　　　　 處分投資性不動產損失（利益）,　　　　 處分其他資產損失（利益）,　　 採用權益法之被投資公司減資退回股款,　　 處分無形資產,　　 發行公司債,　　 員工購買庫藏股
3231,2015年01月01日至2015年09月30日,,              2513389,              2513389,,,              5920350,                318154,             -2379218,              1432299,             -1411430,               -118030,                -86141,                 -5134,               -124751,                 17987,                  4019,                 -3990,                 96783,                  2479,                  6827,                467196,              4137400,,,                 -1199,             19627210,              3852540,                  4120,                237633,                -10326,             23709978,,                 -2422,               -667439,             -4902089,               -347128,                182043,              1213277,                280038,             -4243720,             19466258,             23603658,             26117047,              1340434,                380745,             -1531782,             -2370736,             23935708,,               -879418,                 16761,               -329754,                 43573,                -79672,                              0,             -2505084,                 61819,                  9829,               -315692,                 32669,             -1403360,                 -1942,             -5350271,,                              0,             -9497069,               -605030,              1113213,             -8192209,                -40203,             -2961921,                              0,             -2702207,                 43247,            -22842179,              1515622,             -2741120,             55692329,             52951209,             52951209,,,,,,,,,,,,,,,
3231,2015年01月01日至2015年06月30日,,              1197211,              1197211,,,              3959975,                202466,                  4337,                975511,             -1077455,                -35474,                -96162,                 -5134,                -64552,                 18380,                  4433,                 -3906,                 45459,                  2479,                  6827,                 55965,              3993149,,,                   -512,             24574885,             -2128672,                  4822,             11966033,                591945,             35008501,,                 37220,            -24842730,              2274018,                109225,               -102583,               -857154,                -77906,            -23459910,             11548591,             15541740,             16738951,                937886,                 53539,             -1035081,             -1710264,             14985031,,               -609805,                 16761,               -329754,                 26139,                -14400,                              0,             -1706068,                 55163,,               -299579,,               -658948,                 32669,             -3493567,,                549878,,               -605030,             -8936669,              1081530,                 34100,,,,                 44811,             -8481966,             -1178462,              1831036,             55692329,             57523365,             57523365,                 -5745,               -650586,,,,,,,,,,,,,
3231,2015年01月01日至2015年03月31日,,              1052001,              1052001,,,              2011640,                 95439,               -197413,                507383,               -587937,                 -4913,               -103803,                 -5134,                -67589,                 -1036,                  3613,                 -2105,,,                  6827,                 43431,              1698403,,,,             15463808,             -1265927,                -27891,              4416859,              1858174,             20445023,,,            -21027897,              1176558,                 26143,               -152458,             -2007810,               -109148,            -22094612,             -1649589,                 48814,              1100815,                408507,                  4913,               -544687,               -934406,                 35142,,                              0,                 46524,                -47127,                  3447,                              0,                              0,               -818995,                  8863,                              0,                -32724,                 32669,               -358508,                              0,             -1174927,,,             -2552885,               -605030,                561486,               -872976,               -154613,,,,                 45631,             -3578387,               -647065,             -5365237,             55692329,             50327092,             50327092,                 -9076,,,,,,,,,,,,,,
3231,2014年度,,              4842400,              4842400,,,              7765789,                373186,                 52172,              2398574,             -2951969,                -84445,                222593,                512537,                 16813,                 94333,                 10987,                -10406,,,                 42842,                 69395,,,,                    225,            -12144965,              5318913,                205515,            -20663668,               -401068,            -27685048,,                  6493,             14076479,             -8431259,               -408842,               -113252,              2365150,                 47263,              7542032,            -20143016,            -11630615,             -6788215,              3237708,                381337,             -1934992,             -2358240,             -7462402,,               -582082,                 11226,               -252525,                 32685,               -531314,                 19972,             -5708441,                157012,                  2419,               -204772,,             -2566433,                -10881,             -9633134,,             14707190,,             -8508081,              7828233,             -9637822,,             -4280688,                549944,,                114405,                104273,              2596717,            -14394546,             70086875,             55692329,             55692329,                              0,,,              8512401,                              0,               -668908,                              0,,,,,,,,
3231,2014年01月01日至2014年09月30日,,              3983408,              3983408,,,              5771245,                280870,                311066,              1769851,             -2328700,                -68492,                170406,                133456,                -20657,                 60595,                  2917,                 -7954,                              0,                              0,                              0,                 18813,              6093416,,,                 -3261,            -12285526,              1749693,                 68598,            -20464383,               -317200,            -31252079,,                  2525,             13767342,             -3183309,               -151533,                302319,              1182734,                 45208,             11965286,            -19286793,            -13193377,             -9209969,              2372402,                361179,             -1438414,             -1583180,             -9497982,,               -496597,                 11226,               -197876,                  8786,               -515455,                 19972,             -3952444,                 72207,                    437,               -138506,                              0,             -2254036,                -10881,             -7453167,,             11413651,                              0,                              0,              7543540,             -9644211,               -213180,             -4280688,                379837,                              0,                115578,              5314527,                760877,            -10875745,             70086875,             59211130,             59211130,,,,,,,,,,,,,,,
3231,2014年01月01日至2014年06月30日,,              2077263,              2077263,,,              3836722,                186642,                460990,              1177790,             -1501233,                 -9931,                115604,                 -9611,                -42839,                 29388,                  4485,                 -7006,                              0,                              0,                              0,                 41417,              4282418,,,                -11433,              8959538,                194811,                -16043,             -8249413,               -521189,                356271,,                 -1952,             -2716785,               -892931,                -44181,                190348,                665802,                 16190,             -2783509,             -2427238,              1855180,              3932443,              1662070,                 49099,               -968641,               -962952,              3712019,,               -313527,                 12040,               -190396,                  3070,               -513565,                 19972,             -2571429,                 67295,,               -130366,,             -1647010,                -10881,             -5278481,,              5562896,,                              0,            -10042779,              2117080,                -72487,,,,                117342,             -2317948,               -145207,             -4029617,             70086875,             66057258,             66057258,                 -3684,                              0,,,,,,,,,,,,,
3231,2014年01月01日至2014年03月31日,,                453537,                453537,,,              1917549,                 91912,                680216,                571239,               -635487,                     -6,                 54802,                153776,                -22520,                 15333,                  2007,                 -6273,,,                              0,                              0,              2822548,,,,             20819581,                641066,                 77264,              6247388,                -39360,             27745939,,,            -13867780,             -1953344,               -186839,                101436,               -953633,                 12906,            -16847254,             10898685,             13721233,             14174770,                703634,                      6,               -498504,               -515079,             13864827,,               -272342,                  7700,                -47840,                              0,               -513565,                 19972,             -1574027,                 29582,                  4690,                -49829,                              0,               -841472,                -10881,             -3248012,,,             -2880553,                              0,                              0,             -9222534,                 -6191,,,,                              0,            -12109278,              1070403,               -422060,             70086875,             69664815,             69664815,                              0,,,,,,,,,,,,,,
3231,2013年度,,              7915187,              7915187,,,              7514343,                389685,               -652486,              2017697,             -1355838,               -154861,                 73069,                223524,               -412600,                 10928,                230124,                -51741,,,                              0,                 48569,,,,                  3783,              9001533,              1895446,                 65977,             -2693833,             -2121401,              6151505,,                  1702,            -12013088,             -1672619,               -118186,                324353,              2244105,                -13539,            -11247272,             -5095767,              2784646,             10699833,              1416770,                341713,             -1517466,             -1806300,              9134550,,               -147980,                152123,                -71501,                 37322,                -47952,                              0,             -4811782,                267038,                              0,               -475517,,             -2922795,                -17416,             -8017664,,            -22460388,,                              0,             19636556,               -952401,,             -3273767,                  7444,,                              0,             -5137528,              1528088,             -2492554,             72579429,             70086875,             70086875,                 -4186,,,              7880413,                 24982,              1901646,                  3382,,,,,,,,
3231,2013年01月01日至2013年12月31日,,              7915187,              7915187,,,              7514343,                389685,               -652486,              2017697,             -1355838,,                 73069,                223524,               -226037,                 10928,                230124,                -51741,,,,,,,,                  3783,              9001533,              1895446,                 65977,             -2693833,             -2121112,              6151794,,                  1702,            -12013088,             -1672619,               -118186,                324353,              2244105,                -13539,            -11247272,             -5095478,              3126359,             11041546,              1416770,,             -1517466,             -1806300,              9134550,,               -147980,                152123,                -71501,                 37322,                -47952,,             -4811782,                267038,,               -475517,,             -2922795,,             -8017664,,            -22460388,,                              0,             19636556,               -952401,,             -3273767,                  7444,,                              0,             -5137528,              1528088,             -2492554,             72579429,             70086875,             70086875,                 -4186,,,              8221837,                 24982,              1901646,                  3382,,                -17416,                              0,                 48569,                              0,                              0,                              0,                              0
3231,2013年01月01日至2013年09月30日,,              6320390,              6320390,,,              5462458,                294111,                -93390,              1427239,               -887548,                -66333,                 18267,                146636,,                 13488,                 46048,                -74628,,,,                              0,,,,                  2896,              1724106,                833696,                 31878,            -10175824,             -1524092,             -9107340,,                   -266,               -998233,             -1376129,                -93889,                351335,                608325,                  5523,             -1503334,            -10610674,             -4615927,              1704463,                923952,                241369,               -996414,             -1737593,                135777,,               -121435,                154357,                -71501,                 27802,                -44505,                              0,             -3929246,                900722,                              0,               -383794,,             -3551948,                              0,             -6994897,,                              0,            -12055988,,             19482920,             -1173006,                              0,             -3273767,                  7444,,                              0,              4873538,              1036849,               -948733,             72579429,             71630696,             71630696,                   -331,,,              5994747,                 24982,              1882553,                  3382,               -291601,,,,,,,
