證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 存入保證金增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 無活絡市場之債務商品投資到期還本,　　 取得無形資產,　　 其他非流動負債增加,　　 其他非流動資產減少
2428,2015年01月01日至2015年09月30日,,                741911,                              0,                741911,,,                116081,                  2120,                  2019,                    -78,                  3252,                -34743,                    697,                 -1505,                 13189,                              0,                    355,                101387,,,                 31846,                 -6895,               -244472,                 29924,                  3856,               -167454,                 24888,               -328307,,                  3468,                 49901,                143805,                -47692,                 -5267,                 -3165,                141050,               -187257,                -85870,                656041,                 33016,                 -2762,               -148353,                537942,,               -415260,                263775,               -180393,                  2183,                  1859,               -151003,                  2325,                -59238,               -535752,,                630448,               -762373,                110000,                -60000,                              0,                 15326,               -267349,               -333948,                 20731,               -311027,              1485962,              1174935,              1174935,,,,,,,,,,,
2428,2015年01月01日至2015年06月30日,,                396269,                              0,                396269,,,                 76675,                  1435,                 -1483,                    -78,                  2309,                -22103,                   -279,                 -1505,                 10688,                              0,                 -7324,                 58335,,,                 31846,                  2113,                 22244,                 -2771,                  2340,               -104896,                  3974,                -45150,,                              0,                   -938,                160860,                -43537,                 -8054,                 -2133,                106198,                 61048,                119383,                515652,                 19528,                 -2313,                -94832,                438035,,               -234496,                 11505,                -87922,                  1687,,               -335932,                  2557,                -57675,               -700299,,                326777,               -585901,                110000,                              0,                              0,,,               -134298,                -53008,               -449570,              1485962,              1036392,              1036392,                    -23,                 14826,                              0,,,,,,,,
2428,2015年01月01日至2015年03月31日,,                176699,                              0,                176699,,,                 38476,                    753,                    585,                    441,                    657,                -13746,                    413,,                  4522,                              0,                 -5272,                 26829,,,,                  6545,                139194,                 -4772,                  3487,                -15929,                 -2770,                125755,,                              0,                -25735,                 18804,                -64815,                  3119,                 -1074,                -69701,                 56054,                 82883,                259582,                 11677,                   -231,                -17345,                253683,,               -108873,,                -47253,                  1166,,                -96446,,                -58059,               -309174,,                256850,               -297648,                 59615,                              0,                              0,                  7064,,                 25881,                -37921,                -67531,              1485962,              1418431,              1418431,,,                              0,                    291,,,,,,,
2428,2014年01月01日至2014年09月30日,,                602588,                    386,                602974,,,                109054,                  2268,                  1634,                     57,                  3527,                -20098,                 -2553,                              0,                 23078,                     19,                     16,                117002,,,                -30152,                -24455,                -69431,                   -765,                 13694,                -61054,                 -7467,               -179630,,                     34,                 26194,                 29553,                -27384,                  1463,                 -3355,                 26505,               -153125,                -36123,                566851,                 25733,                 -2147,               -120107,                470330,,                -12651,                              0,                -99580,                  8383,                 -1827,               -157481,                    441,                              0,               -262715,,              1022914,               -898993,                 10000,               -110000,                   -725,                  3342,               -253896,               -227358,                  2256,                -17487,              1024091,              1006604,              1006604,,,,,,,,,,,
2428,2014年01月01日至2014年06月30日,,                364754,                    397,                365151,,,                 74651,                  2062,                  1900,                     -7,                  2989,                -16076,                  1333,                              0,                 15698,                     19,                 -2473,                 80096,,,                -30152,                -10114,                 98303,                 -5951,                 15022,                -22323,                 -7018,                 37767,,                    -94,                 15769,                -31943,                 -1428,                    542,                 -2232,                -19386,                 18381,                 98477,                463628,                 22838,                 -1769,                -70689,                414008,,                              0,                              0,                -79194,                    272,,               -229038,                 21807,                              0,               -286806,,                611861,               -726450,                 10000,               -110000,                   -725,,,               -209244,                -21694,               -103736,              1024091,                920355,                830652,                   -653,                  6070,                 89703,,,,,,,,
2428,2014年01月01日至2014年03月31日,,                198689,                    607,                199296,,,                 38202,                    964,                 -1194,                   -856,                  1757,                 -6535,                 -1487,,                  1316,                     19,                    248,                 32434,,,,                 -6390,                132400,                  1689,                  9425,                 -9146,                 -8476,                119502,,                    -76,                -40190,                -33447,                -46806,                   -451,                 -1101,               -122071,                 -2569,                 29865,                229161,                  9456,                   -817,                -19411,                218389,,                              0,,                -46128,                      4,,               -119978,,                              0,               -140142,,                453777,               -261167,                 10000,                -50000,                   -725,                   -721,,                151164,                 18268,                247679,              1024091,              1271770,              1197615,,,                 74155,                 25960,,,,,,,
2428,2013年01月01日至2013年12月31日,,                704273,                -41706,                662567,,,                150851,                  4803,                  1377,                 -4617,                  5803,                -25229,                 12593,                   -144,                  7851,                  3596,                  6772,,,,                              0,                -16893,               -121347,                -12844,                 -7239,                -65810,                -14777,               -238910,,                   -113,                 -6605,                 38190,                 52376,                   -234,,                 75220,               -163690,                    -34,                662533,                 21729,                 -4085,               -146294,                533883,,,                  3144,               -231139,                 33741,,                 20093,                 -6248,,               -171705,,                960590,             -1300008,                199680,               -230000,               -160886,                   -218,               -241202,               -761869,                103526,               -296165,              1320256,              1024091,                954423,,,                 69668,,,                163656,                 -8394,                 13117,                 -4413,                 10175,
2428,2013年01月01日至2013年09月30日,,                452466,,                452466,,,                114009,                  4115,                   -916,                 -2823,                  5052,                -16783,                  2298,                   -144,                  9537,                  3596,                  4200,,,,                              0,                 -5710,                -73951,                 -6771,                 -1581,                -39710,                -31722,               -159445,,                   -194,                -18410,                 32881,                 -6211,                  1745,,                  2796,               -156649,                -34508,                417958,                 14190,                 -3191,               -131941,                297016,,,                  3144,               -129676,                  8743,,                 56612,                 -4860,,                -52920,,                753163,             -1115798,                 99742,               -220000,               -160886,                    -62,               -241202,               -880199,                 62808,               -573295,              1320256,                746961,                746961,,,,,,                122141,                 -7015,                 13117,,                  4844,
2428,2013年01月01日至2013年06月30日,,                277941,,                277941,,,                 77451,                  1866,                 -1678,                 -3047,                  3780,                -10122,                     39,                              0,,                  3596,                  8524,,,,                              0,                -10938,                -23580,                 -5544,                 -1494,                -12188,                  4451,                -49293,,                   -168,                  4961,                 26709,                 24882,                   -526,,                 51199,                  1906,                 82315,                360256,                  8779,                 -2227,                -74466,                292342,,,                              0,                -54173,                  7143,,                -49216,                -39127,,               -122256,,                483454,               -721518,                 89773,               -190000,               -160886,                              0,,               -494290,                 81599,               -242605,              1320256,              1077651,              1077651,,                     43,,,,                 80409,                 -4659,                 13117,,                  4844,
2428,2013年01月01日至2013年03月31日,,                111018,,                111018,,,                 38205,                    936,                 -2026,                 -1460,                  2557,                 -4965,                    714,                              0,,                  3596,                 14883,,,,                              0,                 -5670,                 76328,                  3187,                 -1687,                -26062,                  3018,                 49114,,                    -98,                 -7650,                   -670,                -11248,                    490,,                -21488,                 27626,                 80066,                191084,                  1714,                   -971,                 11341,                203168,,,                              0,                -22575,                    683,,                              0,                -16719,,                130918,,                240250,               -384415,                 59846,               -110000,               -160886,                   -939,,               -356144,                 38879,                 16821,              1320256,              1337077,              1337077,,,,                169529,,                 52440,                 -2312,                              0,,                              0,                              0
