證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 取得待出售非流動資產,　　 其他非流動資產減少,　　 存出保證金增加,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 償還長期借款,　　 非控制權益變動,　　 短期借款增加,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 舉借長期借款,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　 處分無形資產
1507,2015年01月01日至2015年09月30日,,              2034550,              2034550,,,                284929,                 11869,                -23164,                     53,                -40668,                 -9100,                -20827,                 10911,                 -7308,                    -13,                 -3443,                   -981,                  4156,                206414,,,               -365003,               -280911,             -1479567,                  4720,                936350,                210663,                     16,               -973732,,               -428714,                -28256,                150570,               -131662,                  3340,                 -8785,                 43027,               -400480,             -1374212,             -1167798,                866752,                 39187,                 12970,                    -53,               -527569,                391287,,                              0,                    644,                 11923,               -577614,                 24270,                  2081,                -17055,                 14096,               -181383,               -723038,,                 82484,                              0,                -13247,             -1256405,             -1187168,                 12206,             -1506713,              5061153,              3554440,              3554440,,,,,,,,,,,,,,,,,,
1507,2015年01月01日至2015年06月30日,,              1269237,              1269237,,,                186866,                  7665,                -10818,                     53,                -31688,,                  4442,                  6104,                 -5075,                              0,                    -77,                  4970,                  2738,                162930,,,               -270939,               -164320,               -697003,                -18807,                961160,                246723,                -13082,                 43732,,               -379037,                 85468,                -79284,               -538779,                  2751,                -14512,                 13830,               -909563,               -865831,               -702901,                566336,                 31074,,                    -53,               -291799,                305558,,                              0,,                 13823,               -497894,                 22366,                 28151,                -12768,,                -70123,               -503318,,,                -17920,                   -368,                -30334,                -48622,                -68729,               -315111,              5061153,              4746042,              4746042,                 -2250,                 -4496,                 17623,,,,,,,,,,,,,,,
1507,2015年01月01日至2015年03月31日,,                672530,                672530,,,                 81757,                  3681,                 -3560,                     46,                -20342,,                  9651,                     81,                              0,,                    -36,                  7675,                  1376,                 81384,,,               -241232,               -120574,               -425542,                  5143,              1295312,                159175,                -21961,                650321,,               -344148,             -1081324,               -342612,               -840015,                  3220,                -16065,                  3973,             -2616971,             -1966650,             -1885266,             -1212736,                 18668,                              0,                    -46,                -38623,             -1232737,,,,                              0,               -293688,                    751,,                 -2214,                 34534,                -28865,               -299924,,                -29865,,,,                -30056,                -48955,             -1611672,              5061153,              3449481,              3449481,                  1055,,,                -10442,                   -191,,,,,,,,,,,,,
1507,2014年度,,              2868894,              2868894,,,                354919,                 11707,                -44660,                     60,                -44939,                 -5321,                -11366,                  1842,                              0,                 -7537,                  2049,                -14764,                  5392,,,,                 68473,                156929,               -609907,                 -4543,                440262,               -174095,                    140,               -122741,,                 -8811,                107092,                176876,               -277102,                     39,,                 53260,                 65155,                -57586,                189796,              3058690,                 42587,                  7901,                   -667,               -841722,              2266789,,                 48920,,                              0,               -562681,                 15580,                 48296,                              0,,                -20769,               -481649,,                              0,                -54918,                   -787,             -1035812,             -1091515,                130050,                823675,              4237478,              5061153,              5061153,                              0,,                -10995,                              0,                              0,,                247382,                 13801,                              0,                              0,                      2,,,,,,,
1507,2014年01月01日至2014年09月30日,,              2133409,              2133409,,,                254231,                  8308,                -22024,                     66,                -40061,                 -5321,                 -2411,                  1823,                 -4293,                 -7527,                   -296,                    178,                  3908,                186581,,,               -979317,                -29683,               -678072,                 -8115,                395386,                -79704,                 62221,             -1317284,,               -426659,               -137787,                278800,                569982,                  3381,                  5232,                 27491,                320440,               -996844,               -810263,              1323146,                 40291,                  7901,                   -673,               -704915,                665750,,                 48779,                              0,                  9378,               -365434,                  1567,                125511,                -30517,                  8191,                 -3165,               -205690,,                              0,                -46427,                   -448,             -1035812,             -1082687,                 19148,               -603479,              4237478,              3633999,              3633999,,,,,,,,,,,,,,,,,,
1507,2014年01月01日至2014年06月30日,,              1236315,              1236315,,,                164383,                  5285,                -11614,                     66,                -24990,,                 -2254,                     66,                 -4253,                    108,                   -200,                  8214,                  2581,                136274,,,               -340680,                -64590,               -264904,                 -5089,                318270,                -42658,                 61310,               -338341,,               -479624,               -107981,                -48778,                311251,                  3021,                 -3819,                    601,               -325329,               -663670,               -527396,                708919,                 24927,,                   -673,               -452960,                280213,,                    876,,                  9292,               -266698,                    856,                 93130,                -28208,,                -10887,               -199323,,,                -84624,                   -274,                -14087,                -98985,                -20498,                -38593,              4237478,              4198885,              4198885,                 -1118,                              0,                  2316,,,,,,,,,,,,,,,
1507,2014年01月01日至2014年03月31日,,                576891,                576891,,,                 84463,                  2470,                 -4188,                     59,                -10055,,                 -5740,                    -18,                 -4272,,                              0,                   -228,                  1304,                 63795,,,               -322240,                -77983,               -115848,                 -6002,                573243,                -60285,                  9074,                    -41,,               -375236,               -756077,               -146282,                 88396,                  3515,                -12867,                  3047,             -1195504,             -1195545,             -1131750,               -554859,                 10037,                              0,                   -615,               -159645,               -705082,,,,                  8895,               -146939,                    251,,                -12924,                 37277,                -23216,                -33245,,                -38075,,,,                -38201,                 23831,               -752697,              4237478,              3484781,              3484781,                              0,,,                103411,                   -126,,,,,,,,,,,,,
1507,2013年度,,              2241676,              2241676,,,                311016,                  7993,                -16121,                    602,                -43534,                 -5158,                -23353,                  5814,                -25013,                 -2821,                 -7088,                    384,                  5150,,,,               -195773,               -157354,               -670529,                  7074,             -1625355,               -107486,                 22362,             -2727061,,                 27776,                310943,                252119,              2578695,                    273,,                 98944,              3297330,                570269,                778586,              3020262,                 43165,                  7738,                    -96,               -780781,              2290288,,                    248,,                 68936,               -464047,                  6036,                              0,                -11416,,                -14331,               -833356,,                195708,                              0,                              0,               -939988,               -783442,                103966,                777456,              3460022,              4237478,              4237478,                    446,,                 -1868,               -419735,                  8333,,                208317,                 28580,                  2821,                -47500,                      5,,,,,,,
1507,2013年01月01日至2013年12月31日,,              2241676,              2241676,,,                311016,                 13143,                -16121,                    602,                -43534,                 -5158,                -23353,                  5814,                -25013,                 -2821,                 -7088,                    384,,,,,               -195773,               -157354,               -670529,                  7074,             -1625355,               -107486,                 22362,             -2727061,,                 27776,                310943,                252119,              2578695,                    273,,                 98944,              3297330,                570269,                778586,              3020262,                 43165,                  7738,                    -96,               -780781,              2290288,,                    248,                              0,                 68936,               -464047,                  6036,,                -11416,                 -1868,                -14331,               -833356,,                195708,,,               -939988,               -783442,                103966,                777456,              3460022,              4237478,              4237478,                    446,,,               -419735,                  8333,,                208317,                 28580,                  2821,                -47500,                      5,,,                              0,                              0,,,
1507,2013年01月01日至2013年09月30日,,              1547177,              1547177,,,                230637,                  5986,                -17412,                    529,                -20273,                 -5158,                -21979,                  3447,                -26682,                 -2821,                 -6814,                              0,                  3747,,,,               -439282,               -243342,               -835756,                  3757,             -1656936,                -84138,                 97971,             -3157726,,               -243188,                396010,                232852,              2996125,                 -2018,,                 73221,              3459401,                301675,                445517,              1992694,                 20009,                  7738,                   -554,               -699006,              1320881,,                    248,,                 63449,               -366016,                  5186,                567606,                 -3158,                   -303,                -11483,               -694158,,                226784,               -131643,,               -939989,               -865376,                100713,               -137940,              3460022,              3322082,              3322082,                    635,,,               -952508,                  1967,,                143842,                  6399,                  2821,                -40000,                      5,                 17500,,,,,,
