證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 取得無活絡市場之債務工具投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　　　　 持有供交易之金融負債增加（減少）,　　 取得備供出售金融資產,　　　　 其他項目,　　 其他非流動資產增加
1470,2015年01月01日至2015年09月30日,,                 52959,                 52959,,,                 33646,                  1032,                 -1644,                   -766,                   -420,                  1503,                   -680,                 32671,,,                              0,                -10747,                 12094,                 10680,                  1135,                    -14,                 13148,,                -26971,                 -5122,                    -53,                   -300,                   -120,                 -1209,                -33775,                -20627,                 12044,                 65003,                     40,                -17065,                 47978,,                  8213,                    989,                 16302,                -24794,                    426,                   -170,                 20000,                  1706,                    766,                 23438,,                -51460,                -51460,                    195,                 20151,                 88190,                108341,                108341,,,,,,,,,,,,,,
1470,2015年01月01日至2015年06月30日,,                 32953,                 32953,,,                 22295,                    688,                 -1070,,                   -240,                  1503,                   -573,                 22603,,,                              0,                  1513,                 14692,                  5745,                    479,                    -42,                 22387,,                -26991,                  1834,                 -3422,                   -200,                   -252,                   -815,                -29846,                 -7459,                 15144,                 48097,                     32,                -10401,                 37728,,                  8213,                    989,                 16302,                -20023,                    246,                     98,,                  1140,,                  6965,,,,                    -32,                 44661,                 88190,                132851,                132851,                              0,                              0,,,,,,,,,,,,
1470,2015年01月01日至2015年03月31日,,                 18852,                 18852,,,                 10917,                    344,                   -477,,                    -90,                  2243,                    826,                 13763,,,,                 -7184,                  8703,                  3530,                  3789,                   -214,                  8624,,                -10832,                 -1148,                 -8116,                   -100,                     11,                   -419,                -20604,                -11980,                  1783,                 20635,                      6,                    -57,                 20584,,                  8213,,,                -15038,                     95,                              0,                 20000,                    574,,                 10920,,,,                   -131,                 31373,                 88190,                119563,                119563,,,                              0,                 -2924,,,,,,,,,,
1470,2014年度,,                 80162,                 80162,,,                 47182,                  1376,                 -2257,                   -181,                 -1910,,                   -700,,,,                    140,                  3772,                 -1099,                -52008,                 -6490,                      8,                -55677,,                 29289,                  5117,                 -2566,                   -400,                     83,,                 29413,                -26264,                 17246,                 97408,                    154,                 -6457,                 91105,,,,                 32113,                -71606,                  5342,                    -85,,                  2079,                    181,                -71976,,                -25730,                -25730,                    108,                 -6493,                 94683,                 88190,                 88190,,,,,,                 43510,                              0,                 -2110,                              0,                -40000,,,,
1470,2014年01月01日至2014年09月30日,,                 55014,                 55014,,,                 36369,                  1032,                 -1538,                   -181,                 -1736,                              0,                   -409,                 33537,,,                    140,                 -2450,                 16141,                -26302,                 -9531,                   -636,                -22638,,                   -426,                  7912,                 -7067,                   -300,                  4076,                 -1193,                  3002,                -19636,                 13901,                 68915,                     28,                 -6395,                 62548,,                              0,                              0,                              0,                -37432,                  4711,                   -345,                -40000,                  1590,                    181,                -71295,,                -25730,                -25730,                      8,                -34469,                 94683,                 60214,                 60214,,,,,,,,,,,,,,
1470,2014年01月01日至2014年06月30日,,                 45943,                 45943,,,                 24323,                    688,                   -943,,                   -662,                              0,                              0,                 24693,,,                    140,                  5413,                 12054,                 -7655,                 -4391,                    -85,                  5476,,                  6234,                 -6681,                -12020,                   -200,                  1940,                   -816,                -11543,                 -6067,                 18626,                 64569,                     24,                 -5635,                 58958,,                              0,                              0,                              0,                -15873,                    826,                   -165,,                    999,,                -54213,,,,                              0,                  4745,                 94683,                 99428,                 99428,                  1287,                -40000,,,,,,,,,,,,
1470,2014年01月01日至2014年03月31日,,                 23997,                 23997,,,                 12047,                    344,                   -379,,                   -662,                              0,                              0,                 11490,,,,                 -5160,                  9725,                    645,                 -2051,                   -485,                  2674,,                  5831,                   -391,                 -7638,                   -100,                    226,                   -396,                 -2468,                    206,                 11696,                 35693,                      5,                    -44,                 35654,,                              0,,,                   -820,                    826,                   -165,                              0,                    454,,                 -1260,,,,                              0,                 34394,                 94683,                129077,                129077,,,                    140,                 -1555,,,,,,,,,,
1470,2013年度,,                 36758,                 36758,,,                 48000,                  1376,                 -1573,                   -333,                -11258,,                   -244,,,,                   -140,                 11761,                  1686,                 18831,                    238,                    197,                 32573,,                 -2832,                  7495,                  5193,                  1200,                   -215,,                  8449,                 41022,                 76990,                113748,                    116,                 -1363,                112501,,,,                              0,                -38721,                 13164,                              0,,                  1417,                    333,                -72395,,                              0,                              0,                    -52,                 40054,                 54629,                 94683,                 94683,,,,,,                 35968,                   -881,                 -1511,                  1412,                -50000,,,,
1470,2013年01月01日至2013年12月31日,,                 36758,                 36758,,,                 48000,                  1376,                 -1573,                   -333,                -11258,                              0,                   -244,,,,                   -140,                 11761,                  1686,                 18831,                    238,                    197,                 32573,,                 -2832,                  7495,                  5193,                  1200,                   -215,,                  8449,                 41022,                 76990,                113748,                    116,                 -1363,                112501,,,                              0,,                -35319,                 13164,                              0,                -50000,                  1417,                    333,                -72395,,                              0,                              0,                    -52,                 40054,                 54629,                 94683,                 94683,,,,                 -3402,,                 35968,                   -881,                 -1511,                  1412,,                              0,                              0,,
1470,2013年01月01日至2013年09月30日,,                 21494,                 21494,,,                 36081,                  1032,                 -1019,                   -333,                 -8854,,                    314,,,,                              0,                 28708,                 14929,                 25641,                  3329,                    156,                 72763,,                 -9783,                   -479,                   -933,                  1300,                    423,,                -12403,                 60360,                 87581,                109075,                     15,                 -1316,                107774,,,,,                -23315,                 10114,                              0,,                  1044,                    333,                -61824,,                              0,                              0,                   -180,                 45770,                 54629,                100399,                100399,,,,,,                 27221,                 -1808,                 -1123,,                -50000,,,,
