證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 存出保證金增加,　　 取得投資性不動產,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分無活絡市場之債券投資,　　 存入保證金增加,　　 應付租賃款減少,　　 處分以成本衡量之金融資產,　　 短期借款減少,　　 應付租賃款增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損迴轉利益
1231,2015年01月01日至2015年09月30日,,                306035,                              0,                306035,,,                165297,                  2413,                              0,                -23927,                 25046,                   -576,                   -755,                              0,                -49179,                    -68,                  3241,                 14663,                    657,                136812,,,                -23907,                 -3994,               -197281,                 -1330,                 20159,                -38035,               -244388,,                              0,                 15780,                 47158,                 -1994,                 -7354,                 53590,               -190798,                -53986,                252049,                    576,                    755,                -24208,                -65995,                163177,,                -49088,                              0,                              0,                              0,                              0,                              0,               -277286,                 56179,                    175,                 -2889,               -272909,,                235725,                              0,                -85834,                              0,               -133302,                 16589,                    701,                -92442,                240860,                148418,                148418,,,,,,,,,,,,,,,,,,,,
1231,2015年01月01日至2015年06月30日,,                162485,,                162485,,,                108611,                  1622,                              0,                  5368,                 16695,                   -405,                    -64,,                -17286,                              0,                  3237,                -11855,                    432,                106355,,,                  6894,                 -2487,                 35098,                 -3031,               -101682,                -20554,                -85762,,,                  3101,                -32888,                 -3847,                 -6699,                -40333,               -126095,                -19740,                142745,                    405,                     64,                -15841,                -42888,                 84485,,,                              0,,,,,               -103892,                 21132,                    152,                 -2734,                -85342,,                 89644,                              0,                -66988,                     -9,,                 22647,                    375,                 22165,                240860,                263025,                263025,,,,,,,,,,,,,,,,,,,,
1231,2015年01月01日至2015年03月31日,,                118110,,                118110,,,                 53381,                    818,                              0,                   -207,                  8385,                   -142,,,                    289,                              0,                              0,                 -7482,                    221,                 55263,,,                  6894,                -29398,               -123821,                   -418,                131128,               -156127,               -171742,,,                -47042,                -71985,                 -4835,                 -6462,               -130324,               -302066,               -246803,               -128693,                    142,,                 -7822,                              0,               -136373,,                              0,,,,,,                -27212,                     54,                     56,                 -2734,                -29836,,                196342,                              0,                -19764,                     -5,,                176573,                    188,                 10552,                240860,                251412,                251412,,,,,,,,,,,,,,,,,,,,
1231,2014年度,,                263321,,                263321,,,                187480,                  2703,                   -296,                 -8548,                 32107,                 -1876,                   -727,                  2278,                    678,                    224,                  1420,                  6228,                    852,,,,                 10495,                  1822,                -89817,                    677,               -235556,                 39506,               -272873,,                              0,                148380,                 27993,                 10299,,                185196,                -87677,                126950,                390271,                  1876,                    727,                -31887,                -33475,                327512,,,,                  7840,,                -17829,                  5765,               -595174,                    429,,                 -1760,               -637628,,                211277,                700000,               -439056,                   -749,               -132243,                339229,                    673,                 29786,                211074,                240860,                240860,,                 -7896,                              0,                214627,                 -1476,                              0,                 58802,                -17500,                              0,                    350,                -78551,,,,,,,,,
1231,2014年01月01日至2014年09月30日,,                113442,                              0,                113442,,,                134663,                  2048,                   -427,                -11207,                 23872,                 -1610,                   -665,                  2884,                    372,                 -4053,                    513,                  9105,                    636,                156131,,,                 18685,                 -7400,               -199469,                     45,               -123037,                 23972,               -287204,,                      8,                127083,                 80030,                 11973,                 -1383,                217711,                -69493,                 86638,                200080,                  1610,                    665,                -23627,                -33466,                145262,,                              0,                 59486,                  7840,                -17500,                -17829,                  5765,               -600900,                    432,                    341,                 -1760,               -564125,,                265614,                700000,               -419292,                 -1135,               -132243,                412944,                    561,                 -5358,                211074,                205716,                205716,,,,,,,,,,,,,,,,,,,,
1231,2014年01月01日至2014年06月30日,,                 51334,,                 51334,,,                 83215,                  1335,                   -427,                 -4068,                 15563,                 -1504,                              0,,                    171,                   -159,                              0,                 -6597,                    425,                 87954,,,                 11191,                 -2984,                -49635,                 -4740,               -314391,                 48793,               -311766,,,                 97638,                 32990,                  2161,                   -332,                132457,               -179309,                -91355,                -40021,                  1504,                              0,                -14019,                -25167,                -77703,,,                 54903,,,,,               -474340,                    170,                    226,                 -1029,               -420070,,                353393,                185000,                -39528,                 -1105,,                497760,                    704,                    691,                211074,                211765,                211765,,,,,,,,,,,,,,,,,,,,
1231,2014年01月01日至2014年03月31日,,                 23641,,                 23641,,,                 35663,                    662,                   -296,                -13312,                  7533,                 -1238,,,                    -53,                   -126,                  1106,                  5546,                    213,                 35698,,,                -78842,                -19830,                117773,                    544,               -141443,                -62658,               -184456,,,                 -7490,                -66929,                   -116,                   -363,                -74898,               -259354,               -223656,               -200015,                  1238,,                 -6639,                  6916,               -198500,,                   -556,,,,,,               -190185,                     53,                    226,                   -500,               -190962,,                435253,                 70000,                -19764,                 -1023,,                484466,                    765,                 95769,                211074,                306843,                306843,,,,,,,,,,,,,,,,,,,,
1231,2013年度,,                430880,,                430880,,,                128710,                  2439,                 -2083,                  2054,                  5532,                 -1934,                   -737,                              0,                -58532,                   -280,                  2335,                 -8271,                    826,,,,                 42625,                  4602,                -90574,                 15262,                 71638,                 -6167,                 37386,,                 -2358,               -121753,                 34582,                  1224,,                -97792,                -60406,                 10280,                441160,                  1934,                    737,                -20840,               -104858,                318133,,,,                              0,,                              0,                              0,               -703265,                 65560,,                 -4593,               -677979,,                189900,                360000,                -79056,                    -32,               -146938,                323874,                  3555,                -32417,                243491,                211074,                211074,,                              0,                    627,                 70686,                 -9487,                -41077,                              0,                              0,                  7149,                 -1753,                              0,,,,,,,,,
1231,2013年01月01日至2013年12月31日,,                430880,,                430880,,,                128710,                  2439,                 -2083,                  2054,                  5532,                 -1934,                   -737,,                -58532,                   -280,                  2335,                 -8271,                    826,,,,                 42625,                  4602,                -90574,                 15262,                 71638,                 -6167,                 37386,,                 -2358,               -121753,                 34582,                  1224,,                -97792,                -60406,                 10280,                441160,                  1934,                    737,                -20840,               -104858,                318133,,,,,,,,               -703265,                 65560,,                 -4593,               -677979,,                189900,                360000,                -79056,,               -146938,                323874,                  3555,                -32417,                243491,                211074,                211074,,,                    627,                 70686,                 -9487,                -41077,,,                  7149,                 -1753,,,,                      3,                    -35,                              0,                              0,                              0,                              0,
1231,2013年01月01日至2013年09月30日,,                271189,,                271189,,,                 96254,                  1785,                    633,                   -585,                 14068,                 -1213,                   -687,                              0,                -52525,                   -279,                  2043,                 -6131,                    618,,,,                 42745,                 -9266,                -87794,                 15948,                 51049,                 32969,                 45651,,                 -1834,               -101710,                 -8277,                  7260,,               -111800,                -66149,                -12168,                259021,                  1213,                    687,                -13836,                -90279,                156806,,,,                              0,                              0,                              0,                              0,               -357366,                 59090,,                 -1232,               -333764,,                173844,                170000,                -59292,,               -146938,                137590,                  2379,                -36989,                243491,                206502,                206502,,,,                 53981,                 -7239,,,,                  7149,                 -1527,,                -39878,                              0,                      3,                    -27,,,,,
