證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 其他金融資產減少,　　 取得備供出售金融資產,　　　　 股利收入,　　 收取之股利,　　 預付投資款增加,　　　　　 預付款項（增加）減少,　　 庫藏股票買回成本
8271,2015年01月01日至2015年09月30日,,                211528,                211528,,,                 19441,                  6279,                 12519,                  2107,                 -6649,                 12600,                  9988,                    -16,                              0,                -12120,                  4794,                 35066,                 84009,,,               -240000,                    -20,                 64856,                              0,                 11117,                     96,                570605,                -28217,                  2855,                381292,,                -12136,                   -159,                -73061,                -90223,                  1110,                 -3211,                   -223,               -177903,                203389,                287398,                498926,                  6296,                 -2189,               -107424,                395609,,                 18391,                              0,                -22599,                     45,                 -1132,                              0,                 -2584,                 -7879,,                              0,                -48498,                              0,                   -581,               -333506,                380700,                              0,                              0,                 -1885,                  8165,                394010,                878466,              1272476,              1272476,,,,,,,,,,,,,,,,
8271,2015年01月01日至2015年06月30日,,                151697,                151697,,,                 13100,                  4135,                 -2981,                  1687,                 -4385,                  8400,                  7341,                    -16,                              0,                -12120,,,                 15161,,,               -240000,                    453,                102983,                              0,                  7671,                     80,                515340,                  5425,                  2682,                394634,,                  3920,                    -70,               -123718,                -22402,                 -1171,                  1018,                   -317,               -142740,                251894,                267055,                418752,                  3957,                 -1812,                -65541,                355356,,                 18391,                              0,                -14946,                     18,                   -959,                              0,                 -1999,                    505,,                              0,               -174598,,                   -581,,                380700,                              0,                              0,                205521,                  1724,                563106,                878466,              1441572,              1441572,,,,,,,,,,,,,,,,
8271,2015年01月01日至2015年03月31日,,                 74376,                 74376,,,                  6520,                  2024,                 -2309,                  1072,                 -1718,                  4200,                  4476,                    -16,                              0,,,,                 14249,,,,                   -108,                -19525,,                 -5602,,                283000,                  3919,                  2529,                264213,,                    325,                   -511,                -49827,                -41595,                  1632,                  1273,                   -289,                -88992,                175221,                189470,                263846,                  1673,                 -1030,                 -3904,                260585,,,,                 -3905,                     18,                 -1079,                              0,                 -1523,                 -6489,,                              0,                -12788,,,,                380700,                              0,                              0,                367912,                 -1171,                620837,                878466,              1499303,              1499303,                              0,,,,,,,,,,,,,,,
8271,2014年度,,                609250,                609250,,,                 24573,                  8114,                 16734,                  4270,                 -4050,                  5600,                 16896,                   -217,,,,,,,,                              0,                   -677,               -189689,,                  5322,                    -96,                -77113,                  2770,                     -3,               -259486,,                -16867,                 -2423,                -52972,                 -3542,                 -3271,                 -5888,,                -86226,               -345712,               -272985,                336265,                  3834,                 -4148,               -134753,                201198,,,                -30000,                -30147,                  2218,,,                 -6497,                -64400,,                224656,                              0,                              0,,               -270887,,                 13475,                  2885,                -29871,                   -608,                106319,                772147,                878466,                878466,,,                    176,                    631,                 72727,                 -1263,                              0,                              0,                              0,                     26,,,,,,
8271,2014年01月01日至2014年09月30日,,                462511,                462511,,,                 18135,                  6022,                  7018,                  3435,                 -2833,                  1400,                 11301,                   -217,                     33,                              0,                              0,                              0,                 44294,,,                              0,                    116,               -385966,                    -44,                -40679,                 -7247,               -148946,                 -3754,                    470,               -586050,,                 -5337,                 -2350,                 95721,                -27322,                   -776,                 -6553,                 -1127,                 52256,               -533794,               -489500,                -26989,                  2895,                 -3138,               -117456,               -144688,,                              0,                -30000,                -26485,                  2218,                              0,                    878,                 -4915,                -58304,,                 81345,                              0,                              0,                              0,               -270887,                              0,                 12874,                  2885,               -173783,                 -1019,               -377794,                772147,                394353,                394353,,,,,,,,,,,,,,,,
8271,2014年01月01日至2014年06月30日,,                302437,                302437,,,                 11988,                  4041,                  3619,                  2046,                 -1985,                              0,                  5454,                   -217,                     33,                              0,,,                 24979,,,                              0,                              0,               -265783,                 -1541,                -16160,                 -7226,               -312468,                 -2508,                              0,               -605686,,                 -5542,                 -2110,                176832,                 11402,                 -1376,                 -9006,                   -910,                169290,               -436396,               -411417,               -108980,                  1957,                 -1735,                -67325,               -176083,,                              0,                -30000,                -23306,                  2218,                              0,                    850,                 -3634,                -53872,,                249717,                              0,,                              0,,                              0,                 12765,                  2885,                265367,                 -1162,                 34250,                772147,                806397,                806397,,,,,,,,,,,,,,,,
8271,2014年01月01日至2014年03月31日,,                151349,                151349,,,                  5960,                  1951,                  7174,                    988,                   -737,                              0,                              0,                     69,                    158,,,,                 15563,,,,                    116,                -73456,,                -30383,,                 56130,                 -4989,                   -166,                -52748,,                 -7475,                 -2899,               -249843,                -49617,                   -146,                  2892,                   -501,               -307589,               -360337,               -344774,               -193425,                    746,                   -420,                    347,               -192752,,,,                -18566,                  1932,                              0,                    200,                   -998,                -17432,,                121296,                              0,,,,                              0,                 11085,                  2885,                135266,                   -170,                -75088,                772147,                697059,                697059,                              0,,,,,,,,,,,,,,,
8271,2013年度,,                580921,                580921,,,                 18008,                  5246,                  3477,                  2833,                 -3402,                  6897,                              0,                   -363,,,,,,,,                377146,                      5,                -95067,,                  8802,                              0,               -412757,                  3213,                   -539,               -119197,,                  1479,                  2517,                227064,                 14801,                 -6496,                -19955,,                210524,                 91327,                124655,                705576,                  3618,                 -2804,               -108875,                597515,,,                              0,               -692474,                  1548,,,                -12318,               -764454,,                              0,               -111468,                  1033,,               -213489,,                 14766,                  4941,               -304217,                 -1452,               -472608,              1244755,                772147,                772147,,,                              0,                    632,                 33328,                 -7326,                 -1560,                -12117,                -50000,                    907,,,,,,
8271,2013年01月01日至2013年12月31日,,                580921,                580921,,,                 18008,                  5246,                  3477,                  2833,                 -3402,                  6897,,                   -363,,,,,,,,                377146,                      5,                -95067,,                  8802,                              0,               -412757,                  3213,                   -539,               -119197,,                  1479,                  2517,                227064,                 14801,                 -6496,                -19955,,                210524,                 91327,                124655,                705576,                  3618,                 -2804,               -108875,                597515,,,,               -692474,                  1548,,,                -12318,               -764454,,                              0,               -111468,                  1033,,               -213489,,                 14766,                  4941,               -304217,                 -1452,               -472608,              1244755,                772147,                772147,,,,                    632,                 33328,                 -7326,                 -1560,,                -50000,                    907,                -12117,,,,,                              0
8271,2013年01月01日至2013年09月30日,,                435104,                435104,,,                 12494,                  3274,                  1717,                  2054,                 -2470,                  5302,                              0,                   -363,                              0,,,,,,,                377902,                   -427,               -261833,                              0,                -35690,                              0,               -543833,                 -7174,                 -1097,               -472152,,                              0,                   -364,                190443,                  5694,                              0,                -19782,,                169348,               -302804,               -280796,                154308,                  2749,                 -1889,                -99603,                 55565,,,                              0,               -675848,                  1754,,                    579,                 -5220,               -740852,,                 96894,,                  1033,,               -213489,,                 14766,                  4941,                -95855,                    378,               -780764,              1244755,                463991,                463991,,,,,                 22008,                 -4998,                 -1645,,                -50000,,                -12117,,,,,
