證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 其他非流動資產增加,　　 存入保證金減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）
2480,2015年度,,                330060,                330060,,,                 21883,                  5734,                  3000,                 -1613,                     96,                 -7650,                 -4078,                   -794,                              0,                    416,                              0,                 16994,,,                  5483,                420780,                 -1275,                102852,                  3639,                   -571,                530908,,                 -5045,                  6182,                -10611,                -25103,                 -3796,                 -3514,                -41887,                489021,                506015,                836075,                 10347,                  4078,                   -114,                -67202,                783184,,                 -8044,                     16,                    793,                  3304,                 -7088,                  1333,                  4557,                              0,                 -9747,                     91,                -14785,,                -15321,                              0,                    308,               -265901,               -280914,                   -192,                487293,                721584,              1208877,              1208877,,,,,,,
2480,2015年01月01日至2015年09月30日,,                238352,                238352,,,                 16862,                  4369,                  3000,                 -2788,                     90,                 -5857,                 -4078,                     27,                              0,                    416,                              0,                 12041,,,                  1884,                -35293,                 -1407,                122025,                -16085,                   -540,                 70584,,                -11748,                -15388,                -30549,                 -2721,                  1148,                 -2673,                -61931,                  8653,                 20694,                259046,                  7737,                  4078,                   -106,                -66934,                203821,,                 -6270,                     16,                    793,                  3304,                 -6035,                              0,                 14980,                              0,,,                  2533,,                 -7518,                              0,                    102,               -265901,               -273317,                  3218,                -63745,                721584,                657839,                657839,                 -4322,                     67,,,,,
2480,2015年01月01日至2015年06月30日,,                146091,                146091,,,                 11494,                  2927,                  3000,                   -529,                     64,                 -3184,,                      9,,                    416,                              0,                 14197,,,                  7551,                117033,                    -28,                 28159,                -29027,                   -505,                123183,,                -10059,                 18685,                -26854,                -58660,                   -464,                 -1788,                -79140,                 44043,                 58240,                204331,                  4526,,                    -82,                -36590,                172185,,                 -5815,                     16,                    793,                  3304,                 -3679,                              0,                 15168,                              0,                 -3687,                   -149,                  5951,,                 -7974,,,,                 -7872,                 -3336,                166928,                721584,                888512,                888512,,,                    102,,,,
2480,2015年01月01日至2015年03月31日,,                 74223,                 74223,,,                  5767,                  1463,                  1500,                              0,                     32,                   -787,,                      9,,                    407,,                  8391,,,                  3046,                313924,                 -3407,                 93986,                    278,                   -191,                407636,,                -10499,               -129600,                -46690,               -130109,                 -4125,                   -898,               -321921,                 85715,                 94106,                168329,                  2748,,                    -22,                -14110,                156945,,                              0,                              0,                    793,                  3304,                 -1298,                              0,                 11897,                              0,                 -4000,,                 10544,,,                              0,,,                 -6538,                 -2622,                158329,                721584,                879913,                879913,,                   -152,                     77,                 -6615,,,
2480,2014年度,,                327803,                327803,,,                 25660,                  7127,                  9963,                              0,                    430,                 -7640,                 -2890,                -45744,                              0,                   -192,                 73790,                 60504,,,                 -1288,               -542967,                    349,               -246386,                -34583,                    255,               -824620,,                  6887,                 73278,                 28120,                150681,                  3042,                 -3015,                258993,               -565627,               -505123,               -177320,                  7432,                  2890,                   -579,                -52516,               -220093,,                -12927,                  7056,                 11476,                              0,                -14119,                 82015,                  5606,                   -312,                 -1322,                   -803,                 76670,,                -45255,                              0,                     69,               -265901,               -311087,                  4479,               -450031,              1171615,                721584,                721584,,,,,,,
2480,2014年01月01日至2014年09月30日,,                234625,                234625,,,                 19943,                  5518,                  2997,                              0,                    393,                 -6466,                 -2890,                -45744,                              0,                   -192,                 73790,                 47349,,,                  6288,               -313637,                    362,               -405897,                -41837,                     94,               -754627,,                  9810,                  7049,                -30499,                 18742,                  2480,                 -2302,                  5280,               -749347,               -701998,               -467373,                  6714,                  2890,                   -518,                -52499,               -510786,,                -10172,                  7056,                 11476,                              0,                 -5381,                 82015,                 13759,                   -169,,,                 96419,,                -49267,                              0,                     70,               -265901,               -315098,                   -872,               -730337,              1171615,                441278,                441278,                 -1079,                 -1086,,,,,
2480,2014年01月01日至2014年06月30日,,                131096,                131096,,,                 13445,                  3683,                  1497,                              0,                    272,                 -3875,,                -45751,,                   -100,                 49550,                 18721,,,                 -6546,                 47767,                 -2448,               -252053,                -88888,                    -48,               -302216,,                 -5533,                158816,                -11423,                -22317,                 -1508,                 -1559,                116476,               -185740,               -167019,                -35923,                  3826,,                   -344,                -23287,                -55728,,                 -8571,                  5503,                 11476,                              0,                 -4695,                 82015,                  8049,                    -39,                   -943,                 -1374,                 91421,,                -12625,,,,                -12577,                 -4947,                 18169,              1171615,              1189784,              1189784,,,                     48,,,,
2480,2014年01月01日至2014年03月31日,,                 68629,                 68629,,,                  6743,                  1852,                  1497,                              0,                    128,                 -1488,,                              0,,                    397,,                  9129,,,                 -5063,                161294,                    863,                -56767,                -11973,                   -195,                 88159,,                    747,                -85380,                -21465,                -55857,                 -1493,                   -793,               -164241,                -76082,                -66953,                  1676,                    939,,                   -107,                   -233,                  2275,,                 -5329,                     54,                    800,                              0,                 -4081,                              0,                  2434,                              0,                   -558,,                 -7941,,,                              0,,,                -20781,                 -1680,                -28127,              1171615,              1143488,              1143488,,                 -1261,                    -16,                -20765,,,
2480,2013年度,,                341339,                341339,,,                 29372,                  7427,                  2994,                              0,                    620,                 -7550,                 -2300,                -66770,                      3,                  2242,                 50000,,,,                 -3762,                316283,                    223,                -24528,                  2812,                    325,                291353,,                 -3844,               -104122,                 18756,                 91622,                   -284,,                 -1107,                290246,                306284,                647623,                  7555,                  2300,                   -566,                -66293,                590619,,                -10000,                  5133,                    800,                              0,                -35130,                122854,                  5111,                   -386,,                  1327,                 92807,,                 -2741,                              0,,               -265901,               -268701,                  9271,                423996,                747619,              1171615,              1171615,                  3098,,                    -59,,,                 16038,                 -3235
2480,2013年01月01日至2013年12月31日,,                341339,                341339,,,                 29372,                  7427,                  2994,                              0,                    620,                 -7550,                 -2300,                -66770,                      3,                  2242,                 50000,,,,                 -3762,                316283,                    223,                -24528,                  2812,                    325,                291353,,                 -3844,               -104122,                 18756,                 91622,                   -284,,                 -1107,                290246,                306284,                647623,                  7555,                  2300,                   -566,                -66293,                590619,,                -10000,                  5133,                    800,                              0,                -35130,                122854,                  5111,                   -386,,                  1327,                 92807,,                 -2741,                              0,,               -265901,               -268701,                  9271,                423996,                747619,              1171615,              1171615,                  3098,,                    -59,,,                 16038,                 -3235
2480,2013年01月01日至2013年09月30日,,                314109,                314109,,,                 22477,                  5566,                  3576,                              0,                    481,                 -7314,                 -2298,                -66770,                      3,                  2242,                 10000,,,,                   -782,                322288,                   -266,                -66311,                 -4449,                    331,                250811,,                 -1009,               -150149,                 -1760,                 24230,                   -306,,               -131402,                119409,                 87372,                401481,                  6160,                  2298,                   -473,                -51238,                358228,,                -10000,                  5133,                    800,                              0,                -34346,                122854,                 12457,                   -386,,,                100384,,                -14141,                              0,                    128,               -265901,               -279914,                  5886,                184584,                747619,                932203,                932203,                  2705,                  1167,,,,                -32037,                 -2408
2480,2013年01月01日至2013年06月30日,,                184875,                184875,,,                 15110,                  3734,                  1500,,                    329,                 -4078,,                    381,,                    792,                              0,,,,                 -5128,                370709,                    852,                 17584,                -18109,                  2978,                368886,,                 -3870,               -243455,                 17509,                -29616,                   -339,,               -261369,                107517,                125285,                310160,                  3110,,                   -406,                -26532,                286332,,                -10000,                  2330,                    800,,                 -1061,                    505,                 12321,                   -386,                              0,                    868,                  5377,,                -19803,                              0,,,                -20375,                  6957,                278291,                747619,              1025910,              1025910,,,                   -572,,,                 17768,                 -1598
2480,2013年01月01日至2013年03月31日,,                 92395,                 92395,,,                  7552,                  1832,                  1500,                              0,                    193,                 -1640,,                    378,,                     92,,,,,                 -3718,                320665,                 -1308,                 39364,                -29965,                    314,                325352,,                 -4450,               -225915,                  3207,                 13488,                    414,,               -214047,                111305,                121212,                213607,                    916,,                   -129,                   -437,                213957,,                              0,                    547,                              0,,                   -761,                    505,                 11745,                   -101,                  2482,,                 14856,,,                              0,,,                 -6257,                  4389,                226945,                747619,                974564,                974564,,                    439,                    -85,                 -6172,,                  9907,                   -791
