證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 其他營業負債增加（減少）,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　　　　 其他營業資產（增加）減少
2471,2015年01月01日至2015年09月30日,,                 11432,                 11432,,,                  1264,                   -905,                    351,                 -6100,                   -777,                    679,                              0,                              0,                 -5488,,,                  2838,                 18721,                    606,                  1486,                    210,                -15320,                 11634,                 20175,,                -15048,                 -1170,                -12676,                              0,                  7750,                  2384,                -18760,                  1415,                 -4073,                  7359,                  6230,                -10612,                  2977,,                  1171,                 -3398,                   -142,               -192497,                 99334,                  3110,                              0,                -92422,,                -56704,                 -3987,                -60691,                              0,               -150136,                483993,                333857,                333857,,,,,,,,,,
2471,2015年01月01日至2015年06月30日,,                 -1861,                 -1861,,,                    823,                    -47,                    137,                 -3933,,                    544,                              0,                              0,                 -2476,,,                  1848,                 19793,                    144,                 -5171,,                -11616,                 13015,                 18013,,                -18170,                  1730,                -21708,,                  9621,                  1904,                -26623,                 -8610,                -11086,                -12947,                  4689,                 -5675,                -13933,,,                 -3298,                     99,               -263302,                236148,                  1326,                              0,                -29027,,,,,                              0,                -42960,                483993,                441033,                441033,,,,,,,,,,
2471,2015年01月01日至2015年03月31日,,                -10528,                -10528,,,                    359,                    206,                     -8,                 -1966,,                    235,                              0,                              0,                 -1174,,,                     59,                 13345,                    627,                    612,,                 -3278,                 10324,                 21689,,                -10859,                 -1304,                -23565,,                  7497,                    951,                -27280,                 -5591,                 -6765,                -17293,                  2277,                 -1724,                -16740,,,                   -243,                     83,               -196793,                170033,,                              0,                -26920,,,,,                              0,                -43660,                483993,                440333,                440333,,,,,,,,,,
2471,2014年度,,                 71231,                 71231,,,                  1912,                 -1976,                    306,                 -7257,                   -807,                 11186,                -10933,                 -6825,,,,                 -3702,                -15193,                   -600,                  1407,                   -210,                 -2420,                    -13,                    149,,                  6435,                 -1725,                  9502,                              0,                    677,,                 18435,                 18584,                  4190,                 75421,                  6404,                -12313,                 69512,,                    867,                    -38,                              0,                -79298,                249320,                  2817,                 10933,                184586,,                -47254,,                -47254,                  6825,                213669,                270324,                483993,                483993,,                              0,                -14394,                 20880,                              0,                              0,                  3546,                              0,                    -15,
2471,2014年01月01日至2014年09月30日,,                  8644,                  8644,,,                  1506,                 -2092,                      6,                 -4973,                   -807,                  5645,                -10933,                 -2648,                -14296,,,                    125,                  3792,                   -714,                   -248,                              0,                 -9614,                  4253,                 -2406,,                 -1787,                 -1395,                 -7726,                    283,                  8150,                  2657,                    182,                 -2224,                -16520,                 -7876,                  4959,                -12256,                -15173,,                    867,                    -38,                    -13,                -69074,                 57464,                  2817,                 10933,                  2956,,                -47254,                              0,                -47254,                  2648,                -56823,                270324,                213501,                213501,,,,,,,,,,
2471,2014年01月01日至2014年06月30日,,                  7785,                  7785,,,                  1037,                 -2092,                   -150,                 -3171,,                  2842,                -10933,                  2955,                 -9512,,,                    136,                 -9142,                    -78,                 -1141,,                 -7139,                  4530,                -12834,,                 -1278,                   -582,                -18787,,                  8213,                  1767,                -10667,                -23501,                -33013,                -25228,                  3499,                 -7669,                -29398,,,                              0,                    -10,                -56695,                 41464,                  1129,                 10933,                 -3179,,,,,                 -2955,                -35532,                270324,                234792,                234792,,,,,,,,,,
2471,2014年01月01日至2014年03月31日,,                 13834,                 13834,,,                    541,                 -2380,                    -65,                 -1732,,                    718,                -10933,                   -275,                -14126,,,                 -7556,                 14952,                   -773,                 -6616,,                 -4808,                  8355,                  3554,,                  1458,                  1344,                -24714,,                 -5595,                    870,                -26637,                -23083,                -37209,                -23375,                  2251,                   -861,                -21985,,,                              0,                              0,                 -3490,                  1465,,                 10933,                  8908,,,,,                    275,                -12802,                270324,                257522,                257522,,,,,,,,,,
2471,2013年度,,                 63605,                 63605,,,                  2167,                  4577,                   -695,                 -6467,                   -752,                  2057,                              0,                 -1295,,,,                  7998,                 23490,                    -27,                  1892,                              0,                  5054,                    411,                 38818,,                 -8003,                     82,                -11460,                    -41,                  7572,,                -10117,                 28701,                 28278,                 91883,                  6316,                -14580,                 83619,,                  1530,                   -667,                     53,               -121701,                 63075,                  6840,                              0,                -50851,,                -70881,,                -70881,                  1295,                -36818,                307142,                270324,                270324,,                    -15,                   -423,                              0,                              0,                 -1575,                  3308,                     19,                              0,
2471,2013年01月01日至2013年12月31日,,                 63605,                 63605,,,                  2167,,                   -695,                 -6467,                   -752,                  2057,,,,,,                  7998,                 28067,                    -27,                  1892,                              0,                  5054,                    411,                 43395,,                 -8003,                     82,                -11460,                    -41,                  7572,,                -10117,                 33278,                 29573,                 93178,                  6316,                -14580,                 84914,,                  1530,                   -667,                     53,                -58626,,                  6840,,                -50851,,                -70881,,                -70881,,                -36818,                307142,                270324,                270324,,                    -15,                 -3705,                              0,                              0,                 -1575,                  3308,                     19,,
2471,2013年01月01日至2013年09月30日,,                 31848,                 31848,,,                  1633,                  1876,                   -632,                 -4287,                   -752,                  2458,                              0,                  2510,,,,                  7573,                 15756,                              0,                    526,                              0,                -12120,                  2913,                 14648,,                 -7553,                 -1720,                -22117,                    -41,                   -341,,                -30909,                -16261,                -13476,                 18372,                  4688,                -13972,                  9088,,                  1530,                   -327,                     23,                -53419,                  4000,                  6840,                              0,                -41334,,                -70881,,                -70881,                 -2510,               -105637,                307142,                201505,                201505,,                    -21,                  2785,                              0,                              0,                 -1575,                  2438,                     19,,
