證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 其他應付款－關係人減少,　　 其他金融負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 舉借長期借款,　　 其他應付款－關係人增加,　　 取得無形資產,　　 非控制權益變動
1468,2015年01月01日至2015年09月30日,,                -42700,                -42700,,,                 43692,                  2972,                 -5354,                 18682,                   -778,                    908,                   -813,                 59309,,,                    924,                  1021,                  9832,                -10839,                    915,                   -379,                 63003,                 -7543,                    719,                   -243,                 57410,,                  5666,                              0,                 -3503,                  3867,                   -852,                 -6477,                 -1299,                 56111,                115420,                 72720,                    778,                -14179,                 59319,,                -28570,                 -1085,                  1007,                 -1716,                     80,                 -1082,                -31366,,                 82336,                 -7200,                -75048,                              0,                     88,                 10122,                 38163,                194242,                232405,                232405,,,,,,,,,
1468,2015年01月01日至2015年06月30日,,                -26026,                -26026,,,                 29315,                  1977,                 -8220,                 12892,                   -598,                    581,                   -234,                 35713,,,                  1132,                    681,                 -3283,                -32513,                  2539,                   -378,                 45961,                -12428,                 -2545,                   -170,                 -1004,,                 14992,                    322,                 17458,                  4370,                 -3483,                   -504,                 33155,                 32151,                 67864,                 41838,                    598,                 -9491,                 32945,,                -28570,                 -1085,                    329,                    -50,                     80,                 -1082,                -30378,,                 22929,                 -4800,                   -490,,                 17639,                  5833,                 26039,                194242,                220281,                220281,                              0,,,,,,,,
1468,2015年01月01日至2015年03月31日,,                -10604,                -10604,,,                 14858,                    977,                 -8744,                  6281,                   -269,                    229,                   -316,                 13016,,,                  1132,                    340,                 -4009,                 -7113,                    618,                   -382,                 20462,                 -2482,                 -4790,                    -87,                  3689,,                 -8586,                      6,                 17383,                  1386,                   -883,                 -4091,                  5215,                  8904,                 21920,                 11316,                    269,                 -4452,                  7133,,,                              0,                    316,,                  5908,                 -1082,                  5142,,                              0,                 -2400,                   -490,,                -45201,                  4639,                -28287,                194242,                165955,                165955,                -42311,,,,,,,,
1468,2014年度,,                -66417,                -66417,,,                 57278,                  3513,                -14728,                 28906,                   -661,                    525,                    259,,,,                  1178,                 -1361,                 20048,                 13625,                  8380,                   -632,                 44766,                  5438,                     89,                 -1048,                 90483,,                -13513,                              0,                 -6178,                 -8640,                 -9086,                -18784,                -56201,                 34282,                109374,                 42957,                    661,                -17932,                 25686,,                              0,                 -2088,                  1028,                   -432,                  5574,                 -1602,                  2480,,               -119898,                 -9600,,                     15,                106465,                -17952,                116679,                 77563,                194242,                194242,,,                              0,                 75092,                              0,                231200,                  4748,,
1468,2014年01月01日至2014年09月30日,,                -41005,                -41005,,,                 42843,                  2645,                  6931,                 23703,                   -508,                    315,                    -30,                 75899,,,                  1974,                   -340,                -22789,                 14220,                    212,                   -982,                 18881,                -14446,                  3161,                   -301,                   -410,,                   -867,                    351,                -14699,                 -5342,                 -4237,                    291,                -24503,                -24913,                 50986,                  9981,                    508,                -13285,                 -2796,,                              0,                    -15,                     30,                              0,                  2302,                    -61,                  2256,,                  6053,                 -7200,                              0,                     15,                 -1132,                 -3942,                 -5614,                 77563,                 71949,                 71949,,,,,,,,,
1468,2014年01月01日至2014年06月30日,,                -25002,                -25002,,,                 28699,                  1780,                 11194,                 17098,                   -384,                    326,                    -30,                 58683,,,                  1007,                   -680,                -54528,                 -2707,                  1394,                   -977,                  9079,                 -5877,                  1702,                   -210,                -51797,,                -27285,                              0,                 24951,                 -6172,                 -9703,                 29856,                 11647,                -40150,                 18533,                 -6469,                    384,                 -8917,                -15002,,                              0,                    -15,                     30,                   -106,                  2653,                    -52,                  2510,,                              0,                 -4800,                              0,,                -26170,                  5023,                -33639,                 77563,                 43924,                 43924,                -21370,,,,,,,,
1468,2014年01月01日至2014年03月31日,,                -21701,                -21701,,,                 14443,                    896,                  4480,                  5939,                   -135,                    218,                              0,                 25841,,,                  1745,                 -1021,                -73391,                 -7409,                    857,                   -655,                 33722,                  1193,                  1592,                   -104,                -43471,,                -11297,                              0,                 21877,                  5639,                 -7508,                 33170,                 41881,                 -1590,                 24251,                  2550,                    135,                 -4266,                 -1581,,,                    -11,                              0,,                  3029,                              0,                  3018,,                 39105,                 -2400,                              0,,                 36705,                -16979,                 21163,                 77563,                 98726,                 98726,                              0,,,,,,,,
1468,2013年度,,                -49088,                -49088,,,                 65020,                  4770,                 25755,                 29721,                   -917,                    376,                  1258,,,,                 -2032,                              0,                -39568,                -14114,                 -1363,                    -56,                -32330,                 -7779,                 -1469,                  8668,                -90043,,                  2785,                   -737,                -19645,                 10742,                  3432,                 17964,                 11735,                -78308,                 49175,                     87,                    917,                -18800,                -17796,,                -28570,                 -7119,                  2499,                 -1946,                  1498,                -33529,                -67167,,                -11970,                 -9600,,                              0,                -21570,                -12653,               -119186,                196749,                 77563,                 77563,,,                  1500,                127483,                 -2806,                              0,                              0,,
1468,2013年01月01日至2013年12月31日,,                -49088,                -49088,,,                 65020,                  4770,                 25755,                 29721,                   -917,                    376,                  1258,,,,                 -2032,                              0,                -39568,                -14114,                 -1363,                    -56,                -32330,                 -7779,                 -1469,,                -98711,,                  2785,                   -737,                -19645,                 10742,                  3432,                 17964,                 11735,                -86976,                 40507,                 -8581,                    917,                -18800,                -26464,,                -28570,                 -7119,                  2499,                 -1946,                  1498,                -24861,                -58499,,                -11970,                 -9600,,,                -21570,                -12653,               -119186,                196749,                 77563,                 77563,,,                  1500,                127483,                 -2806,,                              0,                              0,                              0
1468,2013年01月01日至2013年09月30日,,                -65777,                -65777,,,                 50732,                  3890,                 30141,                 23139,                 -1405,                    -37,                  1209,,,,                    274,                              0,                -60610,                  3776,                   -197,                    211,                 20113,                 -9282,                    168,                              0,                -45547,,                 16751,                   -322,                 -8881,                  2344,                 -9818,                 10573,                 10366,                -35181,                 72488,                  6711,                  1405,                -14047,                 -5931,,                -28570,                 -7119,                  2493,                 -2279,                              0,                -10195,                -45670,,                  1386,                 -7200,                -26919,                              0,                  6157,                 -1013,                -46457,                196749,                150292,                150292,,,,                107669,                   -281,,                 38890,,
