證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 其他借款減少,　　 存入保證金減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得按攤銷後成本衡量之金融資產,　　 存出保證金減少,　　 短期借款減少,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 採用權益法之被投資公司減資退回股款,　　 其他借款增加,　　　　　 應付建造合約款（增加）減少,　　 其他籌資活動
2013,2015年01月01日至2015年09月30日,,                150960,                150960,,,                150310,                 15254,                 -2439,                 49607,                 -4377,                -13412,                -74229,                   -120,                              0,                              0,                  5411,               -121154,                  4851,,,               -102418,                -40967,               -168965,             -1050268,                 -4276,               -113224,                -69002,             -1549120,,                -33285,                -21208,                 28494,                 55713,                -77473,                    -55,                -25609,                -21610,                -95033,             -1644153,             -1639302,             -1488342,                 -8771,             -1497113,,                              0,                -29249,                              0,               -282014,                    359,                -36734,                 -4393,                -14498,                              0,                344771,                   -664,                   -196,                  5469,                114154,                              0,                 97005,,                979209,                720000,                              0,               -100000,                -13473,               -160000,                -49211,              1376525,                  5850,                -17733,                292264,                274531,                335148,                -60617,,,,,,,,,,,,
2013,2015年01月01日至2015年06月30日,,                101837,                101837,,,                 99757,                 10021,                 -2439,                 32520,                 -3266,                 -2511,                -49908,,                              0,,                  3341,               -120760,                -33245,,,                -52498,               -118393,               -134543,               -908842,                 -9969,                162380,                -22064,             -1083929,,                -83491,                -66040,                 31690,                125946,               -119947,                    -55,                -32899,                -18199,               -162995,             -1246924,             -1280169,             -1178332,                 -8744,             -1187076,,,                -29249,,               -209491,                    416,                -19511,                 -1201,                -14498,                              0,                250890,                   -118,                   -196,                  3626,                  4848,,                -14484,,                789062,                470000,                              0,,                -12472,,                -30579,              1216011,                 -6890,                  7561,                292264,                299825,                299825,                              0,                              0,                              0,,,,,,,,,,
2013,2015年01月01日至2015年03月31日,,                 33748,                 33748,,,                 50037,                  5045,                 -2439,                 15415,                 -1267,,                -25430,                   -256,,,                  2990,                 -8476,                 35619,,,                  1436,                 10340,               -301366,               -457313,                 -7989,                211861,                 -6444,               -549475,,                -43365,                -52506,                 35203,                 65676,               -113065,                    -55,                 -6802,                -13143,               -128057,               -677532,               -641913,               -608165,                   -465,               -608630,,,                -29249,,               -185264,                    280,                   -671,                 -1201,,                              0,                208390,                              0,                   -196,                  2020,,,                 -5891,,                516711,                150000,                              0,,                 -3758,,                -14839,                648114,                 -2630,                 30963,                292264,                323227,                323227,                              0,,,                              0,                              0,,,,,,,,
2013,2014年度,,                295950,                295950,,,                199619,                 21845,                              0,                 59367,                -11052,                -21510,               -108680,                    463,                -10763,                -61368,                              0,               -220819,,,,                -31248,                144810,                141826,                294747,                 10026,               -193122,                 87671,                454710,,                 -2002,                 62846,               -137136,               -663827,               -174065,                   -163,                 31447,,               -931608,               -476898,               -629490,               -333540,                -17029,               -350569,,                 27210,                -67034,                184820,                -92905,                    562,                              0,                 -1837,,                 -7172,,                 -1628,,                 10394,                110522,,                188831,,                814468,                              0,               -500000,,                -24828,               -300000,                -59974,                -70334,                 16180,               -215892,                508156,                292264,                412542,               -120278,,                 22749,                              0,                              0,,                    306,               -152592,                -48708,                  3150,                              0,,
2013,2014年01月01日至2014年09月30日,,                206469,                206469,,,                149775,                 16482,                              0,                 43417,                 -8135,                 -9035,                -81439,                    116,                -10763,                -61368,                 -3874,               -150590,               -115414,,,                  7302,                410082,                261835,                 96406,                 14403,               -335589,                 80082,                534521,,                -37121,                -65961,               -131967,               -515501,               -244647,                              0,                  2207,                -42310,             -1035300,               -500779,               -616193,               -409724,                -14757,               -424481,,                 27210,                              0,                184820,                -71128,                    560,                -55457,                 -1826,                              0,                -51384,                              0,                   -940,                              0,                  6906,                 98047,                 -9365,                127443,,              1430766,                              0,               -930000,                              0,                -25672,               -300000,                -42889,                132205,                 12310,               -152523,                508156,                355633,                430233,                -74600,,,,,,,,,,,,
2013,2014年01月01日至2014年06月30日,,                141026,                141026,,,                 99270,                 11283,                              0,                 28845,                 -5020,                              0,                -51962,,                 -3070,,                 -3709,               -143088,                -67451,,,                -16243,                271412,                124060,                 55380,                 29694,               -282396,                 15759,                197666,,                  2546,                -85591,                -85604,               -251461,               -217248,                              0,                    169,                -27643,               -664832,               -467166,               -534617,               -393591,                 -7886,               -401477,,,                              0,,                -46612,                    136,                              0,                 -1830,                              0,                -51001,                              0,                   -957,                              0,                  5205,                 14063,,                -69362,,                871559,                              0,               -600000,,                -26732,,                -27924,                216903,                 -5580,               -259516,                508156,                248640,                260542,                -11902,                  5448,                  6186,,,,,,,,,,
2013,2014年01月01日至2014年03月31日,,                 78901,                 78901,,,                 49193,                  5878,                              0,                 14398,                 -2342,,                -23812,                    480,,,                   -276,                -12919,                 30600,,,                 20539,                143245,                113089,                -78495,                    465,                -64042,                -57531,                 77270,,                -58082,                -90716,                102743,                 61390,               -150940,                              0,                 29333,                -13242,               -119514,                -42244,                -11644,                 67257,                 -1158,                 66099,,,                              0,,                -18956,                    136,                -10370,                 -1857,,                -11792,                              0,                              0,                              0,                  2538,,,                -40301,,                265874,                              0,               -280000,,                -24705,,                -13776,                -52607,                    450,                -26359,                508156,                481797,                481797,                              0,,,                              0,                              0,,,,,,,,
2013,2013年度,,                525903,                525903,,,                177843,                 24460,                -25698,                 53379,                 -9578,                 -8595,               -102508,                   -411,                              0,                              0,                -29463,               -639292,,,,                -20271,               -202609,               -119922,               -207488,                -11535,                -52913,               -107001,               -721739,,                 63657,                 27597,                -94553,               -105890,                -49345,                   -251,                 -3645,,               -186955,               -908694,             -1487634,               -961731,               -191286,             -1153017,,                              0,                              0,                              0,               -226688,                 91348,                -16331,                   -742,,                -27930,,                 -2964,,                  9125,                 81905,,                -92277,,                              0,              1480000,                              0,,                              0,               -420000,                -55141,              1140420,                 26873,                -78001,                586157,                508156,                554757,                -46601,,                              0,                -69797,                  5358,,                -19077,               -578940,                -24525,                              0,                200000,,
2013,2013年01月01日至2013年12月31日,,                525903,                525903,,,                177843,                 11361,                -25698,                 53379,                 -9578,                 -8595,               -102508,                   -411,,,                -48540,               -626193,,,,                -20271,               -202609,               -119922,               -207488,                -11535,                -52913,               -107001,               -721739,,                 63657,                 27597,                -94553,,                -49345,                   -251,                 -3645,,               -186955,               -908694,             -1487634,               -961731,               -191286,             -1153017,,,,,               -226688,                 91348,                -16331,                   -742,,                -27930,,                 -2964,,                  9125,                 81905,,                -92277,,,              1480000,                              0,,,               -420000,                -55141,              1140420,                 26873,                -78001,                586157,                508156,                554757,                -46601,,                              0,                -69797,                  5358,,                              0,               -578940,                -24525,                              0,                200000,               -105890,
2013,2013年01月01日至2013年09月30日,,                372521,                372521,,,                128321,                 18391,                -25698,                 37355,                 -7356,                 -8595,                -78041,                   -428,                              0,                              0,                 -6093,               -433660,,,,                 28112,                -97165,                -16154,               -567876,                  2164,               -236674,               -190528,             -1078121,,                 12605,                 53991,                -62700,               -438150,               -181676,                    -38,                 16914,,               -617784,             -1695905,             -2071709,             -1699188,               -194286,             -1893474,,                              0,,                              0,               -196973,                 91346,                 -2889,                   -742,,                              0,                 61031,                 -2847,,                  7061,                 81905,                              0,                 37892,,              1041597,                880000,                              0,,                              0,               -419997,                -38818,              1669623,                 21950,               -164009,                586157,                422148,                422148,                              0,,,,                  6841,,,               -375804,                -18730,,                200000,,
