證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得持有至到期日金融資產,　　 處分採用權益法之投資,　　 存出保證金減少,　　 償還公司債,　　 預付投資款增加,　　 非控制權益變動,　　 取得備供出售金融資產,　　 因合併產生之現金流入
3031,2015年01月01日至2015年09月30日,,                 38832,                 38832,,,                161113,                    711,                  9447,                  2164,                 -4656,                  1471,                  3161,                   -230,                              0,                173181,,,                              0,                 11590,                 78504,                -15595,                  8198,                -79040,                  5679,                -33422,                -24086,,                -46566,                -15220,                 54218,                   -673,                 -8241,                -32327,                140854,                179686,                  4656,                 -2164,                -50326,                131852,,                -53800,                  1597,                              0,                -63456,                 42636,                  1463,                  8371,                -55155,                              0,                  1741,               -116603,,                 35000,                 70075,                 -9460,                              0,                -98337,                 -2722,                -31312,                -18785,                866609,                847824,                847824,,,,,,,,,,,,,,
3031,2015年01月01日至2015年06月30日,,                -20664,                -20664,,,                110615,                    396,                 13784,                  1253,                 -3139,                    981,                  1984,                      4,,                125878,,,                              0,                 34396,                 39554,                -15958,                 20740,                -65503,                -12150,                -59765,                -58686,,                -59936,                -17863,                 30525,                 -1314,                -48588,               -107274,                 18604,                 -2060,                  3135,                 -1253,                -27460,                -27638,,,,,                -36604,                 11314,                  2139,                 10497,                -15528,                              0,                 -5789,                -33971,,                 24000,                 -4750,,,,                 19250,                     24,                -42335,                866609,                824274,                824274,,,,,,,,,,,,,,
3031,2015年01月01日至2015年03月31日,,                 10783,                 10783,,,                 62216,                    184,                  8269,                    646,                   -985,                    490,                   -542,                     33,,                 70311,,,                              0,                  4239,                 66289,                 -3042,                 -4038,                -93999,                -22039,                 29389,                -23201,,                -17278,                -24657,                 66801,                 -1177,                 23689,                    488,                 70799,                 81582,                    960,                   -646,                 -1312,                 80584,,,,,                -17112,                 11272,                   -388,                              0,                              0,                              0,                              0,                 -7308,,                 16000,,                 -2375,,,                 13625,                  1425,                 88326,                866609,                954935,                954935,                  8223,                 -9303,,,,,,,,,,,,
3031,2014年度,,                 50473,                 50473,,,                250200,                    676,                 14323,                  5109,                -20321,                  4666,                 -5792,                 21127,                  5680,,,,                              0,                -16189,                148488,                  4920,               -166539,                 93235,                 53294,                 -3095,                114114,,                -15966,                 -5374,                104170,,                 83952,                198066,                473734,                524207,                 20321,                 -5109,                -10237,                529182,,                              0,,                -18016,               -486899,                 44471,,,                 18852,                  3342,                104467,               -338342,,                 30000,,                 -9500,,                -68836,                -48336,                 -5067,                137437,                729172,                866609,                866609,                -22438,,,                              0,                275668,                  1122,                              0,                              0,                 17879,                              0,,,,
3031,2014年01月01日至2014年09月30日,,                 26951,                 26951,,,                193510,                    472,                 21951,                  1514,                 -3900,                  3499,                 -9374,                     64,                  5680,                213416,,,                              0,                 25375,                 76357,                  9333,               -110174,                 58820,                 15107,                101085,                175903,,                  9410,                -15627,                 52091,                    539,                 46413,                222316,                435732,                462683,                  2632,                 -1514,                -21541,                442260,,                              0,                              0,                -18016,                -28386,                              0,               -350998,                -41777,                  6124,                  3342,                 -1048,               -430759,,                 20000,                              0,                 -7125,                 74010,                -68836,                 18049,                   -818,                 28732,                729172,                757904,                757904,,,,,,,,,,,,,,
3031,2014年01月01日至2014年06月30日,,                 -5357,                 -5357,,,                136949,                    279,                 18928,                  1054,                 -2582,                  2333,                 -7501,                     22,,                149482,,,               -350710,                 -4908,                103497,                  1735,                  3461,                 46408,                 12029,                -13120,               -201608,,                -24763,                -14077,                  1017,                    436,                -37387,               -238995,                -89513,                -94870,                  2333,                 -1054,                -10671,               -104262,,,,,                -11494,                              0,                  9378,                -18988,                  8286,                  3342,                 -1048,                -10524,,                 23000,                 -4749,,,,                 18251,                 -4954,               -101489,                729172,                627683,                627683,,,,,,,,,,,,,,
3031,2014年01月01日至2014年03月31日,,                 -1173,                 -1173,,,                 71248,                     99,                 14329,                    528,                   -976,                  1166,                    336,                              0,,                 86730,,,               -300256,                  4577,                128603,                    372,                 -4116,                  1824,                -20335,                -18204,               -207535,,                -26149,                  2890,                 13487,                    334,                 -9438,               -216973,               -130243,               -131416,                    976,                   -528,                 -1617,               -132585,,,,,                 -6815,                              0,                 -1681,                 -2241,                  9067,                  3342,                 -1048,                    624,,                  6000,,                 -2375,,,                  3625,                 -1871,               -130207,                729172,                598965,                598965,                              0,                              0,,,,,,,,,,,,
3031,2013年度,,                 18142,                 18142,,,                270588,                    562,                -43444,                 10405,                 -3226,                  3458,                  1141,                   -681,                              0,,,,                895812,                -78720,                -73273,                -51139,                 -6159,                 12663,                211064,               -117073,                793175,,                216164,                -70258,                 94670,,                237112,              1030287,              1340285,              1358427,                  3226,                 -2881,                -42328,              1316444,,               -100000,,                              0,                -42740,                              0,,,                 11256,                  1096,                              0,                289600,,                 11921,,                -20833,,                              0,             -1908912,                  2634,               -300234,              1029406,                729172,                729172,                260708,,,                 71195,                309998,                 -3464,                 51260,                 81190,                 26830,             -1900000,,,,
3031,2013年01月01日至2013年12月31日,,                 18142,                 18142,,,                270588,                    562,                -43444,                 10405,                 -3226,                  3458,                  1141,                   -681,,,,,                895812,                -78720,                -73273,                -51139,                 -6159,                 12663,                211064,               -117073,                793175,,                216164,                -70258,                 94670,,                237112,              1030287,              1340285,              1358427,                  3226,                 -2881,                -42328,              1316444,,               -100000,,                              0,                -42740,,                              0,,                 11256,                  1096,,                289600,,                 11921,,                -20833,,                              0,             -1908912,                  2634,               -300234,              1029406,                729172,                729172,                260708,,,                 71195,                309998,                 -3464,                 51260,,                 26830,             -1900000,,,                              0,                 81190
3031,2013年01月01日至2013年09月30日,,                -20542,                -20542,,,                199329,                    506,                 22484,                  9202,                 -2033,                  1235,                 -1523,                   -220,                              0,,,,                745561,                -55321,               -181669,                -53834,                -17330,                    827,                208739,                -93644,                553329,,                199675,                -28974,                173406,,                344107,                897436,              1197611,              1177069,                  2033,                 -1678,                -18968,              1158456,,,,                              0,                -56911,,                              0,                              0,                  3443,                              0,                              0,                242701,,                 11921,,                -15875,                              0,                              0,             -1903954,                   -975,               -503772,              1029406,                525634,                525634,                264087,,,                 71195,                300175,                              0,                 51260,,                 25992,             -1900000,                -45170,                              0,,
