證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　　　　 其他營業資產（增加）減少,　　 停業單位稅前淨利（淨損）,　　 處分子公司,　　 預付設備款增加,　　　　 處分其他資產損失（利益）
3311,2015年01月01日至2015年09月30日,,                204237,                204237,,,                157847,                  8118,                -63152,                  2554,                 17963,                -64990,                 -2599,                 -2530,                 -7287,                 -1329,                              0,                -14916,                  3967,                 33646,,,                              0,                  2702,                201245,                 36612,                  7595,                  1879,                -22520,                -44966,                182547,,                 -1460,                 -7146,               -133463,                 -3685,                -92063,                 -1476,                 -3265,                 28637,                 -4940,               -218861,                -36314,                 -2668,                201569,                 68015,                  2599,                -18036,                -56951,                197196,,             -1640000,              1641329,                 -3158,                    768,                129505,               -117206,                 18122,                     91,                   -995,                    -29,                 28427,,                              0,                     33,                              0,               -227261,               -234654,               -461882,                 27450,               -208809,              4487472,              4278663,              4278663,,,,,,,,,,,,,,
3311,2015年01月01日至2015年06月30日,,                121737,                121737,,,                105521,                  5533,                -55664,                    799,                 11920,                -45139,                 -2599,                 -1502,                 -4815,                 -1076,,                -13282,                  3955,                  3651,,,                              0,                  5960,                193407,                 40889,                  7747,                  2970,                -44102,                -13948,                192923,,                 -1205,                 -2253,               -199291,                 -3685,                -76505,                 -1600,                 -3164,                -33213,                 -4478,               -325394,               -132471,               -128820,                 -7083,                 45849,                  2599,                -11993,                -47288,                -17916,,             -1120000,              1121076,                   -863,                    768,                129505,                -70931,                 15362,                    231,                   -943,                              0,                 74205,,                              0,                      5,                              0,,               -144346,               -144341,                -49963,               -138015,              4487472,              4349457,              4349457,,,,,,,,,,,,,,
3311,2015年01月01日至2015年03月31日,,                 45599,                 45599,,,                 52676,                  2791,                -50428,                    707,                  5939,                -23239,,                   -782,                 -6296,                   -683,,                 -9896,                  1583,                -27628,,,                              0,                  6082,                206060,                -13168,                  8003,                   -458,                 -6261,                 13784,                214042,,                 -1193,                 -8150,               -155785,                 -1347,                -59152,                   -817,                 -3188,                -47252,                 -5141,               -282025,                -67983,                -95611,                -50012,                 21406,,                 -5945,                -32700,                -67251,,               -600000,                600683,,                    768,                129505,                -47555,                  6341,,                   -952,                              0,                 88342,,                              0,                    -91,,,,                    -91,                -29877,                 -8877,              4487472,              4478595,              4478595,                   -448,,,,,,,,,,,,,
3311,2014年度,,             -1440167,             -1440167,,,                371691,                 19764,                 96783,                  1200,                 26410,                -81058,                              0,                 -3502,                 13984,                 -2133,                864486,                 13317,                 52849,,,,                    285,                 -5827,                183969,                137994,                 15834,                 17456,                 48860,                 56943,                455514,,                   -851,                -18269,               -121053,                   -712,               -169116,                   -116,                  5314,                 48401,,               -267801,                187713,              1610666,                170499,                 80840,                    726,                -26473,                -95969,                129623,,             -2200000,              2202133,                 -5585,,,               -346404,                 51283,                              0,                -10585,                   -433,               -309723,,               -119112,                              0,                 -1853,               -187706,,               -308671,                 71955,               -416816,              4904288,              4487472,              4487472,                   -132,,                 49162,              1422953,                -11399,                              0,                              0,                              0,                              0,,,,,
3311,2014年01月01日至2014年09月30日,,             -1473470,             -1473470,,,                302114,                 15794,                 48100,                    970,                 20373,                -61558,                              0,                 -2060,                  7834,                 -1759,                972172,                 46940,                 29971,              1378891,,,                    285,                 -3357,                 16562,                175738,                  6709,                 39917,                 36379,                 -1547,                270686,,                   -821,                -24890,               -185140,                 -2469,                -52971,                 -1005,                  1739,                 26429,                 -1940,               -241068,                 29618,              1408509,                -64961,                 64767,                    726,                -20508,                -69492,                -89468,,             -1750000,              1751759,                 -4678,                              0,                              0,               -281789,                 10864,                     17,                 -9846,                   -432,               -284105,,               -119112,                              0,                 -1880,               -187706,                              0,               -308698,                 26896,               -655375,              4904288,              4248913,              4248913,,,,,,,,,,,,,,
3311,2014年01月01日至2014年06月30日,,               -158059,               -158059,,,                201068,                  9696,                  7143,                   -328,                 14209,                -41954,                              0,                   -614,                  2067,                 -1316,,                   -547,                 28823,                218247,,,                    284,                 -2710,                -53723,                142301,                 21133,                 38982,                 36532,                -21460,                161339,,                   -820,                -20050,               -264100,                 -3007,               -153046,                 -3974,                    776,                 19567,                 -3039,               -427693,               -266354,                -48107,               -206166,                 43879,                    726,                -14344,                -55768,               -231673,,             -1250000,              1251316,                 -2725,                              0,                              0,               -200701,                  4997,                    122,                 -9837,                    -97,               -206925,,               -119112,                              0,                    -54,,                              0,               -119166,                -34361,               -592125,              4904288,              4312163,              4312163,,,,,,,,,,,,,,
3311,2014年01月01日至2014年03月31日,,                -65583,                -65583,,,                100620,                  4902,                    183,                  2642,                  8071,                -22172,,                    -23,                 -1082,                   -705,,                 -6794,                              0,                 85642,,,                    279,                 -4424,                100078,                101367,                 24052,                 28410,                  2968,                -29029,                223701,,                   -820,                -15085,               -189629,                 -2552,               -133255,                  1519,                    625,                 32030,                 -4072,               -311239,                -87538,                 -1896,                -67479,                 23945,,                 -8151,                -35469,                -87154,,               -700000,                700705,,                              0,                              0,               -129935,                  1325,,                 -8901,                   -101,               -136922,,               -119112,                      1,,,,               -119111,                 15063,               -328124,              4904288,              4576164,              4576164,                    -15,,,,,,,,,,,,,
3311,2013年度,,                359851,                359851,,,                386315,                 30058,                  3642,                    558,                 25392,                -92032,                 -1606,                 -3743,                  1341,                 -1687,                              0,                 -6280,                 13391,,,,                              0,                  5429,                514266,                280371,                -13190,                 11089,                -36447,                 28070,                789588,,                   -438,                -56616,               -410519,                -16419,               -243620,                -15946,                 -3471,                -11327,,               -740718,                 48870,                404219,                764070,                 89454,                  2066,                -26028,               -268177,                561385,,             -2150000,              2151687,                 -7529,,,               -302397,                 19281,                    462,                 -7197,                    -89,               -293301,,                              0,                    145,                              0,               -627519,,               -281316,                146172,                132940,              4771348,              4904288,              4904288,                              0,,                              0,                355349,                 17638,                  2481,                119112,              1440000,             -1213054,,,,,
3311,2013年01月01日至2013年12月31日,,                359851,                359851,,,                386315,                 30058,,                    558,                 25392,                -92032,                 -1606,                 -3743,                  1341,                 -1687,                              0,                 -6280,                 13391,,,,,                  5429,                517356,                280923,                -13190,                 11089,                -36447,                 28070,                793230,,                   -438,                -56616,               -410519,                -16419,               -243620,                -15946,                 -3471,                -11327,,               -740718,                 52512,                404219,                764070,                 89454,                  2066,                -26028,               -268177,                561385,,             -2150000,              2151687,                 -7529,,,                -19856,                 19281,                    462,                 -7197,                    -89,               -292149,,                              0,                    145,                              0,               -627519,,               -281316,                145020,                132940,              4771348,              4904288,              4904288,,,,                351707,                 17638,                  2481,                119112,              1440000,             -1213054,,                              0,                              0,               -281389,
3311,2013年01月01日至2013年09月30日,,                357489,                357489,,,                287396,                 23832,,                 -2353,                 18088,                -69170,                   -545,                 -2296,                     71,                   -751,                              0,                 15630,,,,,                              0,                    424,                272246,                260661,                  4422,                 11692,                -33474,                 -2351,                495574,,                   -439,                -37914,               -237948,                -11658,               -202308,                 -9112,                 -1172,                  8675,,               -489598,                  5976,                275878,                633367,                 66482,                  1005,                -18782,               -252607,                429465,,             -1350000,              1350751,                 -4460,,,               -211733,                  1656,                              0,                 -6191,                    -89,               -219005,,                              0,                    108,                              0,               -627519,,               -281876,                114862,                 43446,              4771348,              4814794,              4814794,                   -116,,,                269902,                  2278,                  1177,                118680,              1440000,             -1213145,                -18046,,,,
3311,2013年01月01日至2013年06月30日,,                302213,                302213,,,                188592,                 16392,,                  4164,                 11233,                -45587,                   -545,                   -173,                     59,                              0,,                  5749,,,,,                              0,                  2275,                 20685,                250197,                -25050,                  6988,                -54846,                 13192,                196788,,                   -455,                -40093,                 38292,                 -7215,                -41698,                  5671,                 -3789,                 13363,,                -34034,                162754,                342638,                644851,                 42864,                  1041,                -11451,                -61169,                616136,,                              0,                              0,                 -4441,,,               -136283,                  1580,                              0,                 -5749,                    -88,               -143887,,                              0,                    137,                              0,,,                 31699,                149223,                653171,              4771348,              5424519,              5424519,                    -78,,,                179884,                  1890,                  1172,                120388,              1005000,             -1093826,                -16653,,,,
