證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 取得子公司股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得備供出售金融資產,　　 應付短期票券增加,　　 其他非流動負債減少,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得以成本衡量之金融資產,　　 取得投資性不動產,　　 舉借長期借款,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得按攤銷後成本衡量之金融資產,　　 按攤銷後成本衡量之金融資產到期還本,　　　　　 應付票據增加（減少）,　　　　 處分投資性不動產損失（利益）,　　 處分無活絡市場之債券投資,　　 其他應收款－關係人減少,　　 其他投資活動,　　 其他應收款－關係人增加
2204,2015年01月01日至2015年09月30日,,              3233930,              3233930,,,                615905,                 72795,                -34276,                 18949,               -174404,                -42248,               -764810,                 -5897,                -13695,                  2118,                 38414,                 -6508,                              0,               -293657,,,                352995,                 64013,               -192687,                -51127,                  9124,              1922427,               -380116,              1724629,,               -409016,               -143623,               -296545,                -10302,                -37203,               -896689,                827940,                534283,              3768213,               -424670,              3343543,,                     36,                580330,               -889962,                  9362,                 51753,                  1517,               -197393,                     29,                              0,                              0,               -751940,                 52323,                              0,                -97013,                151057,                677427,               -412474,,                 71742,                              0,                -29967,                 -9091,                  1373,             -1591658,                -16250,                -18924,                -90929,             -1683704,                  1411,              1248776,             11211609,             12460385,             12460385,,,,,,,,,,,,,,,,,,,,,,,,
2204,2015年01月01日至2015年06月30日,,              2387189,              2387189,,,                415089,                 47896,                -47344,                 16005,               -107097,                 -7315,               -534317,                 -5714,                 -8074,                  1677,                 26899,                 58183,                              0,               -144112,,,                239697,                 66357,               -537542,               -284628,                 18231,              1671328,               -125542,              1047901,,                -30572,                 57793,               -362619,                -68605,                -51153,               -455156,                592745,                448633,              2835822,               -298473,              2537349,,                     36,                533322,               -628373,                  9362,                 23098,,               -197393,                     29,                              0,,               -520773,                 44108,                              0,                -68094,                100914,                147648,               -556116,,                 29009,                              0,                              0,                 -4545,                              0,,                -16250,                -16005,                -36515,                -44970,                 -1816,              1934447,             11211609,             13146056,             13146056,                              0,                     59,                   -723,,,,,,,,,,,,,,,,,,,,,
2204,2015年01月01日至2015年03月31日,,              1216399,              1216399,,,                192544,                 23542,                -22177,                  5700,                -49661,,               -242105,                 -2454,                              0,,                 38268,                 13060,,                -43283,,,                 80825,                -19976,               -391471,               -413789,                -32798,              1598058,                -49542,                771307,,               -350013,                -76075,               -444415,               -116337,                -54154,             -1040994,               -269687,               -312970,                903429,                -15362,                888067,,                     36,                348085,                              0,                  9363,                              0,,                              0,,,,               -279610,                 21367,                              0,                -31044,                 45072,                 31689,                144958,,,                -20706,                    -62,                              0,                              0,,                -16250,                 -5706,                 -7256,                -50784,                  2793,                985034,             11211609,             12196643,             12196643,,,                   -804,                              0,,,,,,,,,,,,,,,,,,,,
2204,2014年度,,              3239899,              3239899,,,                727754,                 88082,                 34535,                 21313,               -154425,                -47546,               -978415,                 11354,                 -4862,                129130,,                -42757,                 -4603,,,,                295858,                -34819,                 90504,                 71695,                 54127,                 47588,                469056,                994009,,               -416547,                 15764,                383375,                  9660,,                    357,                994366,                781599,              4021498,               -274307,              3747191,,                102000,,,,                 53361,,               -729750,                 80948,                    984,                103371,             -1275175,                 34317,                -92650,                              0,                143867,              1061068,             -1398313,,,               -331393,               -219618,                              0,                    676,             -1522456,                   -288,                -22102,                -85108,             -2136315,                 51768,                264331,             10947278,             11211609,             11211609,               -189286,,,                 22923,,                 16279,                 -8606,               -212767,                              0,                  8105,               -980584,                291748,                -24769,                   -686,                 43974,,,,,,,,,
2204,2014年01月01日至2014年09月30日,,              2765974,              2765974,,,                498608,                 65606,                  2963,                 22447,               -116385,                -33510,               -623811,                  9807,                 10147,                 71438,                 11337,                  4046,                 -4603,                -81910,,,                 74941,                 -3626,               -181448,               -132113,                120920,              1457255,                273265,              1609194,,               -712861,               -296210,                 44078,                -51933,                 14358,             -1002568,                606626,                524716,              3290690,               -242763,              3047927,,                106781,               -193803,               -841079,                141748,                 20759,                 14471,               -622789,                              0,                    984,                 88900,               -762364,                 26412,                -52505,                -42565,                124268,                761631,             -1229151,,                              0,               -262902,               -219518,                 -4520,                    494,             -1522456,                              0,                -23278,                -85098,             -2117278,                  1340,               -297162,             10947278,             10650116,             10650116,,,,,,,,,,,,,,,,,,,,,,,,
2204,2014年01月01日至2014年06月30日,,              1951486,              1951486,,,                326223,                 43974,                -57046,                 16201,                -77458,                -14189,               -429057,                  1903,                 10147,                 71438,                 36815,                  6448,                 -4603,                -69204,,,                 44415,                -19757,               -441902,               -507924,                137831,              1345474,                310432,                868569,,               -181159,                 22874,                105516,                -50439,                    552,               -102656,                765913,                696709,              2648195,               -225966,              2422229,,                 93828,                              0,               -168308,                 70237,                 20759,,               -164982,                              0,                    984,,               -565263,                 19161,                -52505,                 -7081,                 75994,                163697,               -705555,,                              0,               -263759,                -54644,                 -3013,                    307,,                              0,                -17032,                -20179,               -358320,                  3451,              1361805,             10947278,             12309083,             12309083,               -192076,                              0,                              0,,,,,,,,,,,,,,,,,,,,,
2204,2014年01月01日至2014年03月31日,,              1065171,              1065171,,,                153520,                 22023,                -47462,                  9343,                -40103,,               -258655,                    564,                  8566,,                 32585,                 19025,,               -100594,,,                -25348,                 88940,                -95802,               -231065,                 56875,              1341400,                193287,              1328287,,               -568753,               -221844,               -185228,               -145396,                -12014,             -1133235,                195052,                 94458,              1159629,                -23054,              1136575,,                 54655,               -146687,                -75967,                 46665,                 20174,,               -164982,,,,               -302715,                  7373,                -50295,                              0,                 40590,                 34144,               -516624,,,               -202446,                -54697,                 -1506,                    168,,                              0,                -10174,                              0,               -268655,                  7694,                358990,             10947278,             11306268,             11306268,,,                              0,                 20421,,,,,,,,,,,,,,,,,,,,
2204,2013年度,,              3065948,              3065948,,,                628439,                104194,                  1787,                 28024,               -126559,                -43526,             -1360568,                 16913,                 39225,                139490,,                -28172,                              0,,,,                -64511,                114654,                140628,               -389920,                -76816,              1675654,               -459140,                940549,,                345390,                104601,               -397230,                -49376,,               -229975,                710574,                 81894,              3147842,               -246905,              2900937,,                215452,,,,                 11128,,                              0,                              0,                              0,                219375,             -1132653,                 35411,               -129199,               -118861,                125332,              1067751,              2260071,,,                -15280,                -89754,                -11218,                  1246,             -1245646,                -25039,                -30651,                -66253,             -1482595,                 97542,              3775955,              7171323,             10947278,             10947278,              2341257,,,                              0,,                              0,                -27927,               -628680,               -262476,                 29116,               -363794,                              0,                -11128,                              0,                              0,,,,,,,,,
2204,2013年01月01日至2013年12月31日,,              3065948,              3065948,,,                628439,                104194,                 73669,                 28024,               -126559,,             -1360568,,                 39225,                139490,,                -28172,                              0,,,,               -130470,                114654,                140628,               -389920,                -83475,              1675654,               -459140,                867931,,                345390,                104601,               -435277,              1234317,,                875444,              1743375,              1230103,              4296051,               -223066,              4072985,,                209528,,,,                 11128,,                              0,                              0,,                219375,             -1132653,                 35411,               -129199,               -118861,                131991,              1024225,              2217280,,,                -15280,                -89754,                -11218,                  1246,             -2491292,                -25039,                -30651,                  8560,             -2653428,                139118,              3775955,              7171323,             10947278,             10947278,              2341257,,,,,                              0,                -27927,               -513272,               -262475,               -111112,               -363794,,                -11128,,,,,,,                 16913,                              0,                              0,                              0,
2204,2013年01月01日至2013年09月30日,,              2131482,              2131482,,,                466691,                 68409,                 18323,                 24123,                -91338,                -31087,               -975149,                  9057,                    586,                118299,                 -1619,                 -4068,                              0,,,,                 76711,                222382,                 29443,                -97844,                -74152,              2714209,               -239531,              2631218,,               -137814,               -202762,               -207880,               -319502,,               -983190,              1648028,              1250255,              3381737,               -231480,              3150257,,                193708,              2423977,,,                 13932,,                              0,,                              0,                 67059,               -630536,                 34072,               -129200,                -46302,                 96691,                840634,              2636083,,,               -270862,                -19540,                 -8414,                  1014,             -1245646,,                -24465,                -66520,             -1634433,                 10887,              4162794,              7171323,             11334117,             11334117,,,,,,,,               -397773,,               -115232,               -216553,                              0,                -11128,                   -271,,,,,,,,,,
