證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款減少,　　 其他預付款項增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 其他借款增加,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他預付款項減少,　　 償還公司債,　　 舉借長期借款,　　 存入保證金增加,　　　　 股份基礎給付酬勞成本,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付設備款增加,　　 現金增資,　　　　　 其他營業資產（增加）減少,　　 短期借款減少,　　 應付短期票券減少
3494,2015年01月01日至2015年09月30日,,                  5720,                  5720,,,                106521,                 16211,                  1052,                     -1,                 11346,                 -4685,                    766,                131210,,,                 -1221,                 21941,                -16015,                    743,                  9244,                              0,                 14692,,                  1145,                 16885,                -38290,                              0,                    523,                     72,                -19665,                 -4973,                126237,                131957,                  4685,                -11130,                 -8987,                116525,,                -77018,                    939,                  2332,                              0,                -15979,               -236845,                 -2720,                   -645,               -329936,,                -94389,                -29951,                -84417,                 45000,                -52041,                              0,                              0,               -215798,                 38237,               -390972,                913964,                522992,                522992,,,,,,,,,,,,,,,,,,,,
3494,2015年01月01日至2015年06月30日,,                  6968,                  6968,,,                 70012,                 10493,                    462,                     -1,                  7633,                 -3340,                    753,                 86012,,,                 -1246,                 10488,                 89198,                  7606,                 16775,                              0,                122821,,                              0,                -25116,                 -7359,                              0,                     42,                     70,                -32363,                 90458,                176470,                183438,                  3340,                 -7489,                 -8942,                170347,,                -49616,                    908,,,,                -95515,,,               -146485,,               -141675,                -29951,                -74000,,,                              0,                              0,               -245899,                -18178,               -240215,                913964,                673749,                673749,                  2661,                              0,                 -9836,                  4913,                              0,                              0,                   -273,,,,,,,,,,,,,
3494,2015年01月01日至2015年03月31日,,                  1231,                  1231,,,                 34757,                  5087,                    469,                     -1,                  4147,                 -1709,                    761,                 43511,,,                   -107,                -20420,                 64000,                 -4118,                  6690,,                 46045,,                  1365,                -30517,                 -3275,,                    278,                 -3196,                -35345,                 10700,                 54211,                 55442,                  1709,                 -4075,                   -666,                 52410,,                -15899,                    912,,,,                -16473,                  2276,,                -30174,,               -197261,                -29951,                -12500,,,                              0,,               -237899,                 -7370,               -223033,                913964,                690931,                690931,                     18,                              0,                 -1008,,                              0,                  2500,,                              0,                              0,                              0,                              0,                   -687,,,,,,,,
3494,2014年度,,                106123,                106123,,,                129214,                 22560,,                  2530,                 20711,                -12208,                  4375,,,,                   -390,                -98348,               -101278,                 37517,                 42727,,               -118952,,                   -588,                 17540,                 -2439,,                -11753,                 -1056,                 -3273,               -122225,                 44957,                151080,                 12208,                -19774,                 -7220,                136294,,               -231627,                  1964,                 -1463,,                 -5178,,                 -4862,,               -241694,,                467771,                 29951,               -322500,,,                    944,                -29805,                176895,                -16464,                 55031,                858933,                913964,                913964,,                   -474,,,                              0,                 30000,                    534,,                    820,                 -4911,,,,                167182,                    -66,                    -54,                              0,,,
3494,2014年01月01日至2014年09月30日,,                 79267,                 79267,,,                 94208,                 17503,                              0,                  1664,                 16010,                 -4696,                  2393,                127082,,,                    -59,               -103517,               -155557,                 14424,                 30498,                 -9798,               -224009,,                   -588,                 25523,                 14678,                 -3017,                 -1055,                  3236,                 38777,               -185232,                -58150,                 21117,                  4696,                -15145,                 -6176,                  4492,,               -179262,                  1661,                 -1348,                   -440,                -20132,                 25344,                   -388,                              0,               -174565,,                445296,                 29951,               -262250,                    125,                              0,                    944,                -29805,                184261,                -87297,                -73109,                858933,                785824,                785824,,,,,,,,,,,,,,,,,,,,
3494,2014年01月01日至2014年06月30日,,                 44055,                 44055,,,                 59635,                 12510,                              0,                   -796,                 10800,                 -3225,                  2036,                 80960,,,                    -64,                -84615,               -172366,                 -7217,                 32022,                 -7581,               -239821,,                   -588,                 99471,                -18795,                 -3363,                 -1746,                     -8,                 74971,               -164850,                -83890,                -39835,                  3225,                -10006,                 -3674,                -50290,,               -131588,                  4476,,,,                -20763,,,               -149578,,                269874,                 49874,                -95000,,,                    944,                -28582,                203686,                 -3121,                    697,                858933,                859630,                859630,                    -44,                   -440,                 -2457,                  1238,                              0,                  7500,                   -924,,,,,,,,,,,,,
3494,2014年01月01日至2014年03月31日,,                 29886,                 29886,,,                 29141,                  7411,                              0,                    167,                  5706,                   -651,                              0,                 41774,,,                   -110,                -62106,               -129414,                -57467,                 27839,,               -230099,,                   -252,                100440,                  2598,,                    -47,                     15,                 99561,               -130538,                -88764,                -58878,                    651,                 -4982,                 -2233,                -65442,,                -98440,                    412,,,,                  1452,                 -2133,,                -98766,,                245619,                 49874,                -11250,,,                    222,,                294585,                 16843,                147220,                858933,              1006153,              1006153,                    -17,                    440,                   -480,,                              0,                 10833,,                              0,                 -8841,                 -3193,                              0,                   -713,,,,,,,,
3494,2013年度,,               -109475,               -109475,,,                 93380,                 30579,,                   -709,                 19774,                 -4827,                 -1376,,,,                    132,                 43885,                 51180,                 27204,                 25159,,                170329,,                    588,                -42263,                 98225,,                -22242,                  1038,                 35878,                206207,                343028,                233553,                  4827,                -14383,                 -6903,                217094,,               -333016,                 42978,                  1398,,                 -4053,,                   -420,,               -498414,,               -115138,                -49923,                -20416,,,                  2755,                              0,                471531,                 41366,                231577,                627356,                858933,                858933,,                  8533,,,               -178379,                385166,                    586,,                 22769,                              0,,,,                136821,                    532,               -213834,                446880,,,
3494,2013年01月01日至2013年12月31日,,               -109475,               -109475,,,                 93380,                 30579,,                   -709,                 19774,                 -4827,                 -1376,,,,                    132,                 43885,                 51180,                 27204,                 25159,,                170329,,                    588,                -42263,                 98225,,                -22242,                  1038,                 35878,                206207,                343028,                233553,                  4827,                -14383,                 -6903,                217094,,               -333016,                 42978,                  1398,,                 -4053,,                   -420,,               -498414,,               -115138,                              0,                -20416,,                              0,                  2755,                              0,                471531,                 41366,                231577,                627356,                858933,                858933,                              0,                  8533,,                              0,               -178379,                385166,                    586,                              0,,,,,,                136821,                    532,               -213834,                446880,                 22769,                              0,                -49923
3494,2013年01月01日至2013年09月30日,,               -106026,               -106026,,,                 68843,                 10197,,                 -5266,                 15169,                 -2744,                    948,,,,                    136,                  4265,                -10740,                 24931,                  4261,,                 46568,,                    302,                 97319,                 11285,,                 28179,                    399,                137484,                184052,                271199,                165173,                  2744,                -10739,                 -2455,                154723,,               -203263,                  3473,                    466,                 -4413,,               -166845,                   -173,,               -359487,,                 17792,                -49923,                -15000,,,                  1998,                              0,                320240,                 31800,                147276,                627356,                774632,                774632,,,                 11268,,               -178377,                100000,                 -3130,,                 23715,                              0,,,,                 87147,,,                446880,,,
3494,2013年01月01日至2013年06月30日,,               -112871,               -112871,,,                 46218,                  6799,,                 -3039,                  9381,                 -1777,                    806,,,,                    125,                  5684,                 20182,                 -8900,                 -2192,                 22569,                 37468,,                     20,                 13245,                 -2867,                              0,                 16280,                    266,                 26944,                 64412,                122800,                  9929,                  1777,                 -6061,                   -403,                  5242,,               -102829,                  2527,,,,                    740,,,                -95435,,                257088,                -19970,                -10000,,,                  1458,                              0,                150389,                 44620,                104816,                627356,                732172,                732172,                   -139,                    404,                  6637,                 -2775,               -178377,                100000,                    190,,,,,,,                 58388,,,,,,
3494,2013年01月01日至2013年03月31日,,                -54776,                -54776,,,                 23025,                  3400,,                  1481,                  4638,                   -873,                  1360,,,,                    139,                -45926,                  2746,                 30932,                -15126,,                -28783,,                              0,                 35224,                -15930,,                 11713,                              0,                 31140,                  2357,                 35388,                -19388,                    873,                 -2941,                   -403,                -21859,,                -40601,                    221,,,,                   -866,                 -2753,,                -41773,,                145237,                     27,                 -4999,,,                    909,,                 81470,                 26615,                 44453,                627356,                671809,                671809,                    -99,                   -649,                  2974,,                -57936,                              0,,                              0,                 -1548,                              0,,                 -1768,,                 33031,                    133,,,,,
3494,2012年01月01日至2012年12月31日,,                -74227,                -74227,,,                 90874,                 31328,,                    124,                 15858,                 -3468,                    280,,,,                     54,                -61065,               -178208,                -65722,                -79658,,               -404694,,                   -788,               -190012,                -11036,,                 13485,                      6,               -187727,               -592421,               -457217,               -531444,                  3468,                 -7175,                -10376,               -545527,,               -403384,                234788,                              0,,                 -2142,,                              0,,               -224439,,                              0,                 19959,                -24304,,               -137583,                 12081,                257563,                390076,                -35271,               -415161,              1042517,                627356,                627356,                 -2320,                  2952,,                 20467,                -29852,                274000,                  4189,                    208,,,,,,                135204,                    618,                -74800,                              0,                -20095,                 14023,                              0
3494,2012年01月01日至2012年09月30日,,                -55449,                -55449,,,                 64903,                 10689,,                 -1391,                 10814,                 -2537,                     48,,,,                    198,                -89877,               -293114,                -52810,                -42343,                  2495,               -465415,,                   -748,                -86937,                -31666,,                128859,                  3386,                 12894,               -452521,               -369787,               -425236,                  2537,                 -4921,                 -8589,               -436209,,               -245771,                 50011,,,,,,,               -208713,,                352830,                 10026,                -18814,,               -137583,                 11801,                257562,                475474,                -19968,               -189416,              1042517,                853101,                853101,,,                 11522,,                   -348,                              0,,                    208,,,,,,                 82734,,                -24475,                              0,                 10036,,
3494,2012年01月01日至2012年06月30日,,                -43580,                -43580,,,                 44986,                  6927,,                 -1946,                  6995,                 -1929,                  3290,,,,                     52,                -57621,               -269367,                -59060,                 12353,                    203,               -373440,,                   -727,               -112621,                    311,,                122391,                  3716,                 13070,               -360370,               -301839,               -345419,                  1929,                 -5176,                 -8581,               -357247,,                -86250,                    519,,,,                 -4380,,,                -76734,,                280620,                              0,                 -1667,,,                 10178,,                125113,                 -6803,               -315671,              1042517,                726846,                726846,,,                  6928,                  6449,                   -348,                              0,,                    208,,,,,,                 58531,,,,,               -163670,
3494,2012年01月01日至2012年03月31日,,                -19412,                -19412,,,                 22534,                  3468,,                 -2760,                  3358,                   -757,                    119,,,,                 -1240,                -35201,               -138113,                -10178,                -30769,                 -5314,               -220815,,                    881,                -92179,                 16719,,                -16500,                    155,                -90924,               -311739,               -285638,               -305050,                    757,                 -1717,                    -50,               -306060,,                -31127,                  7113,,,,,,                  7452,                -14718,,                 82906,                      2,                              0,,,                  6944,,                 89504,                -16741,               -248015,              1042517,                794502,                794502,,,                  3984,,                   -348,,,                    139,,,,,,                 26101,,                 -2140,,,,
