證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 存出保證金減少,　　 其他預付款項增加,　　 短期借款減少,　　 應付短期票券減少,　　 處分以成本衡量之金融資產,　　 其他籌資活動,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產
1608,2015年01月01日至2015年09月30日,,               -447050,               -447050,,,                167584,                    177,                266101,                 23121,                   -240,                -85765,                    898,                   -221,                   -257,                 -5844,                              0,                  4251,                369805,,,                -10580,                -76642,                -11483,                 30717,                361488,                -18968,                274532,,                -11282,                -82573,                 -1484,                              0,                   -552,                -37865,                -21638,               -155394,                119138,                488943,                 41893,                    245,                 85765,                -23329,                 -9258,                 95316,,                              0,                              0,                              0,                 27597,                 20150,                -78058,                    592,                 -7115,                    -41,                   -194,                    610,                 -3000,                              0,                -39459,,               -309993,                290000,                  4641,                -91537,                              0,                              0,               -106889,                -51032,                376152,                325120,                325120,,,,,,,,,,,,,,,
1608,2015年01月01日至2015年06月30日,,               -156683,               -156683,,,                114430,                    118,                 48002,                 15407,                   -191,                -20698,                    584,                    -32,,                 -5844,,                  2818,                154594,,,                 -5972,                -82776,                -12892,                 21538,                226150,                -24544,                121504,,                -15182,                -67237,                    -14,,                 -6473,                -44847,                -15981,               -149734,                -28230,                126364,                -30319,                    192,,                -15723,                 -9258,                -55108,,                              0,                              0,,                 27596,                 20150,                -42192,                     34,                 -3764,                              0,,,,                              0,                  1824,,               -181671,                390000,                  6084,                     -9,                              0,                              0,                214404,                161120,                376152,                537272,                537272,                              0,,,,,,,,,,,,,,
1608,2015年01月01日至2015年03月31日,,               -123911,               -123911,,,                 58456,                     58,                -35470,                  7973,                    -48,,                    302,                    -30,,                  2056,,                  7116,                 40413,,,                  7636,                -20097,                -11041,                 22060,                214343,                -26220,                186681,,                 -7255,                 -9694,                    -14,,                 -8606,                -13930,                 -1672,                -41171,                145510,                185923,                 62012,                     52,,                 -8528,                              0,                 53536,,                              0,                              0,,                  1319,,                -30375,                     31,                -24080,                              0,,,,                              0,                -53105,,               -271239,                290000,                  2138,                     -7,                              0,                              0,                 20892,                 21323,                376152,                397475,                397475,                              0,,,,,,,,,,,,,,
1608,2014年度,,                 97447,                 97447,,,                254769,                    328,                -10567,                 28326,                   -426,               -252168,                    583,                 -4237,,                  1574,,                 18610,,,,                     53,                -54184,                 25508,                 81269,               -916069,                -61130,               -924553,,                  9294,                -24724,                      3,                133314,                -50281,                 40031,,                 96062,               -828491,               -776052,               -678605,                    425,                252168,                -28303,                -18938,               -473253,,                -72896,                456207,               -379000,                              0,                 24533,                -76888,                  9568,                   -439,                   -454,,,,                  3138,               -187818,,,,                    -40,               -517118,                -31270,                -38828,                639653,                -21418,                397570,                376152,                376152,                              0,,                              0,                 15647,                 52439,                -11575,                -31240,                              0,               -120347,                816909,                410000,,,,
1608,2014年01月01日至2014年09月30日,,                167902,                167902,,,                195183,                    255,                 -4281,                 20391,                   -274,               -252166,                    456,                 -4255,                              0,                  1574,                 15647,                  5407,                -22063,,,                  1401,                 72096,                -24634,                 -9033,               -731674,                -84579,               -776423,,                 -2626,                -43583,                   -103,                133314,                 12862,                 33793,                 -2638,                131019,               -645404,               -667467,               -499565,                    273,                252166,                -19845,                -17918,               -284889,,                -72896,                456207,               -379000,                              0,                 24533,                -66263,                  9566,                   -840,                   -354,                              0,                              0,                              0,                  3138,                -25909,,                460841,                450000,                   -258,               -517033,                -31270,                -38828,                323452,                 12654,                397570,                410224,                410224,,,,,,,,,,,,,,,
1608,2014年01月01日至2014年06月30日,,                146514,                146514,,,                131974,                    169,                -74460,                 13135,                   -235,               -135919,                    256,                 -4261,,                    735,,                  3605,                -65001,,,                 -5607,                    370,                -15535,                  5215,               -515198,                 12917,               -517849,,                 -2122,                -12338,                   -107,,                  6106,                 -5004,                   -836,                -14301,               -532150,               -597151,               -450637,                    238,,                -13204,                -17918,               -481521,,                -72896,                213194,,                              0,                              0,                -34660,                  9564,                   -343,                    -33,,,,                  3138,                117964,,                 34962,                400000,                   -155,                 -9140,                -31270,                -38828,                355569,                 -7988,                397570,                389582,                389582,                    -11,,,,,,,,,,,,,,
1608,2014年01月01日至2014年03月31日,,                -34365,                -34365,,,                 66285,                     87,                  3257,                  7052,                    -84,,                     29,                 -4754,,                              0,,                  1803,                 73675,,,                  2480,                -49689,                    360,                 23385,               -357776,                 -7802,               -389053,,                   -476,                 25338,                   -105,,                  5600,                 -2576,                   -554,                 27227,               -361826,               -288151,               -322516,                     85,,                 -6737,                     16,               -329152,,                -72896,                  4844,,                              0,,                -15208,                 10028,                   -293,                    -20,,,,                  3138,                -70407,,                    381,                400000,                   -155,                              0,                -30153,                -32919,                337154,                -62405,                397570,                335165,                335165,                    -11,,,,,,,,,,,,,,
1608,2013年度,,                455238,                455238,,,                265007,                    478,               -257751,                 23606,                   -433,               -277104,                -16964,                  6750,,                 -8968,,                  7210,,,,                 14839,                146352,                 40423,                  5324,                835737,                -12444,              1052055,,                  7413,                 24850,                -54017,                              0,                 17469,                   -278,,                -17462,              1034593,                648934,              1104172,                    438,                277104,                -23553,                 -5210,              1352951,,                 -5141,                  6512,                              0,                 15390,                              0,                -75532,                  3872,                              0,                    -54,,,,                     42,                -54682,,,,                 -6117,               -405237,               -292473,                -88801,             -1412370,               -114101,                511671,                397570,                397570,                 21824,,                235042,               -362532,               -385659,                -12899,                              0,                    229,                              0,               -319742,               -300000,,,,
1608,2013年01月01日至2013年12月31日,,                455238,                455238,,,                265007,                    478,               -257751,                 23606,                   -433,               -277104,                -16964,                  6750,,                 -8968,,                  7210,,,,                 14839,                146352,                 40423,                  5324,                835737,                -12444,              1052055,,                  7413,                 24850,                -54017,,                 17469,                   -278,,                -17462,              1034593,                648934,              1104172,                    438,                277104,                -23553,                 -5210,              1352951,,                 -5141,                  6512,                              0,                 15390,,                -75532,                  3872,,                    -54,,,                              0,                     42,                -54682,,,,                 -6117,               -405237,               -292473,                -88801,             -1412370,               -114101,                511671,                397570,                397570,                 21824,,                235042,               -362532,               -385659,                -12899,                              0,                    229,,               -319742,               -300000,                              0,,,
1608,2013年01月01日至2013年09月30日,,                 98964,                 98964,,,                198545,                    382,               -217056,                 17811,                   -275,               -277104,                              0,                 -1209,,                 -8979,                              0,                  5408,,,,                  6456,                199895,                -27442,                 29256,                599900,                 -3931,                825958,,                 11202,                 51843,                -53506,                              0,                -33830,                  5009,,                -30330,                795628,                748193,                847157,                    279,                277104,                -17866,                 -4131,              1102543,,                 -5141,                  3471,                              0,                 15390,                              0,                -64598,                  2566,                 -3382,                    -19,,,,                              0,                -51671,,                              0,                              0,                 -5038,               -399081,               -189452,                 -7785,             -1195094,               -144222,                511671,                367449,                367449,                 21824,,                235042,,                -47435,                -11048,,,,               -437872,               -150000,                     42,                 -5866,,
1608,2013年01月01日至2013年06月30日,,               -142193,               -142193,,,                131786,                    258,               -213893,                 11835,                   -220,                -11392,                              0,                   -790,,                     10,,                  3605,,,,                    824,               -167806,                -69706,                -55989,                503058,                  4608,                236813,,                  4747,                137465,                -51490,,                -72538,                  5750,,                 12187,                249000,                405242,                263049,                    233,,                -11284,                 -4131,                247867,,                              0,                  2896,,,,                -41276,                  2042,                 -4691,                              0,,,,                              0,                -41029,,                 87540,                              0,                 -4416,                 -5944,               -154716,                 -7785,               -235321,                -28483,                511671,                483188,                483188,                 21824,,                235043,,                156242,                -11747,,,,,               -150000,,,,
1608,2013年01月01日至2013年03月31日,,                234164,                234164,,,                 65370,                    133,               -251934,                  5559,                    -90,,                              0,                    146,,                     10,,                  1803,,,,                 -5358,                -44397,                -71913,                 -4444,                272680,                -13461,                154931,,                 35197,                 29546,                -49472,,                 22077,                  9102,,                 40340,                195271,                 16268,                250432,                     98,,                 -5946,                              0,                244584,,                              0,                  2854,,,,                -22214,                     43,                 -6584,                              0,,,,                              0,                -25901,,                              0,                350000,                 -1336,                    -93,               -123771,                 -7785,               -573427,               -354744,                511671,                156927,                156927,                 21824,,,,               -179003,                 -6110,,,,               -790442,,,,,
1608,2012年01月01日至2012年12月31日,,                655317,                655317,,,                260195,                    621,               -285247,                 36568,                   -350,               -126871,                              0,                   -962,,                 -6884,,                  7209,,,,                 16617,                110216,                -73853,                -22354,              1222788,                 68263,              1302000,,                 -6325,                 32634,                 19376,,                 28784,                  8096,,                 71604,              1373604,              1272801,              1928118,                    394,                126871,                -37528,                -16753,              2001102,,               -142812,                477758,                 -8773,                154614,,               -199032,                  1142,,                   -251,,,                 -9309,                              0,                369113,,,,                 -7467,                -10904,               -456400,               -273524,             -2312320,                 57895,                453776,                511671,                511671,                -19677,,                 14918,                              0,               -100803,                -10961,                -67893,                  5742,,             -1342525,               -221500,                157927,,,
