證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　 其他項目,　　 處分備供出售金融資產,　　 存出保證金減少,　　 預付設備款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 支付之股利,　　 存出保證金增加,　　 其他應收款增加,　　 其他應收款－關係人減少,　　 其他非流動資產減少,　　 預付設備款減少
8131,2015年01月01日至2015年09月30日,,                988942,                988942,,,              1152582,                 34346,                  2748,                 -4669,                              0,                -11528,                 -9929,                215968,              1379518,,,                              0,                -12447,                251356,                -16705,                 21496,                 32639,                157702,               -107869,                326172,,                 -1566,                -63401,                -21934,                 30792,                -25706,                   -220,                -82035,                244137,              1623655,              2612597,                 11528,                  9929,                              0,               -155846,              2478208,,                -81011,               -569061,                 58906,               -126727,               -717893,,               -615596,               -615596,              1144719,              1879627,              3024346,              3024346,,,,,,,,,,,,,,,,,,
8131,2015年01月01日至2015年06月30日,,                634765,                634765,,,                787085,                 16907,                 -2748,                 -7131,                              0,                 -7113,                              0,                216468,              1003468,,,                              0,                  1544,                311212,                -62456,                 22362,                  3512,                137250,                -51871,                361553,,                   -225,               -121865,                -16735,                 -6557,                  9246,                   -163,               -136299,                225254,              1228722,              1863487,                  7113,                              0,                              0,               -101834,              1768766,,                 -4402,               -313723,                  1043,                -59227,               -393057,,,,              1375709,              1879627,              3255336,              3255336,                              0,                              0,                              0,                    246,                -16994,,,,,,,,,,,,,
8131,2015年01月01日至2015年03月31日,,                343296,                343296,,,                403075,                  5824,                   -126,                 -8307,                              0,                 -2847,                              0,                 22062,                419681,,,                              0,                  4814,                145032,                 25409,                  9094,                  1758,                163077,                -64075,                285109,,                 -1566,                -97187,                -15375,                -30452,                -28689,                   -103,               -173372,                111737,                531418,                874714,                  2847,,,                   -263,                877298,,                 -4402,               -217749,                 10274,                 -5204,               -217081,,                              0,                              0,                660217,              1879627,              2539844,              2539844,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,,,,,,,,,
8131,2014年度,,              1071404,              1071404,,,              1918506,                 44212,                  6682,                  3259,                      1,                 -9132,                 -1720,                 44062,,,,               -649776,                    281,               -132420,               -250294,                -23462,                -21397,               -307856,                 21072,             -1363852,,                  1134,                 79607,                 -1110,                194958,                 28955,,                304672,             -1059180,                946690,              2018094,                  9132,                  1720,                     -1,                -16133,              2012812,,               -390435,               -623415,                 39389,                -53769,             -1028230,,               -176889,               -176889,                807693,              1071934,              1879627,              1879627,                              0,,                              0,,,                              0,                              0,,                              0,,              2005870,                  1128,,,,,,
8131,2014年01月01日至2014年09月30日,,                664074,                664074,,,              1487494,                 39003,                  5256,                  5444,                      1,                 -6666,                 -1720,                 -6960,              1521852,,,               -429776,                  2447,                -39242,               -198688,                 -3198,                  2867,               -241958,                -37967,               -945515,,                  1353,                 32928,                 80850,                215703,                    914,                  1182,                332930,               -612585,                909267,              1573341,                  6666,                  1720,                      1,                -15895,              1565833,,               -256745,               -432787,                  8182,                -52343,               -733693,,               -176889,               -176889,                655251,              1071934,              1727185,              1727185,,,,,,,,,,,,,,,,,,
8131,2014年01月01日至2014年06月30日,,                407554,                407554,,,              1027960,                 29757,                  3749,                 -1908,                              0,                 -3872,                              0,                 -5700,              1049986,,,               -379968,                  5369,                 17924,               -137044,                  1109,                 -1716,               -160040,                 26707,               -627659,,                    983,                -39169,                  3675,                125438,                    124,                  1247,                 92298,               -535361,                514625,                922179,                  3872,                              0,                              0,                -15630,                910421,,                -32039,               -160128,                  5700,                 -9970,               -213676,,,,                696745,              1071934,              1768679,              1768679,                              0,                              0,                              0,                   -259,                -16980,,,,,,,,,,,,,
8131,2014年01月01日至2014年03月31日,,                192008,                192008,,,                535341,                 15219,                  3198,                   -194,                              0,                 -1552,                              0,                   -700,                551312,,,               -400000,                 -2842,                -59730,                 17063,                    498,                  1101,               -161953,                 33978,               -571885,,                    330,                119689,                 10930,                  7200,                  1835,                    -65,                139919,               -431966,                119346,                311354,                  1552,,,                   -138,                312768,,                              0,                 -8847,                    700,                -27423,                -35570,,                              0,                              0,                277198,              1071934,              1349132,              1349132,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,,,,,,,,,
8131,2013年度,,                201029,                201029,,,              2558095,                117650,                  4992,                  2206,                 14728,                 -3296,                 -4803,                -84096,,,,                              0,                 51572,                 34199,                320538,                  1248,                 -4104,                 18177,                 -9922,                411708,,                    432,                -92109,                  2012,               -136817,                   -942,,               -227100,                184608,              2696980,              2898009,                  3296,                  4803,                -16006,                -37465,              2852637,,                              0,               -189687,                111191,                -22215,                554841,,               -442222,             -2914767,                492711,                579223,              1071934,              1071934,                -93104,,                655552,,,               -177000,               -149993,,             -2145552,,              2512372,                    324,,,,,,
8131,2013年01月01日至2013年12月31日,,                201029,                201029,,,              2558095,                117650,                  4992,                  2206,                 14728,                 -3296,                 -4803,                -84096,,,,,                 51572,                 34199,                320538,                  1248,                 -4104,                 18177,                 -9922,                411708,,                    432,                -92109,                  2012,               -136817,                   -942,,               -227100,                184608,              2696980,              2898009,                  3296,                  4803,                -16006,                -37465,              2852637,,,               -189687,                111191,                -22215,                554841,,               -442222,             -2914767,                492711,                579223,              1071934,              1071934,                -93104,                              0,                655552,                              0,,               -177000,               -149993,                              0,             -2145552,,              2512372,                    324,,,,,,
8131,2013年01月01日至2013年09月30日,,                 33057,                 33057,,,              1982208,                 95799,                  1582,                  1545,                 13774,                 -2012,                 -4803,                -57147,,,,                              0,                 45993,                189231,                322602,                 -1831,                 -1364,                 94308,                 10019,                658958,,                    196,                -43631,                -20456,               -189243,                 17320,,               -235814,                423144,              2454090,              2487147,                  2012,                  4803,                -14544,                -37354,              2442064,,                              0,               -195290,                 79939,                 25216,                -90135,,               -442222,             -2109767,                242162,                579223,                821385,                821385,                              0,                              0,                              0,,                              0,               -177000,               -149993,                              0,             -1340552,,              2030946,                              0,                              0,                              0,                              0,                              0,,
