證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他投資活動,　　　　　 預付費用（增加）減少,　　 其他籌資活動,　　　　　 持有供交易之金融負債增加（減少）,　　 取得避險之衍生金融資產
2201,2015年01月01日至2015年09月30日,,              3553810,              3553810,,,              4977254,                604703,                701362,                 33006,                991839,             -4808180,                -62600,             -2028719,               -202071,                    309,               -569193,                 14361,              1488528,                  9108,                -89507,                231241,              1291441,,,             -6628964,             -2328472,             -3666342,                 90257,               -225303,               -588704,               -220206,             -2710857,               -252198,            -16530789,,                707129,                737867,                701678,               -252419,             -1916621,                -47450,                -18102,                 -7378,                -95296,            -16626085,            -15334644,            -11780834,              4776235,             -1057043,               -838124,             -8899766,,             -4678190,              4236982,                 -2316,                328278,             -1523688,                              0,                              0,                518773,                    655,                -57960,                    789,                -68615,             -8041553,              3419019,                 48676,               -746661,                  3503,              5205589,             -1356719,,              5599866,             -3137857,              9161913,               -306540,                              0,                              0,                305815,                -97889,                310122,             -2038628,                   -586,              9796216,                -29891,               -490160,             19346561,             18856401,             18856401,,,,,,,,,,,,,,,,,
2201,2015年01月01日至2015年06月30日,,              2775840,              2775840,,,              3272417,                392242,                469652,                 15903,                633662,             -3191016,                 -3117,             -1671169,               -127952,                    516,               -141200,                 14361,              1474964,                  8310,                974667,                137301,              2259541,,,             -1781054,             -1952359,             -2901874,                496465,               -398044,               -376793,                 58742,               -830648,               -371461,             -8057026,,                486956,                 99716,                868653,               -178058,             -1856145,                -25215,                 -7478,                 20564,               -591007,             -8648033,             -6388492,             -3612652,              3139843,               -663848,               -561419,             -1698076,,             -2822270,              2731623,                   -731,                322761,             -1813909,,                              0,                 29007,,                -56133,                    740,                -68615,             -5381570,              2187049,                175064,               -722811,                 63696,                138109,             -5217990,,              3479202,             -2136748,              5539201,               -169470,                              0,                              0,                300240,                -68905,,             -1145058,                   -737,              5705734,               -350990,             -1561322,             19346561,             17785239,             17785239,                -91991,,,,,,,,,,,,,,,,
2201,2015年01月01日至2015年03月31日,,              1603216,              1603216,,,              1647245,                216343,                123732,                 -2878,                302863,             -1567007,,               -771506,                -73223,                    480,               -124128,                 14361,                858562,                  4866,                686903,                 89099,              1405712,,,             -2883334,               -600217,             -1835946,                332754,              1840674,                 96677,               -140674,                -85576,               -205069,             -3480711,,                -10576,                -25030,             -1653908,                -83742,               -455964,                  2947,                  6545,                111489,             -2108239,             -5588950,             -4183238,             -2580022,              1534953,               -290466,                -94242,             -1429777,,             -1477576,              1415178,                   -747,                244337,,              1109260,                              0,                  2422,,                              0,                    721,                 54963,             -2433783,              1080673,                101523,                -20091,                 35832,,                112712,,              1922955,             -1987552,              1191837,               -141134,,,                300460,                -50121,,                 -2509,                     64,              1204958,               -232834,               -344941,             19346561,             19001620,             19001620,                -29042,,,,,,,,,,,,,,,,
2201,2014年度,,              3610800,              3610800,,,              6468667,                376196,                989953,                -32748,              1144821,             -4583610,                -57849,             -3100167,               -291927,,               -117400,                112546,              1973811,                 -7760,             -1364055,                555583,,,,                251481,             -2926459,             -8475625,               -433483,                -22112,             -1640687,               -275433,             -4739539,                 -7745,            -18269602,,               -209371,                854383,                211864,               -704934,              1799539,,                 23618,                 56627,              2136547,            -16133055,            -14066994,            -10456194,              4626705,             -1090752,               -792729,             -7712970,,             -5041724,              5199933,               -363843,                756203,,,                -54943,                162612,                138070,               -121244,                  7203,,            -10424558,              4110535,,               -265049,               -261944,              3385822,             -3122210,,              9529513,             -2142856,             10610787,             -1882954,              3000000,             -2000000,              1376515,               -733126,,             -2040625,               -153692,             16944609,                468517,              6577946,             12768615,             19346561,             19346561,              1381047,,              2066061,                104821,                              0,                729486,                              0,                              0,                 80640,               -102309,                              0,             -1057100,                              0,,,,
2201,2014年01月01日至2014年09月30日,,              3712804,              3712804,,,              4887663,                287626,                486219,                 13612,                843112,             -4041122,                -53807,             -1778460,               -234472,                              0,                -82381,                 59234,                405770,                  7734,               -443761,                449300,                806267,,,             -3936195,             -2308899,             -8340539,               -115850,                239324,             -1360701,               -315040,             -2815083,               -958928,            -19911911,,               -108415,              4037029,               -838892,               -225609,              1466861,                -28282,                  8426,                 -7502,              4303616,            -15608295,            -14802028,            -11089224,              4003159,               -830311,               -637891,             -8554267,,             -3755749,              4039454,               -288000,                535288,                              0,                 33334,                -13097,                 39565,                              0,               -120787,                              0,                              0,             -7560630,              2897536,                 44036,               -102115,               -177956,              3378983,             -1050138,,              7351233,               -805700,             10515644,               -974101,              1500000,             -1000000,                968289,               -391422,              1017269,             -1978356,                 63942,             16266798,                117272,              6779665,             12768615,             19548280,             19548280,,,,,,,,,,,,,,,,,
2201,2014年01月01日至2014年06月30日,,              1948801,              1948801,,,              3261678,                201233,                238647,                 14191,                550933,             -2175025,                 -8635,             -1076158,               -177423,                              0,                -73044,                              0,                338625,                  6048,                187877,                348917,              1637864,,,               -477583,               -972084,             -5495687,                -43542,                102337,             -1205300,               -294591,             -1930360,               -289946,            -10606756,,                -26419,              2707103,               -257011,               -171573,                246178,                -32446,                 -5319,                 -4993,              2455520,             -8151236,             -6513372,             -4564571,              2198777,               -531072,               -435318,             -3332184,,             -1524417,              1918668,               -283000,                133976,               -236102,,                 -3197,                 21988,,                -49277,                              0,                              0,             -5222865,              1977696,                 78019,                -80940,               -122261,                153043,             -3238669,,              3059605,               -359794,              6087833,               -579191,              1500000,             -1000000,                399918,                -67192,,               -109183,                              0,              9664260,                -72084,              3021323,             12768615,             15789938,             15789938,                732264,,,,,,,,,,,,,,,,
2201,2014年01月01日至2014年03月31日,,              1171585,              1171585,,,              1650585,                116331,                118361,                -30669,                251091,             -1054440,,               -584816,                -72350,                    797,                -32825,                              0,                122977,                 -1353,               -321051,                231366,                394004,,,                116636,                348650,             -2838933,                 70860,                745991,               -459481,               -951897,               -465772,                -42623,             -3476569,,                116466,              1257502,               -679447,                -97063,               -244765,                -14587,                -13365,                 44311,                369052,             -3107517,             -2713513,             -1541928,              1056342,               -253902,                -32658,               -772146,,               -901417,              1261108,                              0,                 43432,,                 43414,                 -3197,                 14083,,                -49475,                              0,                              0,             -2355717,                948433,                 74248,                -18363,               -111593,,             -1055044,,              1789232,               -135271,              3264874,               -337555,,,                  1069,                -46186,,                -11167,                              0,              4608857,                 92182,              2873849,             12768615,             15642464,             15642464,                 83861,,,,,,,,,,,,,,,,
2201,2013年度,,              3307294,              3307294,,,              6258643,                366353,                662077,               -256182,              1025719,             -3807787,                -81075,             -3207140,               -253457,,                -91961,                287224,              1002381,                -22629,             -1196014,                516271,,,,                341885,             -1781945,             -5940366,               -643983,             -1591711,             -2203528,                418515,             -2274560,                142356,            -13533337,,                 21779,              4607799,              4324699,               -335535,                577205,,                -71336,                -69233,              9078237,             -4455100,             -3252677,                 54617,              3842535,             -1007583,               -969722,              1919847,,             -5292193,              4979525,             -1491633,              1163135,,,                              0,                 60145,                              0,                -14730,                112000,,            -10897342,              3526817,,               -277188,               -342072,              2471265,            -11559260,,              5720164,             -3984376,              8867189,             -3203813,                              0,                              0,                258023,             -1451604,,             -1736939,                663831,              6406622,                343734,             -2889057,             15657672,             12768615,             12768615,              1274147,,              1202423,                 22859,             -1143743,                              0,                -10000,                 13220,                163231,               -493849,                -19146,                              0,             -4066702,,,,
2201,2013年01月01日至2013年12月31日,,              3307294,              3307294,,,              6258643,                366353,                662077,               -256182,              1025719,             -3807787,                -81075,             -3207140,               -253457,,                -91961,                287224,              1002381,                -22629,             -1196014,                516271,,,,                341885,             -1781945,             -5940366,               -643983,             -1591711,,             -1785013,             -2274560,                142356,            -13875409,,                 21779,              4607799,              4324699,               -335535,                577205,,                -71336,                -69233,              9078237,             -4797172,             -3594749,               -287455,              3842535,             -1007583,               -969722,              1577775,,             -5292193,              4979525,             -1491633,              1163135,,,                              0,                 60145,,                -14730,                112000,                              0,            -10897342,              3526817,,               -277188,,              2471265,            -11217188,,              5720164,             -3984376,              8867189,             -3203813,                              0,,                258023,             -1451604,,             -1246688,                663831,              6406622,                343734,             -2889057,             15657672,             12768615,             12768615,              1274147,,              1202423,                 22859,             -1143743,                              0,                -10000,                 13220,                163231,               -493849,                -19146,,             -4066702,               -342072,               -490251,,
2201,2013年01月01日至2013年09月30日,,              3507025,              3507025,,,              4651975,                346297,                382879,               -151298,                724372,             -2761328,                -78299,             -2738537,                 20083,,                -77242,                329693,                 42346,                  5897,               -388361,                662612,,,,               -486817,             -2113721,             -3594073,               -533818,             -1393522,               -958642,                200742,             -1500469,               -303904,            -10684224,,                -31091,              4074093,              4053889,               -635972,                 46305,,               -103960,                102139,              7485173,             -3199051,             -2227962,              1279063,              2785048,               -742391,               -909198,              2412522,,             -4099107,              3879209,             -1393862,                874686,,,                              0,                 37279,,                              0,,,             -8250297,              2482107,               -377969,               -242930,               -133992,              2463050,             -8520288,,              5230215,             -3341313,              6541305,             -2889458,                              0,                              0,                 49287,             -1430533,,             -1731135,                303767,              3320055,                267747,             -2519964,             15657672,             13137708,             13137708,                587920,,                971089,                -20230,,                274669,,                  8600,                 29738,,                 -4767,,             -4066702,,,,
