證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 短期借款減少,　　 舉借長期借款,　　 取得無活絡市場之債券投資,　　　　　 其他營業負債增加（減少）,　　 存入保證金減少,　　　　　 應付票據增加（減少）
1325,2015年01月01日至2015年09月30日,,                 87004,                 87004,,,                 54112,                     80,                     39,                 -8416,                 -1124,                     16,                   -156,                    108,                  7374,                    266,                 52299,,,                 -2321,                 71806,                  3585,                 16683,                  9248,                 99001,,                  3543,                  1613,                  1227,                -11515,                 -5132,                 93869,                146168,                233172,                  9414,                    -54,                 -8880,                233652,,               -149271,                114337,                -31718,                              0,                 10378,                -24780,                              0,                   -133,                  1124,                -80063,,                              0,                   -711,                -45149,                              0,                 -4405,                -50265,                    231,                103555,                237629,                341184,                341184,,,,,,,,,,,,,,
1325,2015年01月01日至2015年06月30日,,                 43885,                 43885,,,                 35952,                     69,                     35,                 -5976,                   -204,,                   -134,                              0,                 15418,                    177,                 45283,,,                    261,                 46724,                  3715,                    294,                  7107,                 58101,,                -10842,                    363,                  1245,                 -4807,                -14041,                 44060,                 89343,                133228,                  6705,                    -38,                 -3467,                136428,,                -98281,                 70637,,                162804,,                -19885,,                   -133,                              0,                115142,,,                   -405,,,,                   -405,                 -1007,                250158,                237629,                487787,                487787,                    -54,,,,,,,,,,,,,
1325,2015年01月01日至2015年03月31日,,                 22140,                 22140,,,                 18180,                     42,                     19,                 -2874,,,                    -84,                              0,                 10525,                     89,                 25576,,,                 10958,                 49352,                  2731,                  4723,                 -3576,                 64188,,                 -6516,                 -4743,                    993,                      9,                -10257,                 53931,                 79507,                101647,                  2984,                    -21,                   -234,                104376,,                -55281,                 52058,,                 47403,,                -13000,                              0,,,                 31180,,                  5906,                   -192,,,,                  5714,                   -605,                140665,                237629,                378294,                378294,                   -321,,,,,,,,,,,,,
1325,2014年度,,                 71248,                 71248,,,                 69935,                    161,                    111,                -13612,                   -619,                     81,                   -385,                    540,                 -8457,                    343,,,,                 23213,                -14428,                 -2193,                 13675,                 -4324,                 15943,,                -52173,                  1392,                 -4090,,                -54847,                -38904,                  9194,                 80442,                 16973,                   -100,                -14247,                 83068,,               -330000,                289704,,,                              0,                -55156,                     -2,,                    619,                 29733,,,                   -187,                -65444,                 -6497,                 -4067,                -76195,                  2337,                 38943,                198686,                237629,                237629,                              0,,                              0,                 48098,                     24,                124533,                     35,                              0,                              0,                              0,,,,
1325,2014年01月01日至2014年09月30日,,                 34968,                 34968,,,                 51960,                    120,                     82,                -10432,                   -619,                     30,                   -304,                    465,                  2534,                    256,                 44092,,,                 23903,                 49034,                  1370,                    175,                 -7242,                 67240,,                -21471,                 -1068,                 -5526,                     18,                -28047,                 39193,                 83285,                118253,                 12255,                    -85,                -13881,                116542,,               -260000,                267234,                              0,                197576,                              0,                -43047,                     -1,                              0,                    546,                162308,,                  9229,                              0,                -65444,                 -5572,                 -4067,                -65854,                    600,                213596,                198686,                412282,                412282,,,,,,,,,,,,,,
1325,2014年01月01日至2014年06月30日,,                 22141,                 22141,,,                 34969,                     80,                     56,                 -6775,                    -40,,                   -147,                    409,                  6711,                    171,                 35434,,,                 -1360,                 52064,                    -51,                 16323,                 -4401,                 62575,,                -32607,                  2475,                 -2263,                     11,                -32384,                 30191,                 65625,                 87766,                  8487,                    -43,                 -6963,                 89247,,               -176000,                180500,,                 52708,,                -34820,,                              0,                     40,                 22428,,,                              0,,,,                              0,                   -306,                111369,                198686,                310055,                310055,                              0,,,,,,,,,,,,,
1325,2014年01月01日至2014年03月31日,,                 25233,                 25233,,,                 17556,                     40,                     32,                 -3233,,,                    -63,                    301,                  1470,                     86,                 16189,,,                 12396,                 31921,                    900,                 17166,                 -6705,                 55678,,                -38183,                 -5351,                 -3705,                      6,                -47233,                  8445,                 24634,                 49867,                  5847,                    -34,                   -530,                 55150,,               -124000,                101500,,                 77649,,                -10727,                     -1,,,                 44421,,                              0,                              0,,,,                              0,                    860,                100431,                198686,                299117,                299117,                              0,,,,,,,,,,,,,
1325,2013年度,,                 88601,                 88601,,,                 71988,                    160,                    159,                 -9069,                   -562,                     21,                 -4197,                              0,                 -5292,                    333,,,,                -15879,                -25528,                   -893,                -43086,                 12209,                -73177,,                 22969,                 -1010,                  5763,,                 27550,                -45627,                 10064,                 98665,                  6932,                   -226,                -16955,                 88416,,               -341000,                403010,,,                  3737,                -34180,                              0,,                    562,                 53869,,,                              0,                -45307,                              0,                 -4078,                -67398,                  3447,                 78334,                120352,                198686,                198686,                   -863,,                  3013,                 55691,                   -172,                 21691,                              0,                     49,                -21292,                  3279,,,,
1325,2013年01月01日至2013年12月31日,,                 88601,                 88601,,,                 71988,                    160,                    159,                 -9069,                   -562,                     21,                 -4197,                              0,                 -5292,                    333,,,,                -15879,                -25528,                   -893,                -43086,                 12209,                -73177,,                 22969,                 -1010,                  5763,,                 27550,                -45627,                 10064,                 98665,                  6932,                   -226,                -16955,                 88416,,               -341000,                403010,,,                  3737,                -34180,,,                    562,                 53869,,,,                -45307,,                 -4078,                -67398,                  3447,                 78334,                120352,                198686,                198686,                   -863,,                  3013,                 55691,,                 21691,,                     49,                -21292,                  3279,                              0,                   -172,                              0,
1325,2013年01月01日至2013年09月30日,,                 62942,                 62942,,,                 53825,                    121,                    132,                 -6288,                   -562,                     12,                 -4134,                              0,                 -1054,                    249,,,,                -13071,                 -9288,                   -536,                -27181,                 11553,                -38523,,                 10080,                 -4727,                  1579,,                  6795,                -31728,                 13024,                 75966,                  4079,                   -204,                -16695,                 63146,,               -231000,                345010,,,                  3737,                -19484,                              0,,                    506,                 68784,,                              0,,                -45307,                              0,                 -4078,                -70677,                  2465,                 63718,                120352,                184070,                184070,                   -562,,                  3013,                 44752,                   -137,                              0,,                     50,                -21292,,                -30035,,,
