證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款－關係人減少,　　 其他非流動資產減少,　　 其他投資活動,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 短期借款減少,　　 其他非流動負債增加,　　　　　 預付費用（增加）減少,　　　　　 其他金融負債增加（減少）,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　 其他預付款項增加,　　 其他預付款項減少
1210,2015年01月01日至2015年09月30日,,                917451,                 -3952,                913499,,,              1052402,                 32218,                    795,                -73723,                150333,                -22817,                -96167,                 86338,                  5327,                              0,                              0,             -1689644,                  6645,                 -1778,               -550071,,,                 -4569,                 13088,                -76136,              1898327,              1664663,               -139159,                  4687,                -94781,              3266120,,                              0,               -238988,               -941496,                -92546,                              0,               -198812,             -1471842,              1794278,              1244207,              2157706,               -398296,              1759410,,                              0,                  1000,                -42435,                              0,                              0,                              0,                              0,                -11048,             -1535649,                392236,                              0,                -32020,                 23518,                111539,             -1092859,,                934340,                              0,               -246339,                 31261,                -61775,               -683500,               -148000,               -126742,               -300755,                214498,                580294,              3825014,              4405308,              4405308,,,,,,,,,,,,,,,
1210,2015年01月01日至2015年06月30日,,                434494,                 -3952,                430542,,,                693551,                 24711,                -10566,                 99657,                112498,                -11270,,                 66629,                  5767,,,               -876830,               -150845,                              0,                -46698,,,                -26236,                173821,                257535,              1786862,                903791,               -660935,                  1005,                -26176,              2409667,,                 21660,               -185652,               -789919,                510265,,               -251643,               -695289,              1714378,              1667680,              2098222,               -232865,              1865357,,,,                              0,                              0,,                              0,                              0,,             -1142769,                371380,,                -16302,                 11270,,               -787469,,                463056,                              0,               -171814,                 28004,                -63862,               -736395,               -109464,                 24626,               -565849,               -278497,                233542,              3825014,              4058556,              4058556,                              0,                              0,                -11048,                              0,,,,,,,,,,,
1210,2015年01月01日至2015年03月31日,,                183073,,                183073,,,                344614,                 11576,                -33260,                101298,                 58836,                 -3726,,                 27830,                  5091,,,               -439694,               -109575,,                -37010,,,                 -4447,                157799,                621143,                256640,                455311,               -980592,                 77620,               -195308,                388166,,                  1337,               -266068,               -452836,               -206352,,               -260077,             -1183996,               -795830,               -832840,               -649767,                -57037,               -706804,,,,                              0,,,,,,               -640834,                278421,,                 -1185,                  3726,,               -359872,,              1098482,                              0,                 -2045,                 24610,                   -572,,                -57773,                  1274,              1063976,               -118786,               -121486,              3825014,              3703528,              3703528,                              0,,,,,,,,,,,,,,
1210,2014年度,,              1491793,,              1491793,,,              1182383,                 45604,                 51095,                -52795,                232384,                -23448,,                 -4096,               -189783,,                   -276,             -1375341,,               -322944,,,,                -15309,                 49993,               -587314,                595218,              1237565,               -250772,               -543559,                 91197,                577019,,                              0,                206088,                423866,                304815,                -11658,                283751,              1206862,              1783881,                964085,              2455878,               -463724,              2455878,,                285529,,               -122330,                  7933,                -88998,                196947,                -34980,,             -2496251,                333043,                              0,               -142690,                 23448,,             -2473530,,,              3278181,             -2803885,                  7638,                -44976,               -566457,               -232452,               -175938,               -668716,                279496,               -406872,              4231886,              3825014,              3825014,                 28543,,,                              0,,               -362579,               -819796,               -130827,                              0,,,,,,
1210,2014年01月01日至2014年09月30日,,              1556824,                              0,              1556824,,,                864956,                 33132,                 26366,                              0,                180588,                -13187,                -61947,                 -1778,                  9880,                              0,                   -274,             -1067792,               -351127,               -291274,               -672457,,,                -20867,                102982,               -812402,                744612,                843788,               -945748,               -233552,               -372399,               -693586,,                    330,                 87298,                180698,                -66946,                   -726,                 19218,                219872,               -473714,             -1146171,                410653,               -406310,                  4343,,                249519,                              0,               -121611,                  7887,                -88998,                196946,                -34980,                              0,             -1744328,                 86231,                 28543,                -27061,                 13135,                 61947,             -1372770,,              2033495,              2552682,             -3264950,                  3110,                -48150,               -566547,               -178582,               -181052,                350006,                236344,               -782077,              4231886,              3449809,              3449809,,,,,,,,,,,,,,,
1210,2014年01月01日至2014年06月30日,,                946175,                              0,                946175,,,                554099,                 22999,                 15459,                -11406,                126322,                 -9358,,                  2243,                   -141,,,               -913250,               -230827,                -71318,               -515178,,,                 33105,                 13926,               -479562,                577069,                889721,             -1163156,               -143882,                242366,                -30413,,                 22859,                 45719,               -289747,                493903,,               -153275,                119459,                 89046,               -426132,                520043,               -279367,                240676,,,,               -121853,                  7627,,                196946,                -34980,,               -941601,                 61334,,                              0,                  9306,,               -811444,,                469221,              2412398,             -1675388,                              0,                -50589,               -566546,               -127237,                -76768,                384644,                -32148,               -218272,              4231886,              4013614,              4013614,                  6144,                  5633,                              0,                   -447,,,,,,,,,,,
1210,2014年01月01日至2014年03月31日,,                473345,,                473345,,,                368409,                  9975,                 14506,                -28756,                 61041,                 -4231,,                 -1473,                    127,,,               -418549,                -70609,,                -69560,,,                 34694,                 61675,                304607,                685755,                470185,             -1134408,                -55853,                171787,                538442,,                    160,                156088,               -687973,               -159842,,                -86604,               -778171,               -239729,               -309289,                164056,                -83512,                 80544,,,,                 50888,,,,,,               -524132,                 27832,,                -27855,                  4231,,               -463345,,                 37669,              1313826,             -1192925,                  1885,                -13172,,                -61449,                -11090,                 74744,                102298,               -205759,              4231886,              4026127,              4026127,                  5691,,,,,,,,,,,,,,
1210,2013年度,,              2593338,,              2593338,,,              1212858,                 49620,                -72328,                -35095,                202858,                -30433,,                -52462,                122054,,                              0,             -1617099,,                              0,,,,                 -5172,                319859,                110640,                 98070,              1496942,               -166976,                 -5035,               -627556,              1220772,,                -20988,                187298,                332364,                -40502,                -44560,                500873,                914485,              2135257,              1902824,              4496162,               -193969,              4496162,,                              0,,             -1333415,                              0,                              0,                              0,                              0,,             -2172824,                151470,                 -6763,                -67229,                 30433,,             -3592297,,,              2229151,             -1223766,                              0,                              0,               -630923,               -205707,               -134752,               -995301,                443998,                352562,              3879324,              4231886,              4231886,                              0,,,                 -4291,,                -12406,               -232433,             -1025728,                    715,,,,,,
1210,2013年01月01日至2013年12月31日,,              2593338,,              2593338,,,              1212858,                 49620,                -72328,                -35095,                202858,                -30433,,                -52462,                122054,,,                -12406,             -1617099,                              0,,,,                 -5172,                319859,                110640,                 98070,              1496942,               -166976,                 -5035,               -627556,              1220772,,                -20988,                187298,                332364,                -40502,                -44560,                500873,                914485,              2135257,              1902824,              4496162,               -193969,              4496162,,,,             -1333415,,,,,,             -2172824,                151470,                 -6763,                -67229,                 30433,,             -3592297,,             -1025728,              2229151,             -1223766,                 -4291,                              0,               -630923,               -205707,               -134752,               -995301,                443998,                352562,              3879324,              4231886,              4231886,,,,,,,               -232433,,                    715,,,,,,
1210,2013年01月01日至2013年09月30日,,                833167,,                833167,,,                868750,                 35841,                -47984,                -75816,                149125,                -40316,,                -34758,                  5802,,                 -4440,                 74197,             -1147478,                              0,,,,                 -2862,                364200,               -417143,              1354685,              1074759,             -1875270,                 27345,               -797613,               -271899,,                 75597,                175826,                838648,                 80773,                   -164,                315345,              1486025,              1214126,                997049,              1830216,               -162676,              1667540,,                              0,,                -11565,                112460,                              0,                              0,                              0,,             -1694579,                616867,                 -7790,                              0,                 20956,,               -904738,,                              0,              2123282,                -50806,                              0,                              0,                              0,               -151084,               -134042,               -222438,               -317951,                222413,              3879324,              4101737,              4101737,                              0,                 58913,,                 -3918,,,               -217077,             -2041710,                 35840,,,,,,
