證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 長期應收租賃款減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　　　 其他營業資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 非控制權益變動,　　 其他籌資活動,　　 其他非流動資產減少,　　 預付設備款增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2453,2015年01月01日至2015年09月30日,,                 52193,                 52193,,,                 63682,                    939,                      4,                  3085,                 -3815,                    -73,                  4844,                    784,                 -1406,                    563,                  8718,                 77325,,,                  6452,                474883,                     -9,                 24217,                -20819,                 -3863,                480861,,                  9811,               -385751,               -140636,                -18613,                  2343,                    746,               -532100,                -51239,                 26086,                 78279,                  3892,                     73,                 -3096,                -16507,                 62641,,             -1036800,              1103775,                  4067,                -45848,                    214,                 -1032,                -11823,                     43,                      1,                 12597,,                -20434,                    -87,                   -931,                -60000,                -81452,                   -162,                 -6376,                437254,                430878,                430878,,,,,,,,,,,,,,,
2453,2015年01月01日至2015年06月30日,,                 25549,                 25549,,,                 43259,                    630,                     19,                  2062,                 -2843,,                  4696,                    781,                   -784,                    563,                 -2321,                 46062,,,                  8233,                694568,                  5264,                 17409,                 21918,                 -4278,                743114,,                    884,               -482441,               -167750,                -21237,                  1880,                    178,               -668486,                 74628,                120690,                146239,                  2916,,                 -2073,                 -5673,                141409,,               -839300,                766141,                  6303,                -28646,                    214,,                 -4908,,                      1,                -97455,,                -25441,                    -17,                   -943,,                -26401,                 -4230,                 13323,                437254,                450577,                450577,                  2740,,,,,,,,,,,,,,
2453,2015年01月01日至2015年03月31日,,                  9581,                  9581,,,                 21765,                    291,                     35,                  1135,                 -1475,,                  4122,                    888,                   -434,                   -806,                   -746,                 24775,,,                  4747,                606691,                  5390,                 12038,                 43106,                 -4895,                667102,,                    217,               -421978,               -148907,                -15111,                  1563,                    675,               -583541,                 83561,                108336,                117917,                  1529,,                 -1146,                   -579,                117721,,               -708000,                507007,                 32226,                -23382,                              0,                  7379,                 -1308,,                              0,               -186078,,                -39516,                    102,                    -21,,                -39435,                 -1980,               -109772,                437254,                327482,                327482,,                     25,,,,,,,,,,,,,
2453,2014年度,,                116278,                116278,,,                 77455,                  1193,                   -338,                  2993,                 -6190,                    -52,                  5957,                  1728,                 -1779,                  4412,                  5071,,,,                 18825,                 39745,                 -3024,                -79838,                 31190,                  1200,                  8215,,                 -4027,                 67880,                 27745,                -93664,                  1187,,                 -1512,                  6703,                 97113,                213391,                  6159,                     52,                 -2982,                -30031,                186589,,             -1375500,              1316563,,                -63049,                    281,                 -8172,                   -119,,                    484,               -117109,,                 79091,                 -3750,                    352,                -60000,                 15693,                 10720,                 95893,                341361,                437254,                437254,,                    117,,                    -40,                              0,                 90410,                   -633,                 12363,                     40,                              0,                              0,                              0,,,
2453,2014年01月01日至2014年09月30日,,                 95097,                 95097,,,                 58084,                    940,                   -331,                  1710,                 -3780,                    -52,                  2165,                    330,                 -1320,                  5368,                  1378,                 64492,,,                 26337,                474183,                  1355,                 71554,                 29731,                   -527,                602633,,                 -4328,               -378431,                -96230,                -95539,                  1489,                    379,               -572660,                 29973,                 94465,                189562,                  3851,                     52,                 -1710,                -31850,                159905,,             -1269500,              1090166,                 13710,                -37064,                    278,                 -6242,                   -119,                     73,                   -980,               -209678,,                 95282,                 -2196,                    289,                -60000,                 33375,                  1723,                -14675,                341361,                326686,                326686,,,,,,,,,,,,,,,
2453,2014年01月01日至2014年06月30日,,                 78178,                 78178,,,                 39022,                    629,                    -73,                    714,                 -3486,,                  2810,                   -147,                   -995,                  1577,                 -1594,                 38457,,,                 24113,                306722,                  2376,                -10025,                 35913,                   -557,                358542,,                 -3878,               -201812,               -102226,               -106611,                    996,                    945,               -412586,                -54044,                -15587,                 62591,                  3547,,                   -714,                -19272,                 46152,,             -1008000,                863788,                   -456,                -24555,                    278,,                     -6,,                   -652,               -170991,,                 49039,                 -2382,                    263,,                 46920,                    639,                -77280,                341361,                264081,                264081,                 -1388,,,,,,,,,,,,,,
2453,2014年01月01日至2014年03月31日,,                 10692,                 10692,,,                 19792,                    316,                   -207,                    343,                 -1506,,                  1715,                   -189,                   -404,                 -1132,                  3258,                 21986,,,                 10779,                901436,                  2560,                -32147,                  6556,                 -2156,                887077,,                 -4170,               -331803,               -128328,               -112938,                  4936,                    565,               -571738,                315339,                337325,                348017,                  1557,,                   -343,                 -1327,                347904,,               -894500,                546181,                 14270,                -15423,                    266,                  3424,                     -6,,                 -3232,               -349020,,                -18914,                 -2139,                   -161,,                -21214,                  1573,                -20757,                341361,                320604,                320604,,                     49,,,,,,,,,,,,,
2453,2013年度,,                113217,                113217,,,                 83756,                  1228,                   -497,                  4482,                 -3682,                    -51,                  3932,                  9921,                 -1473,                 23183,                  5844,,,,                -11965,               -125242,                 -3152,                 99853,                 26665,                  6780,                 -6799,,                  3687,                 40334,                113970,                 36726,                -23631,,                170508,                163709,                291558,                404775,                  3678,                     51,                 -4487,                 -5213,                398804,,             -1201800,              1132447,,               -142361,                    312,                  8469,                   -212,,                  3168,               -281875,,               -126593,                 -2271,                 -2095,                -50000,               -177979,                  3941,                -57109,                398470,                341361,                341361,,                    262,,                              0,                  1206,                127849,                   -578,                -16898,                              0,                -65000,                  2980,                              0,,,
2453,2013年01月01日至2013年12月31日,,                113217,                113217,,,                 83756,                  1228,                   -497,                  4482,                 -3682,                    -51,                  3932,                  9921,                 -1473,                 23183,                  5844,,,,                -11965,               -125242,                 -3152,                 99853,                 26665,                  6780,                 -6799,,                  3687,                 40334,                113970,                 36726,                -23631,,                170508,                163709,                291558,                404775,                  3678,                     51,                 -4487,                 -5213,                398804,,             -1201800,              1132447,,               -142361,                    312,                  8469,                   -212,,                  3168,               -281875,,               -126593,                 -2271,                 -2095,                -50000,               -177979,                  3941,                -57109,                398470,                341361,                341361,,                    262,,,                  1206,                127849,                   -578,                -16898,,                -65000,                  2980,                              0,,,
2453,2013年01月01日至2013年09月30日,,                 91121,                 91121,,,                 59417,                    919,                     78,                  1557,                 -1975,                    -51,                  2804,                  1542,                 -1168,                  7896,                  3496,,,,                  7559,                448588,                 -2967,                 41110,                 72447,                -30888,                535849,,                  6947,               -344817,                  1632,                -33253,                -22042,,               -391738,                144111,                218626,                309747,                  1975,                     51,                 -1557,                -12545,                297671,,             -1085800,                866143,,                -61594,                     26,                 15167,                   -203,                    210,                              0,               -353976,,                -29031,                   -306,                  3272,                -50000,                -76065,                  3545,               -128825,                398470,                269645,                269645,,,,,,                 74515,                   -205,                  3501,,                -65000,                              0,,                 11346,                -37772,
2453,2013年01月01日至2013年06月30日,,                 71103,                 71103,,,                 39438,                    608,                    345,                    784,                 -1367,,                 -1596,                  1022,                 -1021,                  4375,                  5813,,,,                 13762,                109937,                  3181,                 38860,                 26871,                -17804,                174807,,                  8220,               -233004,                 12477,                 -1551,                 -9154,,               -223283,                -48476,                    -75,                 71028,                  1367,,                 -1592,                 -9920,                 60883,,               -762800,                695511,,                -45557,                              0,,                   -161,,                -29905,               -183713,,                -24392,                   -675,                  6454,,                -18613,                  1941,               -139502,                398470,                258968,                258968,                 15938,,,,,                 48401,                   -271,                  8261,,                -65000,,,,,
2453,2013年01月01日至2013年03月31日,,                 13538,                 13538,,,                 19757,                    301,                   -348,                    220,                   -833,,                 -2357,                    942,                   -149,                    178,                -14441,,,,                  5512,                676427,                  3096,                 32349,                 32147,                -20306,                729337,,                    905,               -358895,                -18257,                -32361,                 16226,,               -392019,                337318,                340588,                354126,                    844,,                   -220,                 -4110,                350640,,               -456000,                145851,,                -18967,                              0,                 23547,                   -104,,                  2053,               -352194,,               -133039,                  1728,                  1330,,               -129981,                 19032,               -112503,                398470,                285967,                285967,,                    112,,,,                  3270,                    363,                 16426,,                -65000,,,,,
2453,2012年01月01日至2012年12月31日,,                 97054,                 97054,,,                 77841,                  1147,                  1183,                  4621,                 -4012,                    -47,                 -2105,                 11340,                   -763,                  7743,                 -6640,,,,                -10997,               -137846,                  9711,                -62503,                -36099,                  5715,               -230963,,                -12487,                164173,                -45274,                 44406,                 13507,,                165687,                -65276,                 25032,                122086,                  4025,                  1027,                 -4616,                -15925,                106597,,               -809700,                909062,,                -74830,                    433,                 -1754,                   -282,,                  2542,                -23237,,                 71011,                  8924,                  3190,                -50000,                 32883,                 -5759,                110484,                287986,                398470,                398470,,                  1056,,,                              0,                 90308,                  1362,                -48708,,                              0,                              0,                   -242,,,
2453,2012年01月01日至2012年09月30日,,                 81655,                 81655,,,                 58309,                    641,                     10,                  3005,                 -2469,                    -47,                   -153,                  3644,                   -663,                  6459,                 -3412,,,,                  5271,                155415,                 17499,                 -6602,                 15429,                -19180,                167832,,                -13044,               -192727,                -62057,,                180221,,                -86473,                 81359,                146677,                228332,                  2469,                  1026,                 -3005,                -11331,                217491,,               -712500,                713924,,                -40064,                    433,                  4574,                   -185,                    635,                -10139,                -83629,,                -84160,                  1051,                              0,                -50000,               -133463,                 -5584,                 -5185,                287986,                282801,                282801,,,,,,                 65318,                  1134,                -40307,,                              0,                   -354,,                              0,                              0,                     -6
2453,2012年01月01日至2012年06月30日,,                 64628,                 64628,,,                 38491,                    420,                  2483,                  2351,,                    979,                   -459,                  3492,                   -524,                  3959,                   -133,,,,                  3980,               -200812,                  8910,                 56151,                 25953,                 -7602,               -113420,,                -12990,               -186564,                -42168,,                 17488,,               -224624,               -338044,               -286985,               -222357,,,                 -2661,                 -6788,               -231806,,               -306000,                400031,,                -19064,                    305,,                              0,                    -35,                -69594,                   -143,,                142313,                    648,                      1,,                142531,                 -2290,                -91708,                287986,                196278,                196278,                   -419,,,,,                 51059,                   -390,                 -5367,,                              0,                   -431,,,,
2453,2012年01月01日至2012年03月31日,,                 18219,                 18219,,,                 17816,                    211,                    -90,                  1462,,,                     97,                  5138,                   -252,                  2954,                   -602,,,,                  2444,                338270,                 11317,               -126853,                 48694,                -47956,                225916,,                -11090,               -161713,                -93866,,                 -3462,,               -270323,                -44407,                -17673,                    546,,,                 -2452,                 -5556,                 -7462,,               -258998,                196220,,                 -7166,,,                              0,                   -141,                   -894,                -62059,,                 -5451,                    409,                              0,,                 -5280,                 -3268,                -78069,                287986,                209917,                209917,                  1070,,,,,                 26734,                   -192,                  7850,,                              0,                   -238,,,,
