證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 現金增資,　　 員工執行認股權,　　 庫藏股票買回成本,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金減少,　　 短期借款增加,　　 存出保證金減少,　　 取得無形資產
4142,2015年01月01日至2015年09月30日,,               -445090,               -445090,,,                184285,                 48059,                              0,                 18974,                 -2179,                              0,                              0,                249139,,,                 -5629,                106221,               -251983,                 12085,                -21470,                 -8020,               -168796,,                              0,                -31591,                -19095,                    220,                   -314,                -50780,               -219576,                 29563,               -415527,                  2218,                -18971,                    922,               -431358,,                              0,                 -4075,                              0,                 -7778,                -11853,,                200000,              1300000,             -1258090,                              0,                  2665,                -44150,                              0,                200425,               -242786,              1009178,                766392,                766392,,,,,,,,,
4142,2015年01月01日至2015年06月30日,,               -248091,               -248091,,,                123417,                 36038,                              0,                 12477,                 -1834,                              0,                              0,                170098,,,                  4181,                175680,               -293433,                -12685,                 -5482,,               -135545,,                              0,                 -1214,                -16593,                    351,                   -232,                -17688,               -153233,                 16865,               -231226,                  1843,                -12506,                    922,               -240967,,                              0,                 -2422,                              0,                 -7576,                 -9998,,                100000,              1300000,             -1258090,,                  2665,                 -9619,                              0,                134956,               -116009,              1009178,                893169,                893169,                 -3806,                              0,,,,,,,
4142,2015年01月01日至2015年03月31日,,               -154225,               -154225,,,                 61834,                 12657,                              0,                  5983,                   -673,                              0,                              0,                 79801,,,                  3833,                170565,                -92290,                 -9138,                 -4335,,                 68010,,                              0,                  7016,                 -8338,                 -1857,                   -148,                 -3327,                 64683,                144484,                 -9741,                    664,                 -6078,                    922,                -14233,,                              0,                 -2037,                              0,                  9153,                  7116,,                              0,                              0,                -38910,                              0,                  2665,                 -9619,                              0,                -45864,                -52981,              1009178,                956197,                956197,                   -625,                              0,,,,,,,
4142,2014年度,,               -659054,               -659054,,,                247979,                 51453,                              0,                 40637,                 -2206,                 26296,                    -55,,,,                 -5185,                -30724,                -66744,                -17044,                   -843,,               -134563,,                              0,                 22046,                -10443,                   -461,,                 10883,               -123680,                240424,               -418630,                  2291,                -41212,                 40197,               -417354,,                 -5000,                -20398,                    333,                  3428,                -21637,,               -200000,                625000,             -1287829,              1510000,                 49642,                -49691,                294000,                941122,                502131,                507047,              1009178,              1009178,                -14023,                              0,,                364104,                   -259,                              0,,,
4142,2014年01月01日至2014年09月30日,,               -427744,               -427744,,,                186153,                 38590,                              0,                 33740,                   -916,                 26296,                              0,                283863,,,                 -4784,                107319,               -209054,                 -2450,                 -9671,                -14430,               -133070,,                              0,                  3068,                -12577,                 15231,                   -198,                  5524,               -127546,                156317,               -271427,                  1008,                -34043,                 40197,               -264265,,                 -5000,                -12156,                              0,                    852,                -16304,,               -200000,                625000,               -694079,              1510000,                 49642,                              0,                294000,              1584563,              1303994,                507047,              1811041,              1811041,,,,,,,,,
4142,2014年01月01日至2014年06月30日,,               -215206,               -215206,,,                124182,                 25727,                              0,                 22508,                   -787,                 14802,                              0,                186432,,,                     16,                -71403,               -178624,                -20107,                 -8710,,               -289010,,                              0,                 29472,                 -3825,                 13245,                   -134,                 38758,               -250252,                -63820,               -279026,                    958,                -22485,                 32863,               -267690,,                 -5000,                 -8687,                              0,                  4114,                 -9573,,                200000,                682890,               -681809,,                 18174,                              0,                294000,                513255,                235992,                507047,                743039,                743039,                -10182,                              0,,,,,,,
4142,2014年01月01日至2014年03月31日,,               -152158,               -152158,,,                 62541,                 12866,                              0,                 11035,                   -310,                  8589,                              0,                 94721,,,                   -522,                 10728,               -117167,                -13917,                    498,,               -123797,,                              0,                 17084,                  3396,                -13724,                    -67,                  6689,               -117108,                -22387,               -174545,                   -452,                -10951,                    -46,               -185994,,                 -5000,                 -6391,                              0,                  3767,                 -7624,,                100000,                682890,               -643216,                              0,                    205,                              0,                294000,                433879,                240261,                507047,                747308,                747308,                 -3417,                              0,,,,,,,
4142,2013年度,,               -664799,               -664799,,,                243624,                 51465,                 16738,                 43372,                 -5515,                 75522,                     -2,,,,                 -5746,               -126325,               -137422,                 48181,                 -4034,,               -254477,,                 -3234,                 -3217,                 17666,                  3837,,                 14650,               -239827,                185377,               -479422,                  5460,                -43402,                              0,               -517364,,                 -5000,                -63464,                      2,                    324,                -49501,,                              0,                              0,                -19298,                              0,                    492,                              0,                              0,                -22368,               -589233,              1096280,                507047,                507047,                -29131,                 18637,,                425204,                   -402,                 -3562,,,
4142,2013年01月01日至2013年09月30日,,               -417531,               -417531,,,                182649,                 38596,                              0,                 32206,                 -4613,                 19218,                              0,,,,                 -5875,                 -9021,               -248408,                 56280,                 -9972,,               -216996,,                 -3234,                 29979,                 22228,                 -5969,,                 42700,               -174296,                 93760,               -323771,                  4876,                -32474,                   -488,               -351857,,                 -5000,                -56797,                              0,                    169,                -69391,,                              0,                              0,                              0,                              0,                    164,,,                 -3397,               -424645,              1096280,                671635,                671635,                              0,                 -7763,,                268056,                   -304,                 -3561,                              0,,
4142,2013年01月01日至2013年06月30日,,               -309248,               -309248,,,                121921,                 25730,                              0,                 21346,                 -3529,                 15463,                              0,,,,                 -1151,               -122243,               -157665,                 20226,                 -2758,,               -263591,,                 -3234,                 47205,                 16869,                 -5377,,                 55260,               -208331,                -27400,               -336648,                  3695,                -21472,                   -369,               -354794,,                              0,                -50546,                              0,,                -49568,,,                              0,                              0,                              0,                     41,,,                 46480,               -357882,              1096280,                738398,                738398,                              0,                 -7763,,                180931,                   -203,                 -3561,                 50000,                  8741,                              0
