證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 存出保證金減少,　　 短期借款增加,　　　　 處分投資性不動產損失（利益）,　　 其他非流動資產減少,　　　　 其他項目
4426,2015年01月01日至2015年09月30日,,                538980,                538980,,,                 92949,                  1473,                   -184,                  7469,                    -76,                  1761,                   -695,                              0,                102697,,,                  6004,               -128058,                -54863,                 -2002,                -41074,                -76950,               -296943,,                  9761,                  5206,                 47786,                  2483,                   -376,                 64860,               -232083,               -129386,                409594,                     76,                 -7467,                -66063,                336140,,               -189802,                    695,                 -5319,                              0,               -202437,               -396863,,                -22500,                100000,                -79315,                -45969,                -47784,                    353,               -108154,                329048,                220894,                220894,                              0,,,,,,,,,,
4426,2015年01月01日至2015年06月30日,,                332937,                332937,,,                 60680,                  1006,                  3766,                  4915,                    -74,                  1227,                              0,                              0,                 71520,,,                   -829,                -65102,                -30849,                 -6666,                -30304,                -76950,               -210700,,                 12325,                  3498,                 61687,                  1370,                   -257,                 78623,               -132077,                -60557,                272380,                     74,                 -4890,                -41311,                226253,,                -23769,                              0,                 -5547,                              0,               -220090,               -249406,,                -15000,                100000,                -51842,,                 33158,                   -229,                  9776,                329048,                338824,                338824,                              0,,,,,,,,,,
4426,2015年01月01日至2015年03月31日,,                160861,                160861,,,                 30374,                    516,                    377,                  2477,                     -2,                    712,,,                 34454,,,                 -2396,                -69914,                 -6206,                 -2946,                 -3975,                -10037,                -95474,,                  4880,                 -3383,                 26731,                  1129,                   -128,                 29229,                -66245,                -31791,                129070,                      2,                 -2496,,                126576,,                 -9539,,                 -1657,,               -108665,               -119861,,                 -7500,,                -25641,,                -33141,                   -102,                -26528,                329048,                302520,                302520,,,,,,,,,,,
4426,2014年度,,                320362,                320362,,,                110998,                  2011,                 -3769,                  9220,                   -110,                  2532,                     -1,                    242,,,,                 -5578,                -41520,                 32412,                 -6344,                   -432,,                -21462,,                 38830,                 16165,                 10650,                    495,,                 65771,                 44309,                165420,                485782,                    110,                 -9148,                -38271,                438485,,                -66502,                      1,,                   -828,               -119992,               -187245,,,                135000,               -103005,                -30535,                  8960,                    534,                260734,                 68314,                329048,                329048,,,                    -12,                121111,                   -369,                     12,                     76,                  7500,,,
4426,2014年01月01日至2014年09月30日,,                187572,                187572,,,                 81802,                  1489,                  3720,                  6686,                    -46,                  1486,                     -1,                    242,                 95378,,,                 -3612,                -39097,                 43187,                 -3993,                 -1073,                              0,                 -4588,,                  2304,                  2803,                -10678,                  1692,                   -280,                 -4159,                 -8747,                 86631,                274203,                     46,                 -6629,                -36182,                231438,,                -37779,                      1,                 -1566,                   -829,                -92560,               -132733,,                -20000,                135000,                -77386,                -30535,                  7079,                    -93,                105691,                 68314,                174005,                174005,                              0,,,,,,,,,,
4426,2014年01月01日至2014年06月30日,,                 96928,                 96928,,,                 53597,                    969,                 11253,                  4452,                    -45,                    941,                     -1,                    242,                 71408,,,                -18882,                 45531,                 23961,                 -5926,                   -158,                              0,                 44526,,                  5719,                  7997,                   -288,                    498,                   -194,                 13732,                 58258,                129666,                226594,                     45,                 -4480,                -20796,                201363,,                -22107,                      1,                 -1580,                   -828,                -97296,               -121810,,                -15000,                              0,                -55364,,                -70364,                    -10,                  9179,                 68314,                 77493,                 77493,                              0,,,,,,,,,,
4426,2014年01月01日至2014年03月31日,,                 59639,                 59639,,,                 25800,                    478,                  6096,                  2325,                     -2,                    392,,,                 35089,,,                 -7773,                -18446,                 30613,                              0,                 -2984,                              0,                  1410,,                  3633,                   -591,                    625,                    222,                   -108,                  3781,                  5191,                 40280,                 99919,                      2,                 -2342,,                 97579,,                 -8729,,                 -1271,,                -27488,                -37488,,                 -7500,,                -35160,,                -42660,                    178,                 17609,                 68314,                 85923,                 85923,,,,,,,,,,,
4426,2013年度,,                234063,                234063,,,                 86812,                  1918,                  1727,                  9785,                    -52,                  1002,                     20,                              0,,,,                  4295,                -48170,                -23350,                              0,                    403,,                -66822,,                 -8301,                  3356,                  8612,                   -985,,                  2220,                -64602,                 36603,                270666,                     52,                 -9752,                -45816,                215157,,                -78753,                              0,,                 -1200,               -103125,               -182662,,,                225000,               -252686,                -23047,                -45733,                    220,                -13018,                 81332,                 68314,                 68314,,,                     -7,                101205,                   -462,                      7,                    416,                  5000,,,
4426,2013年01月01日至2013年12月31日,,                234063,                234063,,,                 86812,                  1918,                  1727,                  9785,                    -52,                  1002,                     20,,,,,                  4295,                -48170,                -23350,,                    403,,                -66822,,                 -8301,                  3356,                  8612,                   -985,,                  2220,                -64602,                 36603,                270666,                     52,                 -9752,                -45816,                215157,,                -78753,,                              0,                 -1200,               -103125,               -182662,,                              0,                225000,               -252686,                -23047,                -45733,                    220,                -13018,                 81332,                 68314,                 68314,,,                     -7,                101205,                   -462,                      7,                    416,                  5000,,,
4426,2013年01月01日至2013年09月30日,,                159806,                159806,,,                 63434,                  1437,                  4158,                  7205,                    -29,                  1313,,                              0,,,,                  5357,                -38251,                -48793,                 -2953,                   -270,,                -84910,,                  4986,                 -1082,                  3584,                    679,,                  7815,                -77095,                    444,                160250,                     29,                 -7153,                -44817,                108309,,                -59878,                              0,                   -804,                 -1200,,               -162153,,                              0,                220000,               -197359,                              0,                 35141,                    154,                -18549,                 81332,                 62783,                 62783,,,,                 77539,                   -352,,,                 12500,                     21,               -100271,
4426,2013年01月01日至2013年06月30日,,                113888,                113888,,,                 40447,                    934,                  1868,                  4718,                    -29,                              0,                     17,                              0,,,,                  6675,                 18070,                -54892,                 -3844,                    -10,,                -34001,,                 11058,                 -1570,                 22028,                    417,,                 31692,                 -2309,                 45646,                159534,                     29,                 -4717,                -27372,                127474,,                -40409,                              0,                   -798,                   -840,                -72721,               -114768,,                -15000,                 30000,                -38694,,                -23694,                    277,                -10711,                 81332,                 70621,                 70621,                              0,,,                 47955,                   -241,,,,,,
4426,2013年01月01日至2013年03月31日,,                 60419,                 60419,,,                 20040,                    476,                  2607,                  2354,                     -2,                              0,,,,,,                  9300,                -31504,                -37171,,                -13678,,                -73053,,                 11920,                  6126,                 17885,                   -285,,                 35532,                -37521,                 -3363,                 57056,                      2,                 -2372,,                 54686,,                -27628,,                    -91,,                -42000,                -69719,,                 -7500,,                -19743,,                -27243,                    226,                -42050,                 81332,                 39282,                 39282,                              0,,,                 34158,                   -114,,,,,,                  8683
4426,2012年01月01日至2012年12月31日,,                170798,                170798,,,                 60572,                  1458,                              0,                  9594,                    -52,                              0,                              0,,,,,                 -1520,                -40294,                -15937,,                  3902,,                -53849,,                -10289,                 -2362,                 21295,                 -4842,,                  3314,                -50535,                 21019,                191817,                     52,                 -9563,                -13915,                168409,,                -87133,,                   -722,                 -6757,               -220556,               -315168,,                -20000,                317000,                -82125,                -11059,                203816,                   -201,                 56856,                 24476,                 81332,                 81332,,,                    -18,                 71554,                   -488,                     18,                              0,                              0,,,
4426,2012年01月01日至2012年09月30日,,                133039,                133039,,,                 41193,                    974,                              0,                  7005,                    -23,                              0,                              0,,,,,                 -2289,                -60280,                -36504,                 -8774,                   -120,,               -107967,,                 -1322,                 -2107,                 12927,                 -4338,,                  4798,               -103169,                -54020,                 79019,                     23,                 -6926,                -14872,                 57244,,                -64143,,                 -4101,                 -5652,               -190805,               -264701,,,                180000,                -66995,,                255505,                    -52,                 47996,                 24476,                 72472,                 72472,,,,                 49149,                   -362,,,                142500,,,
4426,2012年01月01日至2012年06月30日,,                 76568,                 76568,,,                 23746,                    553,                              0,                  4154,                    -21,,                              0,,,,,                 10116,                -34020,                -44748,                 -5207,                   -105,,                -73964,,                  8721,                 -1265,                  5221,                 -4818,,                  7617,                -66347,                -37915,                 38653,                     21,                 -3856,                -16583,                 18235,,                -30871,,                 -4032,                 -5652,               -173252,               -213807,,                              0,                 10000,                -13150,,                299850,                      2,                104280,                 24476,                128756,                128756,,,,                 28432,                   -242,,,                303000,,,
4426,2012年01月01日至2012年03月31日,,                 22693,                 22693,,,                 10034,                    204,                              0,                  1679,                     -1,,,,,,,                  2614,                -41654,                -25532,,               -129695,,               -194267,,                  4993,                    884,                 41928,                  8068,,                 55755,               -138512,               -124334,               -101641,                      1,                 -1511,                   -998,               -104149,,                -17001,,                 -1696,                   -214,,                -18911,,                              0,                 33000,                 -6319,,                131681,                    -54,                  8567,                 24476,                 33043,                 33043,,,,                 14178,                   -118,,,                105000,,,                  2262
