證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　 預付投資款增加,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分採用權益法之投資,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 其他投資活動,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）
6112,2015年01月01日至2015年09月30日,,                225303,                225303,,,                 14953,                  6074,                 -6600,                 12484,                   -254,                 -6520,                    -33,                   -550,                 19554,,,                  4224,               -131545,                149408,                 35170,                -13114,                 44143,,               -124126,                 -7210,               -311255,                     89,                    683,               -441819,               -397676,               -378122,               -152819,                    254,                  6520,                -12271,                -53480,               -211796,,                              0,                  9677,                 -1675,                    550,                   -400,                  8152,,                236500,                    -87,               -183441,                 39838,                 92810,               -110834,                356616,                245782,                245782,,,,,,,,,,,
6112,2015年01月01日至2015年06月30日,,                152435,                152435,,,                  9914,                  3976,                   -800,                  8246,                   -206,                 -4158,                    -69,                   -550,                 16353,,,                 -9855,                -87732,                 90169,                 77542,                -13114,                 57010,,               -121140,                -21152,               -405721,                     60,                    457,               -546782,               -489772,               -473419,               -320984,                    206,                  4158,                 -8310,                -29310,               -354240,,                              0,                              0,                 -1118,                    550,                  2004,                  1436,,                190160,                    -87,,,                190073,               -162731,                356616,                193885,                193885,                    714,,,,,,,,,,
6112,2015年01月01日至2015年03月31日,,                 69633,                 69633,,,                  5027,                  1997,,                  4116,                    -39,,                      7,,                 11108,,,                -51047,                269465,                -59181,                 48193,,                207430,,               -120517,                -39430,               -165944,                     10,                    234,               -323059,               -115629,               -104521,                -34888,                     39,,                 -4014,                    -22,                -38885,,,,                   -740,                              0,                              0,                    531,,                 17827,,,,                 17827,                -20527,                356616,                336089,                336089,                  2588,                              0,                  1271,,,,,,,,
6112,2014年度,,                283413,                283413,,,                 18025,                  4843,                  3671,                 16670,                   -324,                 -2836,                   -468,                   -576,,,,                    150,                 64221,               -495119,                127341,,               -303407,,               -148523,                  1667,                575595,                     30,                   -134,                428635,                125228,                164233,                447646,                    325,                  2836,                -16541,                -39653,                394613,,                 -5004,                 11502,                -15449,                    586,                -11992,                -20357,,                 11500,,               -166764,                 -2716,               -157980,                216276,                140340,                356616,                356616,                              0,,,,                              0,                 39005,                              0,,,,
6112,2014年01月01日至2014年09月30日,,                216991,                216991,,,                 12917,                  3233,                  1700,                 12550,                   -188,                 -2836,                   -282,                   -576,                 26518,,,                  8263,                -83050,               -390087,                143943,                              0,               -320931,,               -543628,                 -1267,                649600,                     74,                    646,                105425,               -215506,               -188988,                 28003,                    189,                  2836,                -12511,                -39641,                -21124,,                 -5004,                  4502,                -10909,                    586,                 -2979,                -13804,,                271758,                              0,               -166764,                 -2716,                102278,                 67350,                140340,                207690,                207690,,,,,,,,,,,
6112,2014年01月01日至2014年06月30日,,                144253,                144253,,,                  8211,                  1891,                  1700,                  8204,                   -164,                 -1133,                   -277,                              0,                 18432,,,                 14123,                -23648,               -618594,                123542,                              0,               -504577,,                246405,                 -8294,                -14514,                    126,                    408,                228471,               -276106,               -257674,               -113421,                    164,                  1133,                 -8133,                -20064,               -140321,,                 -5004,                  4502,                 -7232,                     10,                   -142,                 -7866,,                174316,                              0,,,                174316,                 26129,                140340,                166469,                166469,                  4340,,,,,,,,,,
6112,2014年01月01日至2014年03月31日,,                 66055,                 66055,,,                  3854,                    796,,                  4036,                    -35,,                    -68,,                  8583,,,                -11701,                343367,               -230096,                 90352,,                191922,,               -242756,                -28004,               -123218,                     16,                    197,               -393765,               -201843,               -193260,               -127205,                     35,,                 -3853,                     -2,               -131025,,,,                   -878,                     10,                 -1818,                 -7690,,                198818,,,,                198818,                 60103,                140340,                200443,                200443,                              0,                 -5004,                              0,,,,,,,,
6112,2013年度,,                252715,                252715,,,                 15493,                  3829,                    572,                 13039,                   -402,                 -3337,                 -4025,                              0,,,,                -13629,                 71992,               -591039,               -119352,,               -652028,,                 16842,                  5660,                306228,                 -8955,                   -530,                317515,               -334513,               -314660,                -61945,                    407,                  3337,                -13124,                -47898,               -119223,,                 -8934,                 15005,                   -966,                              0,                 -4038,                 27986,,                193802,,               -198529,                 -1358,                 -6085,                -97322,                237662,                140340,                140340,                 -1730,,,,                 -5316,                 19853,                 26919,,,,
6112,2013年01月01日至2013年12月31日,,                252715,                252715,,,                 15493,                  3829,                    572,                 13039,                   -402,                 -3337,                 -4025,,,,,                -13629,                 71992,               -591039,               -119352,,               -652028,,                 16842,                  5660,                306228,                 -8955,                   -530,                317515,               -334513,               -314660,                -61945,                    407,                  3337,                -13124,                -47898,               -119223,,                 -8934,                 15005,                   -966,,                 -4038,                 27986,,                193802,,               -198529,                 -1358,                 -6085,                -97322,                237662,                140340,                140340,                 -1730,,,,                 -5316,                 19853,                 26919,                              0,                              0,                              0,
6112,2013年01月01日至2013年09月30日,,                196723,                196723,,,                 11706,                  3059,                   -571,                  9737,                   -187,                 -3337,                 -3964,                              0,,,,                    570,                 35890,               -411120,                 10306,,               -364354,,               -275056,                -12387,                203998,,                 -5832,                -86179,               -450533,               -439406,               -242683,                    192,                  3337,                 -9625,                -47889,               -296668,,                              0,                 15005,                   -966,                              0,                 -3998,                 36960,,                368385,,               -198529,                 -1358,                168498,                -91210,                237662,                146452,                146452,                  3098,,,,                 -5316,                 11127,                 26919,,,,
