證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款減少,　　 取得無形資產,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 採用權益法之被投資公司減資退回股款,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 其他應收款增加,　　 其他金融資產增加,　　 發行公司債,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 存出保證金增加,　　　　 金融資產減損損失,　　 取得備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 應付短期票券減少,　　 應付租賃款減少,　　　　 處分採用權益法之投資損失（利益）,　　　　　 其他金融資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　 其他應收款－關係人增加
2461,2015年01月01日至2015年09月30日,,                170830,                170830,,,                154129,                  2019,                  7672,                  1484,                 24968,                 -6611,                -18681,                  4496,                 -1219,                              0,                    344,                168601,,,                 67196,                -29108,                 18953,                 10072,                 51791,                -17464,                 -5075,                 96365,,                -10173,                 -2662,                 14487,                -31090,                 -6745,                   -103,                -50000,                -86286,                 10079,                178680,                349510,                  6611,                -18445,                -58537,                279139,,               -138495,                 53130,                -15000,                -14500,               -138852,                  8285,                  9038,                              0,                 -4092,                  4500,                              0,                 10623,               -225363,,                209064,                100000,                430000,               -523836,                              0,               -355491,                 11505,                -94519,               -223277,                 26301,               -143200,              1106260,                963060,                963060,,,,,,,,,,,,,,,,,,,,,,,
2461,2015年01月01日至2015年06月30日,,                 78400,                 78400,,,                104698,                  1109,                  4030,                  2883,                 16489,                 -4943,                -13200,                  1170,                 -1180,,                    229,                111285,,,                 48313,                114773,                  1358,                  6456,                 -6869,                  8431,                     99,                172561,,                 -3935,                -17317,                 24080,                  9298,                  1481,                    -70,                              0,                 13537,                186098,                297383,                375783,                  4943,                -12119,                -61404,                307203,,               -137841,                 52018,,                -14500,                -94031,                  4379,                  9743,                              0,                 -4092,                  4500,                              0,                  5323,               -169419,,                166496,                 50000,                              0,                -96000,,               -174008,,                 -3624,                -57136,                -55364,                 25284,              1106260,              1131544,              1131544,                -29933,                 29933,                  5082,                              0,,,,,,,,,,,,,,,,,,,
2461,2015年01月01日至2015年03月31日,,                 26879,                 26879,,,                 53956,                    407,                  2407,                  1133,                  8365,                 -2436,                 -1625,                   -529,                   -548,,                    115,                 61245,,,                -15746,                 50240,                 -2659,                  9751,                 30019,                 -5158,                   -245,                 66202,,                 -8241,                -49257,                 39635,                 -9931,                 -1143,                    -34,                              0,                -28971,                 37231,                 98476,                125355,                  2436,                 -6202,                -29242,                 92347,,                -22614,                 18162,,                -11000,                -46262,                    930,                  5218,                              0,                 -2060,,                              0,                  5158,                -82661,,                 82208,                 50000,                              0,                -96000,,                 -1279,,                              0,                 34929,                -22438,                 22177,              1106260,              1128437,              1128437,                -30193,,,,,,,,,,,,,,,,,,,,,,
2461,2014年度,,                229309,                229309,,,                207202,                  1104,                 60400,                 -2397,                 32840,                 -9647,                -49417,                 13339,                 -1713,                 71502,                    449,,,,                -46229,               -232385,                 14657,                -65241,               -101093,                 55576,                   -853,               -375568,,                  5987,                 19573,                 -9543,                 35477,                  6652,,                 49971,                 96739,               -278829,                 44833,                274142,                  9647,                -30429,                -28944,                224416,,               -371796,                296416,                -15000,                              0,               -244214,                 19411,                  2652,                 63752,                 -1100,,,                  4790,               -274142,,,                100000,                285526,               -561690,               -104923,               -288924,                 26090,                168456,                100330,                 64675,                115279,                991820,              1107099,              1106260,,,,                -19205,,                323662,                -11378,                              0,                              0,                              0,                -29053,                495000,                    839,,,,,,,,,,
2461,2014年01月01日至2014年09月30日,,                256975,                256975,,,                154726,                    811,                 20070,                    512,                 24501,                 -6444,                -21084,                  3326,                 -1780,                 16473,                    335,                191446,,,                -74284,                -72015,                -46811,                 -7950,                -71761,                 -9715,                  2636,               -279900,,                 17579,                 45794,                -42096,                 28322,                 11131,                -12263,                 49970,                 98437,               -181463,                  9983,                266958,                  6444,                -23949,                -33630,                215823,,               -208035,                186438,                -15000,               -108207,               -122953,                 16098,                  3578,                 29323,                 -1100,                 62756,                -40912,                  4790,               -193224,,                 34341,                 99897,                320000,               -376163,               -104923,               -137431,                              0,                -11608,               -175887,                 11181,               -142107,                991820,                849713,                849713,,,,,,,,,,,,,,,,,,,,,,,
2461,2014年01月01日至2014年06月30日,,                158963,                158963,,,                105945,                    475,                    113,                    311,                 16564,                 -5207,                -11083,                 -2868,                 -1780,,                    224,                102694,,,                -35398,                -37768,                -26160,                  7882,                -26830,                  7172,                  1946,               -109156,,                 11562,                 10577,                -51907,                 15156,                  4153,                -12344,                 50000,                 27197,                -81959,                 20735,                179698,                  5207,                -16206,                -23888,                144811,,               -134244,                186438,,               -105653,                -66397,                 15196,                  5685,                 30135,                 -1100,                  7899,                -35427,                  4790,                -92678,,                              0,                 29944,                220000,               -280000,,                -97291,,                -11608,               -159396,                -18895,               -126158,                991820,                865662,                865662,                              0,                              0,                              0,                -20441,,,,,,,,,,,,,,,,,,,
2461,2014年01月01日至2014年03月31日,,                 63198,                 63198,,,                 52789,                    239,                  3624,                    -57,                  8100,                 -2238,                 -2862,                    114,                   -775,,                    113,                 59047,,,                -15790,                -18415,                -67424,                  6923,                 -9193,                -10430,                  2224,               -112105,,                 19681,                  1557,                  4782,                -16374,                  5992,                -12354,                      1,                  3285,               -108820,                -49773,                 13425,                  2238,                 -7771,                -18042,                -10150,,               -103909,                 55900,,                              0,                -40962,                    182,                  8851,                 14912,                   -850,,                -26787,                              0,                -92663,,                 56519,                              0,                100000,               -139750,,                              0,,                 -8119,                  8650,                 10346,                -83817,                991820,                908003,                908003,                              0,,,,,,,,,,,,,,,,,,,,,,
2461,2013年度,,                345587,                345587,,,                212507,                    762,                 17200,                 -1360,                 37875,                 -7132,                -79743,                  3445,                 -8425,                              0,                    442,,,,                -18878,               -185246,                224057,                -17725,                 36339,                -49692,                 17273,                  6128,,                   -696,                -99574,                -30481,                 35584,                  1985,,                    -15,                -93510,                -87382,                 88189,                433776,                  7132,                -35010,                -29249,                376649,,                -95041,                 47528,                              0,                -59715,               -189436,                 20041,                 65936,                              0,                 -1291,,,                 65957,               -188334,,,                              0,                100000,               -139000,                -64212,                              0,                 32794,                 40126,               -147737,                 27877,                 68455,                923365,                991820,                991820,,,,               -117445,,                175571,                   -313,                 12384,                  9055,                -63752,                              0,                              0,                              0,,,,,,,,,,
2461,2013年01月01日至2013年12月31日,,                345587,                345587,,,                212507,                  1204,                 17200,                 -1360,                 37875,                 -7132,                -79743,                  3445,                 -8425,,,,,,                -18878,               -185246,                224057,                -17725,                 36339,                -49692,                 17273,                  6128,,                   -696,                -99574,                -30481,                 35584,                  1985,,                    -15,                -93510,                -87382,                 88189,                433776,                  7132,                -35010,                -29249,                376649,,                -95041,                 47528,,                -59715,               -189436,                 20041,                 65936,,                 -1291,,,                 65957,               -188334,,,,                100000,               -139000,                -64212,                              0,                 32794,                 40126,               -147737,                 27877,                 68455,                923365,                991820,                991820,,,,               -117445,,                175571,                   -313,                 12384,                  9055,                -63752,,,,,                              0,                              0,                              0,                              0,                              0,,,,
2461,2013年01月01日至2013年09月30日,,                279608,                279608,,,                155239,                    679,                  7768,                   -976,                 27400,                 -5193,                -56665,                   -260,                    -83,                              0,                    331,,,,                   -314,               -194085,                143136,                  4063,                 21676,                -80480,                147652,                 41648,,                   -584,               -103280,                -55507,                  6255,                     89,,                  5495,               -147671,               -106023,                 22217,                301825,                  5193,                -24431,                -38368,                244219,,                -84445,                 47528,                              0,                -58655,               -143296,                  4074,                  2950,                              0,                   -368,,                              0,                 11716,               -220496,,                              0,                              0,                100000,               -119250,                -64212,                              0,                 32794,                 40008,                -95344,                 29188,                -42433,                923365,                880932,                880932,,,,                -84684,,                128240,                   -139,,,,                              0,,,,,,,,,,,,
