年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
101/02,910069,新曄,      7085282,        508056,        426112,        482160,         35821,      8537431,      5032387,        528730,         11689,      5572806,      2514311,         98784,        531646,       -208834,        -21638,         50356,      2964625,23.52,臺灣銀行6/30平均匯率,毋須經會計師查核或核閱
101/02,9103,美德醫,      1742781,              0,      1156774,         30567,        334716,      3264838,      1282151,        307674,         18914,      1608739,        649741,        158304,        734749,         32778,              0,         80527,      1656099,29.88,1010629臺銀即期匯率買入賣出平圴,毋須經會計師查核或核閱
101/02,910322,康師傅,     77882369,      5607252,    137483080,      7229077,      1702054,    229903832,     96915243,     33051852,      5552002,    135519097,        835475,      8365270,     44268503,     10650965,              0,     30264522,     94384735,US$ 1: NT$29.88,台灣銀行101年6月30日即期匯率,經會計師核閱
101/02,9104,萬宇科,      6619605,        118564,        578553,        250618,              0,      7567340,      3686197,      1209747,              0,      4895944,          3218,        438313,      2157602,         -3378,              0,         75641,      2671396,ZAR$1 : NT$3.6990,www.oanda.com,毋須經會計師查核或核閱
101/02,910482,聖馬丁,      3733499,        112676,        611602,        315146,        492455,      5265378,      2255079,         21650,         13081,      2289810,        277522,      1158737,      1343968,        196484,              0,         -1143,      2975568,HKD＄1：NT$3.747,以101年12月31日之匯率換算,經會計師核閱
101/02,9105,泰金寶,     48302281,        182126,     14298641,        369207,        195057,     63347312,     49091252,         67912,              0,     49159164,      3832903,      2961370,      8691091,     -1297216,              0,              0,     14188148,0.94:1(THB:NT),財報日之匯率,經會計師核閱
101/02,910579,歐聖,      1552590,              0,      3743800,         78624,         51683,      5426697,      1582431,      1188696,              0,      2771127,      3921132,        576476,     -2128463,        -56614,              0,        343039,      2655570,RMB$1:NT$4.71,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
101/02,9106,新焦點,      3602689,        443792,      1187238,      2746365,         95608,      8075692,      2873332,      1582094,        233962,      4689388,        273838,      1881872,        659292,        -34057,              0,        605359,      3386304,RMB$1:NT$4.7242,臺銀於財務報表日即期匯率(買入賣出平均價),毋須經會計師查核或核閱
101/02,910708,恒大健,      1029938,              0,      1254893,          2708,          7264,      2294803,        398102,        199873,              0,        597975,         33670,      1429116,        234042,              0,              0,              0,      1696828,(HKD＄1：NT$3.897),100.12.31 港幣兌新台幣匯率,經會計師核閱
101/02,910801,金衛醫療,      5068208,      9879186,      1182724,      6886817,         38274,     23055209,      4290475,      1280632,      1145659,      6716766,        778159,      6824705,      7825200,        337500,              0,        572879,     16338443,HKD1：NT3.8012,民國100年9月30日匯率,毋須經會計師查核或核閱
